time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	-0.0243	0.542	-0.1455	-0.0924	-0.1464	-0.2534	-0.9048	0.1009	-0.0305	-0.0585	-0.0756	-0.5085	-0.4341	-0.6249	-0.6628	-0.3231	-1.161	-0.8102	-0.7487	-0.4217	-0.5957	-0.9863	-1.1905	-0.5834	-0.1996	-0.4398	-0.2664	0.2421	0.0685	0.3161
-195.3125	-0.1295	0.4108	-0.2933	-0.189	-0.227	-0.337	-0.6838	0.1613	0.014	-0.0772	-0.0622	-0.4139	-0.4728	-0.5877	-0.6372	-0.4221	-1.1489	-0.871	-0.8538	-0.4972	-0.5978	-0.8584	-1.0887	-0.472	-0.2043	-0.3809	-0.2278	0.2037	-0.1195	0.16
-191.4062	-0.2355	0.3003	-0.428	-0.2682	-0.2965	-0.4046	-0.4644	0.2192	0.0663	-0.0845	-0.0345	-0.3137	-0.4956	-0.5431	-0.5983	-0.5006	-1.1284	-0.9224	-0.9489	-0.5539	-0.5898	-0.7339	-0.9919	-0.3607	-0.2015	-0.31	-0.1786	0.1828	-0.2991	0.0183
-187.5	-0.341	0.2223	-0.5371	-0.3194	-0.3486	-0.4469	-0.2558	0.2703	0.1289	-0.0733	0.015	-0.206	-0.4944	-0.4897	-0.5383	-0.5442	-1.0928	-0.956	-1.0256	-0.5809	-0.5679	-0.6182	-0.9051	-0.2551	-0.1878	-0.2215	-0.1152	0.1896	-0.461	-0.0967
-183.5938	-0.4412	0.1779	-0.6128	-0.3395	-0.3816	-0.4602	-0.0685	0.3111	0.1998	-0.0417	0.0876	-0.0919	-0.467	-0.4292	-0.458	-0.5466	-1.0403	-0.9664	-1.0789	-0.5749	-0.5332	-0.5158	-0.832	-0.1614	-0.1633	-0.1164	-0.0391	0.2257	-0.5963	-0.1773
-179.6875	-0.5275	0.1575	-0.6533	-0.3331	-0.3978	-0.4471	0.0862	0.3383	0.2719	0.0066	0.1776	0.0237	-0.4175	-0.3661	-0.3673	-0.5109	-0.9736	-0.9518	-1.1074	-0.5419	-0.4909	-0.4303	-0.7744	-0.086	-0.1315	-0.0025	0.0424	0.283	-0.6971	-0.2217
-175.7812	-0.5887	0.1451	-0.6614	-0.3105	-0.4029	-0.4149	0.1979	0.3505	0.3355	0.0639	0.2738	0.1328	-0.3553	-0.3071	-0.2824	-0.4483	-0.8991	-0.9147	-1.1141	-0.4943	-0.4489	-0.3635	-0.7322	-0.0347	-0.0992	0.1068	0.1175	0.346	-0.7578	-0.2335
-171.875	-0.6135	0.1238	-0.6431	-0.2845	-0.4038	-0.3738	0.2586	0.3482	0.3803	0.1198	0.362	0.226	-0.2932	-0.2597	-0.221	-0.3747	-0.8253	-0.8608	-1.1055	-0.4485	-0.4159	-0.3151	-0.704	-0.0125	-0.0746	0.1955	0.1728	0.3957	-0.7762	-0.2206
-167.9688	-0.5945	0.0824	-0.6056	-0.267	-0.4066	-0.3336	0.2644	0.3339	0.3983	0.1647	0.4281	0.2944	-0.2446	-0.231	-0.1969	-0.307	-0.7599	-0.7979	-1.0905	-0.4203	-0.3993	-0.2835	-0.6878	-0.0225	-0.0653	0.2494	0.1964	0.4146	-0.7545	-0.193
-164.0625	-0.5317	0.0184	-0.556	-0.2658	-0.4151	-0.3015	0.2163	0.3112	0.3856	0.1913	0.4614	0.3313	-0.2204	-0.2262	-0.2151	-0.2588	-0.7092	-0.7342	-1.0782	-0.4211	-0.4031	-0.2663	-0.6819	-0.065	-0.0765	0.2594	0.181	0.3923	-0.6996	-0.1608
-160.1562	-0.434	-0.0611	-0.4996	-0.2837	-0.4295	-0.2814	0.1216	0.2842	0.343	0.1959	0.4564	0.3336	-0.2269	-0.2471	-0.2699	-0.238	-0.6762	-0.6764	-1.0744	-0.4553	-0.4273	-0.2609	-0.685	-0.1368	-0.1093	0.2242	0.1259	0.3275	-0.6219	-0.1314
-156.25	-0.3183	-0.1428	-0.4405	-0.3179	-0.4467	-0.2728	-0.0059	0.2566	0.276	0.1791	0.4138	0.3035	-0.2636	-0.2915	-0.3456	-0.2453	-0.6613	-0.629	-1.0799	-0.5193	-0.4679	-0.2646	-0.6966	-0.2303	-0.1605	0.1504	0.0384	0.2291	-0.5339	-0.1086
-152.3438	-0.2058	-0.2118	-0.3819	-0.3616	-0.4607	-0.2717	-0.1461	0.2308	0.1937	0.1452	0.3401	0.2473	-0.3231	-0.3522	-0.4216	-0.2752	-0.6622	-0.5939	-1.0903	-0.602	-0.5165	-0.2749	-0.7154	-0.3335	-0.2225	0.0512	-0.0677	0.1138	-0.4479	-0.0925
-148.4375	-0.1176	-0.2569	-0.3268	-0.4058	-0.4645	-0.2721	-0.2747	0.2083	0.107	0.101	0.2458	0.1754	-0.392	-0.4183	-0.4771	-0.3183	-0.6744	-0.5705	-1.0978	-0.6877	-0.5625	-0.2891	-0.7389	-0.4309	-0.2855	-0.0564	-0.1745	0.0018	-0.3738	-0.0803
-144.5312	-0.0704	-0.2741	-0.2784	-0.4427	-0.4519	-0.2672	-0.3673	0.1892	0.0267	0.0542	0.1435	0.0994	-0.4541	-0.4767	-0.4972	-0.3651	-0.6925	-0.5559	-1.0939	-0.7602	-0.5946	-0.3038	-0.7627	-0.5061	-0.3391	-0.1555	-0.2634	-0.0879	-0.3174	-0.0681
-140.625	-0.0726	-0.2681	-0.24	-0.4669	-0.4195	-0.2516	-0.4036	0.1728	-0.0385	0.0119	0.0453	0.0311	-0.4939	-0.515	-0.4758	-0.4081	-0.7103	-0.546	-1.0724	-0.8061	-0.6031	-0.316	-0.7806	-0.5447	-0.3747	-0.2329	-0.3196	-0.1419	-0.28	-0.0525
-136.7188	-0.1229	-0.2493	-0.2138	-0.4769	-0.3682	-0.2229	-0.3731	0.1579	-0.0833	-0.0209	-0.0395	-0.0202	-0.5002	-0.5244	-0.4163	-0.4436	-0.7217	-0.5351	-1.0299	-0.8186	-0.5828	-0.3234	-0.7855	-0.5382	-0.3874	-0.2809	-0.3349	-0.1554	-0.2584	-0.0316
-132.8125	-0.2096	-0.2302	-0.2003	-0.4745	-0.3029	-0.182	-0.2778	0.1432	-0.1068	-0.0416	-0.1056	-0.0489	-0.4685	-0.5016	-0.3299	-0.4718	-0.7218	-0.5174	-0.9661	-0.7978	-0.5337	-0.3248	-0.7706	-0.4863	-0.3763	-0.2984	-0.3095	-0.1323	-0.2457	-0.0057
-128.9062	-0.3124	-0.2204	-0.197	-0.4632	-0.2321	-0.1331	-0.1329	0.1273	-0.1122	-0.0505	-0.1522	-0.0541	-0.4019	-0.4496	-0.2319	-0.4948	-0.7067	-0.4872	-0.8829	-0.7498	-0.4614	-0.3203	-0.7312	-0.3972	-0.3442	-0.2906	-0.2517	-0.0843	-0.2334	0.0233
-125	-0.4062	-0.2234	-0.1987	-0.4462	-0.165	-0.0819	0.0363	0.1092	-0.1059	-0.05	-0.1818	-0.0399	-0.3093	-0.3763	-0.1384	-0.514	-0.6741	-0.4404	-0.7828	-0.6836	-0.3753	-0.3107	-0.6652	-0.2856	-0.297	-0.2665	-0.1757	-0.0276	-0.2132	0.0521
-121.0938	-0.4668	-0.2362	-0.1977	-0.4248	-0.1098	-0.0343	0.2	0.0886	-0.0952	-0.0438	-0.1984	-0.0145	-0.2035	-0.2923	-0.063	-0.5283	-0.6226	-0.3753	-0.668	-0.608	-0.2859	-0.2965	-0.5738	-0.1694	-0.2416	-0.2373	-0.0983	0.0208	-0.1788	0.0773
-117.1875	-0.4764	-0.2515	-0.1859	-0.3979	-0.0712	0.006	0.3302	0.066	-0.0863	-0.0353	-0.2064	0.0117	-0.0973	-0.2081	-0.0139	-0.533	-0.5521	-0.2931	-0.5398	-0.529	-0.2024	-0.2771	-0.4609	-0.0653	-0.1851	-0.2129	-0.0343	0.0471	-0.1272	0.0961
