time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	-0.5621	0.7798	-1.4167	0.2054	-0.4687	-1.0102	0.1336	0.2126	0.0524	0.0988	-0.0304	0.1408	0.3342	0.1938	-0.7126	-0.542	-0.5258	-0.2204	-0.4556	-0.4044	-0.0576	-0.2759	0.0146	0.1729	-0.1593	0.2272	0.0567	0.0434	-0.6473	-0.9616
-195.3125	-0.5382	0.3575	-1.13	-0.0529	-0.4741	-0.8777	0.1326	0.1831	0.0853	0.1052	0.0158	0.1461	0.3112	0.1824	-0.644	-0.4461	-0.3353	-0.171	-0.2944	-0.3006	0.0108	-0.1434	0.0243	0.1945	-0.0852	0.219	0.0685	0.0661	-0.5969	-0.8554
-191.4062	-0.5172	-0.0248	-0.8769	-0.2894	-0.4797	-0.7517	0.1274	0.1532	0.1124	0.1077	0.0544	0.1463	0.2808	0.1617	-0.5861	-0.362	-0.174	-0.1353	-0.1635	-0.2124	0.0629	-0.0362	0.0224	0.2049	-0.0194	0.2061	0.0725	0.0814	-0.5572	-0.762
-187.5	-0.4993	-0.3346	-0.682	-0.4825	-0.4835	-0.6376	0.1168	0.1242	0.1309	0.1053	0.081	0.1392	0.2397	0.1273	-0.5423	-0.2956	-0.0593	-0.1176	-0.0787	-0.1491	0.0886	0.0338	0.0083	0.1994	0.0331	0.1873	0.0661	0.0857	-0.5332	-0.6891
-183.5938	-0.4858	-0.5571	-0.5561	-0.6203	-0.4847	-0.5392	0.1011	0.0982	0.14	0.0983	0.0933	0.1247	0.1873	0.0779	-0.5129	-0.2517	-0.0018	-0.1193	-0.0468	-0.1167	0.0829	0.0623	-0.0159	0.1771	0.0703	0.1631	0.0487	0.0778	-0.5258	-0.6407
-179.6875	-0.4787	-0.6954	-0.496	-0.7006	-0.4825	-0.4582	0.0815	0.0779	0.1411	0.0885	0.0918	0.1043	0.1257	0.0156	-0.4956	-0.2318	-0.0025	-0.1383	-0.0635	-0.1161	0.0467	0.0538	-0.0455	0.1411	0.0929	0.1354	0.0226	0.0595	-0.5318	-0.6164
-175.7812	-0.4793	-0.7637	-0.4868	-0.7281	-0.4761	-0.3951	0.0605	0.0659	0.1369	0.0781	0.0793	0.0811	0.0594	-0.0542	-0.4854	-0.2335	-0.0515	-0.1682	-0.114	-0.143	-0.013	0.0205	-0.0736	0.0977	0.1041	0.1074	-0.0078	0.0349	-0.5444	-0.6112
-171.875	-0.4872	-0.7793	-0.5074	-0.7111	-0.4641	-0.3483	0.0407	0.0637	0.1306	0.0695	0.0597	0.0584	-0.0056	-0.1239	-0.476	-0.2497	-0.1292	-0.1992	-0.1761	-0.1875	-0.085	-0.0204	-0.0918	0.0551	0.1083	0.083	-0.0364	0.0094	-0.5545	-0.6171
-167.9688	-0.4995	-0.7559	-0.5364	-0.6578	-0.4445	-0.3148	0.0246	0.0713	0.1247	0.064	0.0372	0.0393	-0.0635	-0.1857	-0.4609	-0.2698	-0.2106	-0.2203	-0.226	-0.2369	-0.1565	-0.0516	-0.0928	0.021	0.1095	0.0654	-0.0574	-0.0119	-0.5528	-0.6241
-164.0625	-0.5106	-0.7024	-0.5563	-0.5761	-0.4161	-0.2905	0.0136	0.0866	0.1206	0.0621	0.0158	0.0251	-0.1097	-0.2332	-0.4351	-0.2826	-0.2722	-0.2224	-0.2451	-0.2787	-0.2163	-0.0603	-0.073	0.0009	0.1106	0.0567	-0.0665	-0.0252	-0.5319	-0.6228
