time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	-1.0422	-1.4221	-2.0128	-1.7907	-1.2839	-1.4033	-0.8451	-0.5235	-0.4044	-0.7713	-0.6059	-0.5586	-1.2441	-1.5618	-0.6321	-1.2233	-1.0211	-0.8062	-1.501	-1.5654	-1.5839	-1.1644	-1.0657	-1.1813	-0.6075	-0.8083	-0.7565	-0.4225	-0.1492	-0.2327
-195.3125	-0.8689	-1.1325	-1.4341	-1.3568	-0.8811	-0.9318	-0.48	-0.1694	-0.1221	-0.3887	-0.2963	-0.3287	-0.9061	-1.1924	-0.5797	-1.0471	-0.8594	-0.699	-1.2158	-1.2984	-1.2569	-0.9018	-0.8601	-0.9083	-0.5065	-0.6885	-0.587	-0.2748	-0.1113	-0.2356
-191.4062	-0.6984	-0.857	-0.8996	-0.9511	-0.512	-0.5014	-0.1466	0.1402	0.1255	-0.042	-0.0183	-0.1203	-0.592	-0.8508	-0.5278	-0.8772	-0.7059	-0.5927	-0.9449	-1.0406	-0.9511	-0.6533	-0.6649	-0.657	-0.4131	-0.5771	-0.4345	-0.1385	-0.0754	-0.2363
-187.5	-0.5313	-0.6071	-0.4435	-0.5959	-0.2037	-0.1457	0.1275	0.3679	0.3093	0.2377	0.2005	0.0469	-0.3216	-0.559	-0.4757	-0.7179	-0.566	-0.4882	-0.7016	-0.8001	-0.6836	-0.4345	-0.4909	-0.4454	-0.3351	-0.4819	-0.3132	-0.025	-0.0432	-0.2316
-183.5938	-0.3689	-0.3892	-0.0854	-0.3047	0.0271	0.1152	0.3246	0.4907	0.4114	0.4307	0.344	0.1625	-0.1059	-0.3292	-0.4232	-0.5701	-0.442	-0.3861	-0.4943	-0.5802	-0.4636	-0.2555	-0.3445	-0.2819	-0.2757	-0.4053	-0.2287	0.0606	-0.0151	-0.2184
-179.6875	-0.2125	-0.2039	0.1713	-0.0805	0.1774	0.2773	0.4392	0.5036	0.4289	0.532	0.4095	0.2264	0.0545	-0.1611	-0.37	-0.432	-0.3319	-0.287	-0.3248	-0.38	-0.2914	-0.1191	-0.2262	-0.1638	-0.2323	-0.3435	-0.1764	0.1207	0.0098	-0.1935
-175.7812	-0.0643	-0.0473	0.3368	0.0831	0.2567	0.3518	0.478	0.4207	0.3724	0.5499	0.4076	0.248	0.1679	-0.0439	-0.3155	-0.2993	-0.2315	-0.1912	-0.1891	-0.1954	-0.1587	-0.0213	-0.1317	-0.0795	-0.1986	-0.2888	-0.1439	0.1634	0.0337	-0.1547
-171.875	0.0729	0.087	0.4291	0.1997	0.2837	0.3611	0.4573	0.2709	0.2622	0.5029	0.3574	0.2422	0.2485	0.0407	-0.2579	-0.1672	-0.1353	-0.0988	-0.0793	-0.0215	-0.0521	0.0467	-0.0535	-0.0129	-0.1669	-0.2328	-0.1152	0.1994	0.059	-0.1011
-167.9688	0.1957	0.2051	0.4691	0.2847	0.2808	0.3321	0.3984	0.0915	0.123	0.4141	0.2807	0.2238	0.3105	0.1116	-0.1952	-0.033	-0.0398	-0.0101	0.0135	0.1434	0.0423	0.095	0.0155	0.0509	-0.1318	-0.1702	-0.0769	0.2364	0.0876	-0.0345
-164.0625	0.3006	0.3102	0.4748	0.3518	0.2684	0.29	0.322	-0.0809	-0.0216	0.3054	0.1967	0.2032	0.364	0.1831	-0.1256	0.1023	0.0558	0.074	0.0965	0.2967	0.135	0.1323	0.0796	0.1202	-0.0922	-0.1025	-0.0231	0.2761	0.1198	0.0407
-160.1562	0.3842	0.4021	0.4597	0.4094	0.2606	0.2527	0.2446	-0.2172	-0.1539	0.1931	0.1175	0.1839	0.4119	0.261	-0.0486	0.2332	0.1482	0.1521	0.1731	0.4308	0.2295	0.1634	0.139	0.1947	-0.0529	-0.0375	0.0428	0.3127	0.154	0.1173
-156.25	0.4433	0.4774	0.432	0.4596	0.2627	0.2291	0.1759	-0.3009	-0.2627	0.0865	0.0478	0.1625	0.4502	0.3416	0.0335	0.3501	0.2312	0.2216	0.2424	0.5346	0.3224	0.1887	0.1896	0.2658	-0.0222	0.0123	0.1092	0.3348	0.1866	0.1868
-152.3438	0.475	0.5313	0.3954	0.4987	0.2721	0.219	0.1198	-0.3287	-0.3432	-0.0109	-0.0135	0.1329	0.4703	0.4139	0.1158	0.4418	0.2964	0.2791	0.2997	0.5964	0.4047	0.2051	0.2248	0.32	-0.0092	0.0351	0.1606	0.3305	0.213	0.2405
-148.4375	0.4771	0.5585	0.3507	0.5192	0.2806	0.2159	0.0754	-0.3079	-0.3948	-0.0985	-0.069	0.0897	0.4629	0.4639	0.191	0.4973	0.3354	0.3209	0.3377	0.6073	0.4644	0.2069	0.2376	0.3441	-0.0201	0.024	0.1831	0.2923	0.2287	0.2713
-144.5312	0.4476	0.555	0.2973	0.5127	0.2769	0.2099	0.0399	-0.2528	-0.4181	-0.1761	-0.1198	0.0319	0.4213	0.4788	0.2498	0.5087	0.3414	0.3429	0.3482	0.5636	0.4905	0.188	0.2226	0.3288	-0.0555	-0.0197	0.1689	0.221	0.2297	0.2755
-140.625	0.3861	0.5184	0.2352	0.4716	0.2505	0.1915	0.0107	-0.179	-0.4135	-0.2407	-0.1631	-0.0351	0.3442	0.45	0.2834	0.4725	0.3103	0.3415	0.3238	0.4678	0.4747	0.1427	0.1771	0.2717	-0.1098	-0.086	0.1187	0.1259	0.2143	0.2527
