time,FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-199.2188,-0.8325,-0.8298,-0.8644,-0.9451,-0.7488,-0.7609,-0.4522,-0.5173,-0.7517,-0.4452,-0.4355,-0.1171,0.251,0.03,-0.1537,-0.0319,-0.1854,0.5518,-0.1439,0.1664,0.0937,-0.1813,0.0368,0.4533,0.6018,0.3417,0.5966,0.2889,-0.5394,-0.9936
-195.3125,-0.8947,-0.6139,-0.8008,-0.6965,-0.585,-0.6597,-0.3627,-0.415,-0.6512,-0.3725,-0.3486,-0.069,0.1841,-0.0262,-0.2258,-0.0477,-0.1492,0.3039,-0.1104,0.1635,0.0829,-0.1773,0.0577,0.3322,0.5053,0.2612,0.4467,0.2104,-0.489,-0.7496
-191.4062,-0.9288,-0.4229,-0.73,-0.4727,-0.4319,-0.5539,-0.2774,-0.312,-0.5494,-0.3031,-0.2659,-0.0305,0.1019,-0.091,-0.2922,-0.0743,-0.1274,0.08,-0.0904,0.1444,0.0557,-0.1808,0.0705,0.2088,0.4139,0.1822,0.2941,0.1293,-0.448,-0.5344
-187.5,-0.9194,-0.2738,-0.6457,-0.2901,-0.2967,-0.4394,-0.199,-0.2075,-0.4455,-0.239,-0.1902,-0.008,-0.0024,-0.167,-0.3493,-0.1168,-0.1309,-0.1002,-0.0952,0.0996,0.0031,-0.1977,0.0675,0.0851,0.3344,0.1097,0.1413,0.047,-0.419,-0.3652
-183.5938,-0.8612,-0.1793,-0.5459,-0.1613,-0.1866,-0.3167,-0.1309,-0.1022,-0.3419,-0.1832,-0.1252,-0.0055,-0.1302,-0.2544,-0.3965,-0.1782,-0.1669,-0.2266,-0.1308,0.0236,-0.0795,-0.2304,0.045,-0.0343,0.2725,0.0496,-0.0058,-0.0339,-0.4011,-0.2502
-179.6875,-0.7608,-0.1463,-0.4345,-0.093,-0.1082,-0.1913,-0.0775,0.001,-0.2442,-0.1404,-0.0754,-0.0242,-0.277,-0.3501,-0.4362,-0.2585,-0.2379,-0.2992,-0.197,-0.0837,-0.1908,-0.2769,0.0041,-0.1425,0.2321,0.0083,-0.1391,-0.1095,-0.3905,-0.188
-175.7812,-0.6338,-0.1735,-0.3194,-0.0846,-0.066,-0.0724,-0.0433,0.097,-0.1598,-0.1149,-0.0453,-0.0627,-0.432,-0.448,-0.4722,-0.3539,-0.3405,-0.3262,-0.2876,-0.2159,-0.3233,-0.3323,-0.0504,-0.2318,0.2148,-0.0096,-0.2491,-0.1757,-0.3816,-0.1686
-171.875,-0.5021,-0.251,-0.2111,-0.1276,-0.0603,0.0296,-0.0312,0.1791,-0.0951,-0.11,-0.0374,-0.1162,-0.58,-0.5394,-0.5079,-0.4561,-0.4648,-0.3204,-0.391,-0.3602,-0.4639,-0.3887,-0.1108,-0.2952,0.2188,-0.0024,-0.3271,-0.2283,-0.3682,-0.1763
-167.9688,-0.3889,-0.3605,-0.1198,-0.2059,-0.086,0.1061,-0.0411,0.2407,-0.0535,-0.1251,-0.0506,-0.1773,-0.7026,-0.6137,-0.5438,-0.5527,-0.5956,-0.295,-0.4924,-0.4988,-0.5948,-0.4374,-0.1681,-0.3282,0.2396,0.028,-0.3668,-0.2636,-0.345,-0.1933
-164.0625,-0.3147,-0.4779,-0.0531,-0.298,-0.1322,0.1523,-0.069,0.2765,-0.0339,-0.1557,-0.0797,-0.2366,-0.7817,-0.6595,-0.5775,-0.6287,-0.7133,-0.26,-0.5757,-0.6112,-0.6966,-0.4697,-0.2129,-0.3291,0.27,0.076,-0.3657,-0.2792,-0.3095,-0.2036
