time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	0.0287	-0.2158	0.2144	-0.2165	-0.2616	-0.3061	-0.209	-0.1045	-0.0813	0.0144	-0.1523	-0.4175	-0.1381	-0.1633	-0.3581	-0.4945	-0.1157	0.1419	0.0888	-0.4298	-0.3701	0.0121	0.3854	0.2847	0.6903	0.2499	0.1759	-0.1859	0.1188	0.0636
-195.3125	-0.1138	-0.3558	0.0282	-0.3413	-0.3848	-0.3271	-0.2509	-0.1043	-0.1003	-0.045	-0.1661	-0.4611	-0.2369	-0.2909	-0.418	-0.5907	-0.1962	0.0883	0.0043	-0.5654	-0.509	-0.0579	0.2582	0.1672	0.4257	0.0907	0.0784	-0.2157	0.0302	-0.0108
-191.4062	-0.2395	-0.4769	-0.1374	-0.449	-0.4892	-0.3429	-0.2852	-0.102	-0.1137	-0.0942	-0.179	-0.4919	-0.322	-0.404	-0.4672	-0.6711	-0.2666	0.0372	-0.0707	-0.6826	-0.6291	-0.1203	0.1442	0.0592	0.1786	-0.0551	-0.0101	-0.2409	-0.053	-0.0766
-187.5	-0.3356	-0.5651	-0.2661	-0.5269	-0.561	-0.3481	-0.3078	-0.0972	-0.1191	-0.1268	-0.1911	-0.5014	-0.384	-0.4918	-0.499	-0.7247	-0.3193	-0.0102	-0.13	-0.7682	-0.7167	-0.1695	0.0541	-0.0325	-0.0359	-0.1767	-0.0845	-0.26	-0.1253	-0.1276
-183.5938	-0.3951	-0.6126	-0.3473	-0.5679	-0.5929	-0.3397	-0.3177	-0.0894	-0.117	-0.1412	-0.2033	-0.4857	-0.4188	-0.5488	-0.5103	-0.746	-0.3501	-0.0533	-0.1705	-0.815	-0.7647	-0.203	-0.0072	-0.1045	-0.207	-0.2668	-0.1435	-0.2728	-0.1827	-0.1606
-179.6875	-0.4184	-0.6195	-0.3778	-0.5718	-0.5847	-0.3188	-0.3173	-0.0785	-0.1098	-0.1412	-0.2173	-0.4465	-0.4281	-0.5747	-0.5017	-0.7355	-0.3588	-0.092	-0.1933	-0.8234	-0.7736	-0.2213	-0.0416	-0.1569	-0.3298	-0.3223	-0.1891	-0.2811	-0.2229	-0.1755
-175.7812	-0.4119	-0.5924	-0.3615	-0.5445	-0.5434	-0.2896	-0.3114	-0.0647	-0.1017	-0.1345	-0.2347	-0.3898	-0.4179	-0.5743	-0.4774	-0.6994	-0.3494	-0.127	-0.2024	-0.7997	-0.7501	-0.2277	-0.0566	-0.1925	-0.405	-0.3451	-0.2256	-0.2876	-0.2457	-0.1758
-171.875	-0.3859	-0.5427	-0.3088	-0.4959	-0.4806	-0.2593	-0.3048	-0.0493	-0.0971	-0.1304	-0.2559	-0.3248	-0.3964	-0.555	-0.4433	-0.6475	-0.3286	-0.1592	-0.2037	-0.7548	-0.7052	-0.2267	-0.0626	-0.2154	-0.4386	-0.3416	-0.2576	-0.2948	-0.2525	-0.1669
-167.9688	-0.3519	-0.4832	-0.2344	-0.4375	-0.41	-0.2351	-0.3012	-0.0337	-0.099	-0.1368	-0.2798	-0.2609	-0.3716	-0.525	-0.4059	-0.5908	-0.3046	-0.1896	-0.2026	-0.7006	-0.6514	-0.2232	-0.0697	-0.2294	-0.4401	-0.3214	-0.2889	-0.3042	-0.2462	-0.1551
-164.0625	-0.319	-0.425	-0.154	-0.3794	-0.3441	-0.2229	-0.3017	-0.0196	-0.1081	-0.1572	-0.3027	-0.2056	-0.3496	-0.4915	-0.3704	-0.5386	-0.2847	-0.2183	-0.2033	-0.6475	-0.5996	-0.2209	-0.0842	-0.2369	-0.4204	-0.2949	-0.3204	-0.3154	-0.2304	-0.1457
-160.1562	-0.2925	-0.3753	-0.082	-0.3286	-0.2918	-0.225	-0.3052	-0.0082	-0.1229	-0.1897	-0.3199	-0.1629	-0.333	-0.4594	-0.3394	-0.4966	-0.2737	-0.2447	-0.2072	-0.602	-0.5567	-0.2215	-0.1075	-0.2387	-0.3898	-0.2714	-0.3503	-0.3259	-0.2087	-0.1419
