FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-1.6549,-1.4353,-1.3949,-1.9327,-1.4115,-1.1992,-1.1365,-0.5725,-0.8008,-0.6963,-0.4361,-0.5253,-1.0205,-1.0432,-1.3132,-1.8023,-1.3672,-1.3931,-1.5226,-1.7428,-1.5961,-0.4068,-0.382,-0.2495,0.1088,-0.095,-0.4175,-0.3029,-0.2127,0.8611
-1.4257,-1.5701,-1.3171,-1.9227,-1.3392,-1.0314,-1.0308,-0.4819,-0.6884,-0.619,-0.3734,-0.4693,-1.05,-1.106,-1.2926,-1.8646,-1.455,-1.4943,-1.6072,-1.7637,-1.6096,-0.6073,-0.5232,-0.3788,0.0599,-0.1296,-0.5126,-0.3666,-0.1604,0.7963
-1.1999,-1.6674,-1.2277,-1.8891,-1.2529,-0.8662,-0.9193,-0.3901,-0.5762,-0.5343,-0.3055,-0.4073,-1.0575,-1.1436,-1.2505,-1.888,-1.5104,-1.5655,-1.6551,-1.7523,-1.5928,-0.7673,-0.6401,-0.4867,0.022,-0.1544,-0.5865,-0.4118,-0.1094,0.7269
-0.9812,-1.6952,-1.1181,-1.8129,-1.1421,-0.7074,-0.7959,-0.2979,-0.4659,-0.4363,-0.2278,-0.3352,-1.025,-1.1354,-1.171,-1.8418,-1.5078,-1.5816,-1.6376,-1.6834,-1.5219,-0.8569,-0.714,-0.5563,0.0035,-0.1619,-0.6227,-0.4229,-0.0615,0.6484
-0.773,-1.6338,-0.984,-1.6833,-1.0022,-0.5596,-0.6575,-0.2074,-0.36,-0.3227,-0.1384,-0.2516,-0.9423,-1.0685,-1.046,-1.7096,-1.4329,-1.5275,-1.5385,-1.5432,-1.3835,-0.8591,-0.7339,-0.5776,0.0082,-0.148,-0.6121,-0.3917,-0.0187,0.558
-0.5791,-1.4797,-0.827,-1.4998,-0.8358,-0.428,-0.5049,-0.1219,-0.2616,-0.195,-0.0384,-0.1591,-0.8087,-0.9405,-0.8774,-1.492,-1.2859,-1.4004,-1.3576,-1.3323,-1.1777,-0.7732,-0.6977,-0.5487,0.0345,-0.1136,-0.5548,-0.3192,0.0173,0.4552
-0.4041,-1.2453,-0.6544,-1.2725,-0.6524,-0.318,-0.3423,-0.0453,-0.174,-0.0586,0.068,-0.0631,-0.6327,-0.7595,-0.6768,-1.2058,-1.0802,-1.2098,-1.1095,-1.0653,-0.918,-0.6139,-0.6124,-0.4762,0.0761,-0.0631,-0.4589,-0.2137,0.0452,0.3427
-0.2539,-0.9563,-0.4786,-1.0194,-0.4664,-0.2343,-0.1773,0.0179,-0.0999,0.0781,0.175,0.0295,-0.4303,-0.543,-0.463,-0.8804,-0.839,-0.975,-0.8198,-0.7678,-0.6283,-0.4083,-0.4921,-0.3728,0.1238,-0.0036,-0.339,-0.0894,0.0641,0.2256
-0.1342,-0.6457,-0.3135,-0.762,-0.2938,-0.1793,-0.0189,0.0638,-0.041,0.2049,0.2757,0.112,-0.2214,-0.3144,-0.2582,-0.5503,-0.59,-0.7211,-0.5203,-0.4704,-0.3378,-0.1897,-0.3554,-0.2547,0.1677,0.0569,-0.2119,0.0383,0.0733,0.1109
-0.0496,-0.3465,-0.1721,-0.5217,-0.1491,-0.153,0.1231,0.0898,0.002,0.3113,0.363,0.1786,-0.0272,-0.0988,-0.083,-0.2489,-0.3597,-0.4743,-0.2422,-0.2027,-0.0758,0.0079,-0.2217,-0.1384,0.1996,0.1113,-0.0942,0.1551,0.0726,0.006
