FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.9962,-0.7089,-1.1076,-0.8224,-0.2318,-0.5417,0.5726,0.3176,0.5018,1.1406,0.8878,0.8447,1.1072,0.7986,-1.0022,-0.5852,-0.3933,-0.1717,-0.1799,-0.3698,0.0583,0.3564,0.0338,0.9767,0.5756,0.7156,0.9183,0.8981,-0.4666,-0.9258
-0.9217,-0.6923,-1.0285,-0.8056,-0.2557,-0.4903,0.4628,0.2655,0.4709,0.9751,0.7838,0.6972,0.9576,0.623,-0.9236,-0.5682,-0.3895,-0.2844,-0.1758,-0.41,-0.0226,0.2307,-0.0221,0.78,0.4414,0.5428,0.7668,0.7177,-0.4617,-0.815
-0.8366,-0.6674,-0.9481,-0.784,-0.2764,-0.4447,0.355,0.2081,0.4276,0.8126,0.6777,0.5564,0.8124,0.456,-0.8314,-0.5409,-0.3754,-0.3724,-0.1626,-0.4392,-0.0957,0.121,-0.0653,0.5992,0.3246,0.3909,0.625,0.5519,-0.4429,-0.7072
-0.7361,-0.6296,-0.8656,-0.7547,-0.2914,-0.4099,0.2517,0.1433,0.3644,0.6572,0.5697,0.4306,0.6755,0.3043,-0.718,-0.4976,-0.3435,-0.4161,-0.1335,-0.4501,-0.1561,0.0407,-0.0854,0.4476,0.2395,0.2772,0.502,0.4139,-0.4015,-0.6051
-0.6208,-0.5787,-0.7821,-0.7177,-0.3009,-0.389,0.1549,0.0712,0.2775,0.5128,0.4607,0.325,0.5489,0.1719,-0.5821,-0.4371,-0.2921,-0.4051,-0.088,-0.4407,-0.2021,-0.0043,-0.0775,0.3327,0.1934,0.2108,0.4026,0.3109,-0.3334,-0.5105
-0.4966,-0.5186,-0.7001,-0.676,-0.3071,-0.383,0.0655,-0.0051,0.1681,0.3821,0.3518,0.2412,0.4321,0.0596,-0.4306,-0.3638,-0.2259,-0.3398,-0.0313,-0.4141,-0.2358,-0.0163,-0.0435,0.2546,0.1859,0.1903,0.3272,0.2423,-0.2405,-0.4252
-0.3742,-0.4573,-0.6233,-0.6345,-0.3134,-0.3901,-0.0161,-0.0805,0.0419,0.2665,0.2453,0.1772,0.3235,-0.0341,-0.2767,-0.286,-0.154,-0.2305,0.0268,-0.3778,-0.2621,-0.0038,0.0093,0.2076,0.2093,0.2056,0.272,0.2013,-0.1302,-0.35
-0.2662,-0.4036,-0.5551,-0.5981,-0.3226,-0.4064,-0.0899,-0.1482,-0.0912,0.1667,0.1441,0.1286,0.2216,-0.1119,-0.1371,-0.214,-0.0876,-0.0954,0.0758,-0.3413,-0.2861,0.0213,0.0701,0.1823,0.252,0.2409,0.231,0.1772,-0.0149,-0.2856
-0.1838,-0.3651,-0.4971,-0.57,-0.3356,-0.426,-0.1552,-0.201,-0.2192,0.0825,0.0522,0.0896,0.1264,-0.1759,-0.0275,-0.157,-0.0356,0.0442,0.1082,-0.3125,-0.3114,0.0486,0.1289,0.1694,0.3008,0.2791,0.1981,0.1581,0.0912,-0.2317
-0.1341,-0.3452,-0.4483,-0.5499,-0.35,-0.442,-0.2107,-0.2334,-0.3298,0.0136,-0.0265,0.0551,0.0405,-0.2258,0.042,-0.1201,-0.0018,0.1684,0.1227,-0.2956,-0.3376,0.0726,0.1795,0.1618,0.3445,0.3057,0.1684,0.1344,0.1746,-0.1872
-0.117,-0.3417,-0.4044,-0.5339,-0.3609,-0.4474,-0.2539,-0.242,-0.4128,-0.0408,-0.0888,0.0211,-0.031,-0.2591,0.0698,-0.1027,0.0164,0.2628,0.1248,-0.2894,-0.3598,0.0935,0.2208,0.1565,0.375,0.3109,0.1398,0.1001,0.2262,-0.1492
-0.1252,-0.3467,-0.359,-0.5145,-0.361,-0.4355,-0.282,-0.2267,-0.462,-0.0817,-0.1332,-0.0151,-0.0819,-0.2708,0.0639,-0.0983,0.0275,0.3218,0.125,-0.2869,-0.3692,0.1161,0.256,0.154,0.3883,0.291,0.112,0.0535,0.2435,-0.1135
-0.145,-0.3486,-0.3041,-0.4828,-0.343,-0.4013,-0.2923,-0.1905,-0.4764,-0.111,-0.1606,-0.055,-0.1067,-0.2558,0.0403,-0.0958,0.0426,0.3483,0.1352,-0.2776,-0.3557,0.1469,0.2902,0.1562,0.3834,0.247,0.086,-0.0039,0.2321,-0.0746
-0.1592,-0.3352,-0.2331,-0.4305,-0.3008,-0.3421,-0.2837,-0.1389,-0.4606,-0.1311,-0.175,-0.0993,-0.1028,-0.2103,0.0193,-0.0826,0.0727,0.3523,0.1652,-0.25,-0.3107,0.191,0.3274,0.1653,0.362,0.1837,0.063,-0.0682,0.2044,-0.0266
-0.151,-0.2962,-0.1416,-0.3525,-0.2323,-0.258,-0.257,-0.0797,-0.4233,-0.145,-0.1819,-0.1478,-0.0714,-0.1341,0.0202,-0.0477,0.1253,0.347,0.2191,-0.1948,-0.2298,0.249,0.369,0.1814,0.3275,0.1076,0.0434,-0.135,0.1766,0.0356
-0.1082,-0.2271,-0.0294,-0.2485,-0.1396,-0.1526,-0.2157,-0.0208,-0.3752,-0.1558,-0.1881,-0.1994,-0.0185,-0.0323,0.0572,0.0148,0.2019,0.345,0.294,-0.1078,-0.1152,0.3169,0.4124,0.2024,0.2835,0.0254,0.0263,-0.1998,0.1653,0.1149
-0.0274,-0.1308,0.0991,-0.1247,-0.0301,-0.0333,-0.1654,0.0301,-0.3272,-0.1663,-0.1992,-0.2519,0.046,0.085,0.1348,0.1036,0.2973,0.3547,0.3802,0.0077,0.0235,0.3858,0.4517,0.2233,0.2336,-0.0571,0.0096,-0.2591,0.1818,0.2108
0.0846,-0.0184,0.2341,0.0067,0.0846,0.0895,-0.1134,0.067,-0.288,-0.1786,-0.2192,-0.3017,0.1094,0.2031,0.2457,0.209,0.3997,0.3777,0.4625,0.1405,0.1703,0.4438,0.4783,0.2371,0.1805,-0.1353,-0.0097,-0.3099,0.2293,0.3179
0.2102,0.0924,0.3619,0.1288,0.1893,0.2024,-0.0676,0.0861,-0.2633,-0.1947,-0.2493,-0.345,0.158,0.3043,0.3713,0.3141,0.4918,0.4075,0.5225,0.2724,0.3046,0.4777,0.4825,0.236,0.1251,-0.2066,-0.0352,-0.3502,0.3003,0.4256
0.3241,0.1798,0.4655,0.2223,0.2683,0.2911,-0.0361,0.0858,-0.2553,-0.2164,-0.2885,-0.3784,0.1787,0.3707,0.485,0.3968,0.5536,0.4306,0.5425,0.3806,0.4039,0.4758,0.4555,0.2126,0.0669,-0.2696,-0.0706,-0.3789,0.3778,0.5188
0.3987,0.2223,0.5276,0.2691,0.3068,0.3417,-0.0254,0.0664,-0.2635,-0.2455,-0.334,-0.4001,0.1612,0.3869,0.5568,0.4344,0.5654,0.4292,0.5078,0.442,0.4484,0.4296,0.3911,0.1613,0.004,-0.3242,-0.1186,-0.3961,0.4384,0.5799
0.4097,0.2036,0.5332,0.256,0.2943,0.3439,-0.0406,0.0294,-0.2855,-0.2843,-0.3823,-0.4105,0.0993,0.3426,0.5599,0.4077,0.5116,0.3854,0.4103,0.437,0.4239,0.336,0.2875,0.0796,-0.0654,-0.3704,-0.1809,-0.4033,0.4576,0.5912
0.3417,0.1162,0.4727,0.1775,0.2264,0.2924,-0.0837,-0.023,-0.3182,-0.3347,-0.4298,-0.4125,-0.008,0.2347,0.477,0.306,0.3841,0.286,0.2502,0.3547,0.3247,0.1979,0.1486,-0.0307,-0.1418,-0.4079,-0.2567,-0.4028,0.415,0.5393
0.1925,-0.0363,0.3443,0.038,0.1062,0.1889,-0.1538,-0.0882,-0.358,-0.3976,-0.4736,-0.4105,-0.156,0.0683,0.3044,0.1293,0.1852,0.1274,0.0366,0.1948,0.1556,0.0243,-0.0165,-0.1633,-0.2233,-0.4359,-0.343,-0.3976,0.3001,0.4178
-0.0261,-0.2396,0.1552,-0.1485,-0.0558,0.0425,-0.2461,-0.1629,-0.4007,-0.4716,-0.5113,-0.409,-0.3342,-0.1436,0.0546,-0.11,-0.0717,-0.0825,-0.2131,-0.0307,-0.0688,-0.1704,-0.1937,-0.3078,-0.3049,-0.4524,-0.4337,-0.3904,0.115,0.2301
-0.2895,-0.4709,-0.0784,-0.3604,-0.2423,-0.1316,-0.3519,-0.2426,-0.4416,-0.552,-0.5407,-0.4111,-0.5275,-0.3814,-0.2454,-0.3888,-0.3632,-0.324,-0.4751,-0.299,-0.3257,-0.3687,-0.3658,-0.451,-0.3787,-0.4548,-0.5206,-0.3834,-0.1246,-0.0093
