FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.5616,1.2008,0.5217,1.477,1.3568,1.1542,0.7652,0.5244,0.4134,0.4975,0.4338,0.1294,1.057,1.178,0.5877,1.4201,0.7259,0.722,1.2725,1.4682,1.6261,0.9634,0.7683,0.6551,0.3185,0.1674,1.2766,-0.3355,0.0153,-0.6568
0.5971,1.2466,0.4936,1.517,1.4527,1.213,0.868,0.6035,0.4987,0.5875,0.5745,0.2157,1.1766,1.2728,0.6337,1.5085,0.7942,0.7743,1.3326,1.5784,1.7396,1.0795,0.8479,0.7772,0.3558,0.2447,1.4428,-0.2386,-0.016,-0.6764
0.6631,1.2947,0.4786,1.5632,1.5661,1.2803,0.9947,0.6979,0.601,0.7078,0.7337,0.3333,1.3352,1.3971,0.7131,1.6106,0.8988,0.83,1.4111,1.6969,1.8623,1.2243,0.9458,0.9242,0.4173,0.3478,1.6199,-0.0949,-0.0627,-0.7222
0.7517,1.3422,0.48,1.6095,1.6824,1.3486,1.1208,0.7943,0.7016,0.835,0.8834,0.4575,1.5039,1.5272,0.8192,1.715,1.03,0.8845,1.4933,1.808,1.9754,1.3729,1.0467,1.0676,0.4873,0.4529,1.7819,0.0659,-0.1177,-0.8016
0.8509,1.3876,0.4981,1.6513,1.7874,1.4115,1.222,0.8788,0.7816,0.9443,0.9979,0.5633,1.6531,1.6385,0.9404,1.8114,1.1738,0.9336,1.5649,1.8989,2.0622,1.4995,1.134,1.1801,0.5495,0.5377,1.9068,0.2134,-0.1724,-0.914
0.9479,1.433,0.531,1.6889,1.8717,1.4669,1.281,0.9402,0.8276,1.0165,1.0604,0.6322,1.7603,1.7125,1.0629,1.8943,1.3151,0.976,1.617,1.9638,2.114,1.584,1.1939,1.2427,0.5917,0.5868,1.9818,0.3228,-0.2188,-1.051
1.0318,1.4843,0.5762,1.7281,1.9341,1.5182,1.2929,0.973,0.8351,1.0426,1.067,0.6566,1.8166,1.7412,1.1724,1.9645,1.4417,1.0137,1.6488,2.0061,2.1321,1.6171,1.2196,1.2496,0.6078,0.5956,2.0057,0.3807,-0.2509,-1.1967
1.0953,1.5497,0.6307,1.7796,1.9813,1.574,1.266,0.9788,0.8095,1.026,1.027,0.6404,1.8281,1.729,1.2565,2.0284,1.546,1.0507,1.6672,2.0368,2.1281,1.6024,1.2123,1.2081,0.5993,0.5696,1.9877,0.386,-0.2658,-1.3308
1.1344,1.6362,0.6915,1.8546,2.0252,1.644,1.2188,0.9641,0.7637,0.9803,0.9594,0.5974,1.8133,1.6903,1.3061,2.0956,1.6262,1.0919,1.6844,2.0714,2.1196,1.5538,1.1803,1.1365,0.5729,0.5222,1.9438,0.3485,-0.2643,-1.4326
1.1485,1.7467,0.7545,1.9604,2.0778,1.7353,1.1738,0.9382,0.7139,0.9247,0.8873,0.546,1.7967,1.6442,1.3166,2.175,1.6852,1.1406,1.714,2.1239,2.1249,1.491,1.1363,1.0571,0.5377,0.4697,1.8917,0.2846,-0.2498,-1.4858
1.1391,1.8772,0.8147,2.0962,2.1458,1.8483,1.1503,0.909,0.6743,0.8779,0.8318,0.5043,1.8011,1.609,1.2887,2.2721,1.7295,1.198,1.7668,2.2028,2.1572,1.4343,1.0933,0.9906,0.5017,0.4266,1.8457,0.2123,-0.2287,-1.4829
1.1092,2.0175,0.8655,2.2515,2.2269,1.9749,1.1588,0.8807,0.6531,0.8529,0.8064,0.4851,1.8406,1.5968,1.2281,2.3861,1.7669,1.2627,1.8481,2.3079,2.2212,1.399,1.0621,0.9505,0.4699,0.4019,1.814,0.1466,-0.2087,-1.4274
1.0621,2.1521,0.8998,2.4071,2.3091,2.098,1.1971,0.8526,0.6507,0.8537,0.8149,0.4938,1.9161,1.6107,1.1445,2.51,1.8046,1.3314,1.9567,2.4295,2.311,1.3929,1.0493,0.9404,0.4431,0.3971,1.7969,0.0977,-0.1977,-1.3334
1.0008,2.263,0.9103,2.5385,2.3719,2.1941,1.2512,0.8193,0.6596,0.8748,0.8511,0.5273,2.0144,1.6433,1.049,2.6302,1.8462,1.3991,2.0843,2.5496,2.411,1.4149,1.056,0.9537,0.4189,0.407,1.7877,0.0694,-0.2024,-1.2222
0.9282,2.3322,0.8903,2.6191,2.3906,2.2372,1.2979,0.7723,0.6672,0.9019,0.9013,0.576,2.111,1.6786,0.9521,2.7283,1.8894,1.4595,2.2165,2.6445,2.4976,1.4559,1.0782,0.9763,0.3929,0.4219,1.7747,0.0601,-0.2267,-1.1167
0.8473,2.3439,0.8345,2.6253,2.3411,2.2028,1.3099,0.7023,0.6591,0.916,0.9477,0.6254,2.1746,1.6947,0.8619,2.783,1.925,1.5049,2.3342,2.688,2.5435,1.4999,1.1073,0.9905,0.3611,0.4306,1.7441,0.0641,-0.2705,-1.0357
0.7606,2.2858,0.7394,2.5394,2.2053,2.0732,1.2626,0.6015,0.6222,0.8971,0.9726,0.6605,2.1744,1.6688,0.7825,2.7728,1.9375,1.5265,2.4153,2.6563,2.5219,1.5277,1.1313,0.9789,0.3215,0.4236,1.683,0.0729,-0.3295,-0.9889
0.6707,2.1509,0.6046,2.3532,1.9761,1.8415,1.1394,0.4664,0.5481,0.8294,0.9621,0.6682,2.0869,1.5822,0.7146,2.6802,1.9077,1.516,2.4385,2.5323,2.4125,1.5197,1.1369,0.9293,0.2747,0.3956,1.5829,0.0774,-0.3958,-0.9751
0.5802,1.9394,0.4339,2.0701,1.6602,1.515,0.9366,0.2996,0.4346,0.7052,0.9089,0.6402,1.9012,1.4254,0.6564,2.4957,1.8179,1.4679,2.3875,2.3097,2.2054,1.4607,1.1121,0.8367,0.2241,0.3461,1.4418,0.0696,-0.4592,-0.9831
0.4916,1.6599,0.2362,1.7066,1.2794,1.1164,0.6654,0.1104,0.2869,0.5273,0.8135,0.5749,1.6224,1.2008,0.6048,2.2223,1.6578,1.3815,2.2559,1.9962,1.9053,1.3427,1.0492,0.7044,0.1743,0.279,1.2645,0.0438,-0.5095,-0.9959
0.4071,1.3304,0.0258,1.2912,0.8681,0.6824,0.3503,-0.0852,0.1165,0.3093,0.6839,0.4771,1.2712,0.924,0.5568,1.8762,1.4292,1.2633,2.0506,1.614,1.5323,1.1683,0.9472,0.5431,0.13,0.2008,1.0624,-0.0024,-0.5384,-0.9957
0.3283,0.9773,-0.1786,0.8616,0.4689,0.2587,0.0255,-0.2671,-0.0602,0.0734,0.5338,0.3575,0.8811,0.6211,0.51,1.4869,1.1483,1.1264,1.7928,1.1977,1.1197,0.9508,0.8126,0.3687,0.094,0.1189,0.8511,-0.0673,-0.5412,-0.969
0.2564,0.6325,-0.3557,0.4604,0.1252,-0.1066,-0.2712,-0.4144,-0.2249,-0.1534,0.3804,0.2307,0.4929,0.3245,0.4631,1.0931,0.8439,0.9891,1.5156,0.7896,0.7098,0.7132,0.6594,0.1993,0.0676,0.0406,0.6486,-0.1452,-0.5178,-0.9094
0.1919,0.3302,-0.4858,0.1291,-0.1249,-0.3716,-0.5053,-0.5093,-0.3603,-0.3442,0.2417,0.1124,0.1486,0.0673,0.4157,0.7371,0.5539,0.871,1.2589,0.434,0.3478,0.4845,0.507,0.0529,0.0504,-0.0281,0.4718,-0.2274,-0.4729,-0.8192
0.1355,0.1012,-0.5538,-0.0983,-0.2556,-0.5078,-0.6516,-0.5413,-0.4527,-0.4771,0.1335,0.0173,-0.1142,-0.1216,0.3691,0.4586,0.318,0.7896,1.0619,0.1705,0.0746,0.2951,0.3765,-0.055,0.0418,-0.0822,0.3356,-0.3025,-0.4156,-0.7092
0.0886,-0.0308,-0.553,-0.1998,-0.2567,-0.5059,-0.6981,-0.5091,-0.4945,-0.5384,0.067,-0.0436,-0.2681,-0.222,0.3266,0.2891,0.1715,0.7568,0.9564,0.0287,-0.0787,0.1716,0.2876,-0.1126,0.0418,-0.1175,0.2509,-0.3585,-0.358,-0.5962
0.0536,-0.0527,-0.4871,-0.1682,-0.1338,-0.376,-0.6461,-0.4209,-0.4845,-0.5245,0.0479,-0.0642,-0.2986,-0.2238,0.2936,0.2473,0.1389,0.7776,0.9618,0.0245,-0.0947,0.1325,0.2546,-0.1131,0.0521,-0.1303,0.224,-0.3844,-0.3135,-0.5002
0.0343,0.0362,-0.3697,-0.0118,0.0935,-0.1453,-0.5092,-0.2926,-0.4281,-0.4412,0.0756,-0.044,-0.2055,-0.1276,0.2775,0.3377,0.2307,0.8497,1.0824,0.1588,0.0283,0.1861,0.2846,-0.0542,0.0752,-0.1175,0.2563,-0.3724,-0.2947,-0.4406
0.0347,0.2246,-0.2227,0.248,0.3972,0.1485,-0.3083,-0.1442,-0.3354,-0.3019,0.1437,0.0118,-0.002,0.0572,0.286,0.5504,0.4418,0.9646,1.3085,0.4182,0.2775,0.3299,0.3769,0.0613,0.1145,-0.0774,0.3439,-0.3197,-0.3108,-0.433
0.0586,0.4912,-0.0715,0.5808,0.7458,0.4651,-0.067,0.0046,-0.219,-0.1236,0.2417,0.0941,0.2881,0.3148,0.3255,0.8639,0.7532,1.1087,1.6188,0.7778,0.6283,0.5521,0.523,0.2264,0.1723,-0.0102,0.4786,-0.2299,-0.3665,-0.4851
