FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.1624,-0.3823,-0.3019,-0.3285,-0.117,-0.0364,0.3064,0.1539,0.2129,0.2841,0.2235,0.1923,0.2563,0.0138,-0.0186,-0.344,-0.0921,0.132,0.0876,-0.2989,-0.2163,0.3368,0.3442,0.4796,0.4186,0.353,0.4894,0.2931,-0.078,-0.0566
-0.2158,-0.3911,-0.3259,-0.3457,-0.1638,-0.0679,0.3084,0.152,0.2297,0.3256,0.2213,0.1989,0.2559,-0.0009,-0.0641,-0.3778,-0.1586,0.0472,0.0195,-0.3315,-0.2124,0.2509,0.2839,0.4491,0.3883,0.3286,0.4885,0.2779,-0.0479,-0.0583
-0.2649,-0.4018,-0.3456,-0.3655,-0.2073,-0.0975,0.3094,0.1505,0.246,0.3623,0.2229,0.2047,0.2516,-0.0193,-0.1102,-0.4158,-0.2269,-0.0318,-0.0508,-0.3703,-0.2156,0.1638,0.2211,0.4127,0.3537,0.3005,0.4788,0.2598,-0.0195,-0.0538
-0.3061,-0.4142,-0.357,-0.3886,-0.2445,-0.1232,0.3063,0.148,0.2589,0.3877,0.2271,0.2067,0.2391,-0.0438,-0.1568,-0.4592,-0.2968,-0.0995,-0.1231,-0.4178,-0.2308,0.0762,0.1559,0.3661,0.3124,0.2665,0.4536,0.236,0.0052,-0.0394
-0.3374,-0.4277,-0.3573,-0.4146,-0.2735,-0.1435,0.2958,0.1426,0.2657,0.3962,0.2311,0.2018,0.2151,-0.0764,-0.2034,-0.5073,-0.3664,-0.1519,-0.1962,-0.4743,-0.2606,-0.0107,0.0895,0.3068,0.2637,0.2256,0.4094,0.2048,0.0247,-0.0135
-0.3579,-0.441,-0.3451,-0.4419,-0.2942,-0.1573,0.2746,0.1325,0.2632,0.3834,0.2302,0.1873,0.1771,-0.1178,-0.2491,-0.5577,-0.432,-0.1867,-0.2669,-0.5371,-0.3049,-0.0946,0.0246,0.2347,0.2085,0.1787,0.346,0.1662,0.0383,0.023
-0.3683,-0.4518,-0.3202,-0.4677,-0.3073,-0.164,0.2402,0.116,0.2486,0.3467,0.2182,0.1608,0.1244,-0.1673,-0.2918,-0.606,-0.4881,-0.2036,-0.3309,-0.6009,-0.3605,-0.1719,-0.0347,0.1521,0.1499,0.1281,0.2673,0.1214,0.046,0.0669
-0.3696,-0.457,-0.2834,-0.4879,-0.314,-0.1632,0.1918,0.0923,0.22,0.2862,0.1893,0.1209,0.0585,-0.2217,-0.3292,-0.6464,-0.5283,-0.2037,-0.3827,-0.6584,-0.4213,-0.2384,-0.0835,0.064,0.0929,0.0776,0.1801,0.0732,0.0482,0.1131
-0.3634,-0.4529,-0.2366,-0.4977,-0.3153,-0.155,0.1308,0.0614,0.1768,0.2049,0.1392,0.0677,-0.0165,-0.2765,-0.3585,-0.6727,-0.5472,-0.1894,-0.4173,-0.7018,-0.4792,-0.2895,-0.1173,-0.0227,0.0429,0.0318,0.0931,0.0249,0.0458,0.1557
-0.3506,-0.4368,-0.1825,-0.4927,-0.3118,-0.1399,0.061,0.0249,0.1205,0.109,0.0664,0.0031,-0.0944,-0.3256,-0.3773,-0.6795,-0.541,-0.1637,-0.4308,-0.7242,-0.5259,-0.3213,-0.1327,-0.1,0.0053,-0.005,0.0154,-0.0197,0.0398,0.1891
-0.3323,-0.4071,-0.1242,-0.4704,-0.3032,-0.1184,-0.012,-0.0144,0.0544,0.0072,-0.0264,-0.0694,-0.1675,-0.3628,-0.3838,-0.6636,-0.5093,-0.1298,-0.4219,-0.7213,-0.554,-0.3314,-0.1285,-0.1607,-0.0163,-0.0296,-0.0453,-0.0577,0.0316,0.2095
-0.309,-0.3648,-0.0656,-0.4305,-0.2892,-0.0921,-0.0813,-0.0525,-0.0162,-0.0903,-0.1325,-0.1443,-0.2284,-0.3834,-0.378,-0.6253,-0.4558,-0.091,-0.3921,-0.6923,-0.5589,-0.3201,-0.1064,-0.1994,-0.0208,-0.0407,-0.0838,-0.0872,0.0225,0.2152
-0.2815,-0.3135,-0.011,-0.3759,-0.2697,-0.0628,-0.1403,-0.0847,-0.085,-0.1736,-0.2419,-0.2151,-0.271,-0.3847,-0.3612,-0.5686,-0.3873,-0.0508,-0.3461,-0.6407,-0.5403,-0.2906,-0.0713,-0.2141,-0.0104,-0.0394,-0.0988,-0.1077,0.014,0.2078
-0.2507,-0.259,0.0357,-0.3123,-0.2457,-0.033,-0.1834,-0.1067,-0.1452,-0.2345,-0.343,-0.275,-0.2925,-0.3672,-0.3361,-0.5008,-0.3129,-0.0127,-0.2909,-0.5734,-0.5015,-0.2489,-0.0304,-0.2066,0.0104,-0.029,-0.0928,-0.1199,0.0079,0.1909
-0.2187,-0.2086,0.0708,-0.2473,-0.2194,-0.0059,-0.2078,-0.1151,-0.1909,-0.2686,-0.4247,-0.3181,-0.2935,-0.3348,-0.3061,-0.4309,-0.2424,0.0193,-0.2348,-0.4997,-0.4495,-0.2028,0.0074,-0.1819,0.0349,-0.0141,-0.0714,-0.1256,0.0056,0.1697
-0.1879,-0.1693,0.0911,-0.1889,-0.1943,0.0152,-0.2139,-0.1086,-0.2179,-0.2755,-0.4786,-0.3405,-0.2784,-0.2939,-0.275,-0.3677,-0.1845,0.0406,-0.1861,-0.4293,-0.3936,-0.161,0.0337,-0.1478,0.0559,0.0003,-0.0426,-0.1272,0.0084,0.1492
-0.1616,-0.1462,0.0948,-0.1443,-0.1749,0.0268,-0.2055,-0.0883,-0.2247,-0.2595,-0.5005,-0.3411,-0.2544,-0.2526,-0.2463,-0.3184,-0.1455,0.0466,-0.1516,-0.3705,-0.3431,-0.1311,0.0414,-0.1133,0.0672,0.0097,-0.0148,-0.1274,0.0165,0.1332
-0.1433,-0.1417,0.0814,-0.1182,-0.1649,0.0262,-0.1887,-0.0577,-0.2125,-0.2281,-0.4914,-0.3218,-0.2297,-0.2188,-0.2227,-0.287,-0.1285,0.0334,-0.1359,-0.3288,-0.3062,-0.1192,0.0264,-0.0867,0.0644,0.0114,0.0046,-0.1283,0.0295,0.1236
-0.1356,-0.1549,0.0521,-0.112,-0.1671,0.012,-0.171,-0.0219,-0.1844,-0.1902,-0.4566,-0.2867,-0.2118,-0.1984,-0.2062,-0.2741,-0.1334,-0.0016,-0.1405,-0.3064,-0.2878,-0.1281,-0.0123,-0.0744,0.046,0.004,0.0107,-0.1314,0.046,0.1204
-0.1399,-0.1818,0.0098,-0.1237,-0.1819,-0.0156,-0.1588,0.0134,-0.1456,-0.1541,-0.4047,-0.2412,-0.2052,-0.1944,-0.198,-0.2774,-0.1574,-0.0586,-0.1644,-0.3016,-0.2891,-0.1577,-0.072,-0.0795,0.0134,-0.0117,0.0018,-0.1371,0.0642,0.1223
-0.1556,-0.2163,-0.041,-0.1486,-0.2072,-0.0546,-0.1562,0.0431,-0.1015,-0.1258,-0.3452,-0.1908,-0.2109,-0.2057,-0.1983,-0.2922,-0.1961,-0.1349,-0.2039,-0.3104,-0.3073,-0.2044,-0.147,-0.1019,-0.0295,-0.0335,-0.0204,-0.1442,0.0818,0.1271
-0.1799,-0.2516,-0.0944,-0.1803,-0.2385,-0.1007,-0.1639,0.0637,-0.0575,-0.108,-0.2868,-0.1401,-0.2261,-0.2277,-0.2059,-0.3129,-0.2437,-0.2245,-0.2537,-0.3265,-0.3362,-0.2619,-0.2296,-0.1383,-0.0773,-0.0584,-0.0515,-0.1508,0.0968,0.1326
-0.208,-0.2808,-0.144,-0.2114,-0.2696,-0.1484,-0.1793,0.0741,-0.018,-0.1001,-0.2353,-0.0921,-0.2452,-0.253,-0.2186,-0.3332,-0.2935,-0.3192,-0.3071,-0.3426,-0.3671,-0.3222,-0.3106,-0.1831,-0.1244,-0.0831,-0.0857,-0.1543,0.1073,0.1372
