FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.5204,-1.5288,-1.2315,-1.9746,-1.7694,-1.7795,-0.5848,-0.3264,-0.1849,-0.2196,0.1851,0.1655,-0.7072,-1.2292,-0.4944,-1.3382,-1.07,-0.9691,-1.1506,-1.5482,-1.497,-1.2021,-1.0534,-0.7743,-0.702,-0.3102,-0.5028,0.0054,0.4024,0.1274
-0.4092,-1.2078,-0.9515,-1.5168,-1.3718,-1.3473,-0.365,-0.17,-0.1129,-0.0921,0.2459,0.1614,-0.5324,-0.9854,-0.3505,-1.0609,-0.851,-0.7476,-0.9571,-1.2338,-1.1885,-1.018,-0.9596,-0.7015,-0.678,-0.3135,-0.5008,-0.0706,0.3745,0.0534
-0.3062,-0.9073,-0.6877,-1.0836,-0.993,-0.9378,-0.1588,-0.0248,-0.0455,0.0263,0.3004,0.156,-0.3681,-0.7551,-0.2192,-0.8034,-0.652,-0.545,-0.7804,-0.9375,-0.8983,-0.8486,-0.8695,-0.6316,-0.6548,-0.3165,-0.495,-0.1394,0.3451,-0.0137
-0.2185,-0.6454,-0.4553,-0.6988,-0.6516,-0.5729,0.0207,0.0979,0.0119,0.1261,0.3418,0.1479,-0.2246,-0.551,-0.1109,-0.5833,-0.4902,-0.3767,-0.6349,-0.6759,-0.6434,-0.7056,-0.7865,-0.5669,-0.6321,-0.3185,-0.4831,-0.195,0.3128,-0.0681
-0.1527,-0.4376,-0.2674,-0.3829,-0.3634,-0.2701,0.1625,0.1887,0.0545,0.2001,0.3657,0.1366,-0.1098,-0.3835,-0.0351,-0.4148,-0.378,-0.2524,-0.5313,-0.4635,-0.4378,-0.5975,-0.7136,-0.5083,-0.6085,-0.3173,-0.4628,-0.2326,0.2763,-0.1048
-0.1147,-0.2948,-0.1332,-0.1508,-0.1403,-0.0413,0.2585,0.2417,0.0792,0.2444,0.3705,0.1236,-0.0282,-0.2594,0.0009,-0.3069,-0.3217,-0.1753,-0.4751,-0.311,-0.2912,-0.5274,-0.6523,-0.4551,-0.5815,-0.3089,-0.4325,-0.2484,0.2344,-0.1202
-0.1075,-0.2212,-0.0573,-0.0105,0.0112,0.108,0.3057,0.2549,0.0851,0.2589,0.3578,0.1112,0.0197,-0.1809,-0.0058,-0.262,-0.3202,-0.1424,-0.4655,-0.2234,-0.2069,-0.4926,-0.6029,-0.4054,-0.5476,-0.2891,-0.3915,-0.2407,0.1867,-0.1127
-0.1307,-0.2137,-0.0382,0.039,0.0903,0.1788,0.3062,0.2309,0.0742,0.2472,0.3314,0.102,0.0374,-0.1452,-0.0526,-0.2749,-0.3655,-0.1454,-0.4954,-0.199,-0.1811,-0.4851,-0.5638,-0.356,-0.5036,-0.2542,-0.34,-0.2105,0.134,-0.0832
-0.1791,-0.2611,-0.0684,0.008,0.1029,0.1786,0.2672,0.1759,0.0502,0.2148,0.2964,0.0976,0.0312,-0.1452,-0.1313,-0.3344,-0.4443,-0.1734,-0.5527,-0.2291,-0.2038,-0.4931,-0.5323,-0.3043,-0.4474,-0.2034,-0.2801,-0.1621,0.0779,-0.0352
-0.2444,-0.3463,-0.1356,-0.0846,0.0602,0.12,0.1998,0.0988,0.0184,0.1682,0.2569,0.0974,0.0083,-0.1712,-0.229,-0.4245,-0.5411,-0.2152,-0.6225,-0.2993,-0.2603,-0.5034,-0.5057,-0.2493,-0.3794,-0.1395,-0.2164,-0.1035,0.0215,0.025
