FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.3901,-0.8555,-0.983,-0.6389,-0.3268,-0.4233,-0.0443,-0.3553,0.0011,0.0725,0.5117,-0.2469,0.3272,0.036,-0.8991,-0.812,-0.5351,-0.4514,-0.3855,-0.5782,-0.2576,-0.2672,-0.5487,0.2068,0.298,0.2234,0.4178,-0.0951,0.497,-0.4309
-0.4912,-0.8387,-0.8297,-0.6063,-0.3366,-0.3675,-0.0002,-0.2017,-0.0713,0.1091,0.4631,-0.1404,0.3096,0.047,-0.7735,-0.7874,-0.5767,-0.4436,-0.4983,-0.5366,-0.2118,-0.3397,-0.5184,0.1731,0.244,0.2685,0.2865,0.0453,0.3649,-0.4363
-0.5812,-0.8213,-0.6866,-0.5765,-0.3487,-0.319,0.0312,-0.0684,-0.1329,0.1394,0.4132,-0.05,0.2799,0.0487,-0.6664,-0.7628,-0.6136,-0.4412,-0.5966,-0.4983,-0.1747,-0.4061,-0.4958,0.1372,0.185,0.2989,0.1629,0.1618,0.2435,-0.4336
-0.6519,-0.8042,-0.5594,-0.5544,-0.3658,-0.2836,0.0405,0.0286,-0.1772,0.1576,0.3615,0.0123,0.2308,0.0343,-0.5956,-0.7383,-0.6424,-0.4493,-0.6678,-0.4655,-0.1525,-0.4603,-0.4862,0.0969,0.1191,0.3043,0.0521,0.2373,0.1422,-0.4142
-0.6976,-0.787,-0.4554,-0.5422,-0.3879,-0.2641,0.0243,0.0826,-0.2009,0.1609,0.3085,0.0406,0.1606,0.0011,-0.5709,-0.714,-0.6614,-0.4704,-0.706,-0.4394,-0.148,-0.4996,-0.492,0.052,0.0469,0.2805,-0.0423,0.2638,0.0682,-0.3737
-0.7158,-0.7686,-0.382,-0.5389,-0.4118,-0.2597,-0.0138,0.0961,-0.2044,0.1496,0.2556,0.0358,0.0739,-0.0496,-0.5909,-0.6896,-0.671,-0.5031,-0.7131,-0.4197,-0.1601,-0.5241,-0.5125,0.0037,-0.0275,0.2296,-0.1187,0.2436,0.0246,-0.3131
-0.7075,-0.7469,-0.3438,-0.5406,-0.4324,-0.2664,-0.0645,0.0791,-0.1915,0.1265,0.2057,0.0045,-0.0198,-0.1124,-0.6431,-0.6646,-0.6724,-0.5421,-0.6974,-0.405,-0.1842,-0.5366,-0.5428,-0.0453,-0.0978,0.1595,-0.1767,0.1876,0.0106,-0.2395
-0.6765,-0.7195,-0.3403,-0.5414,-0.4434,-0.2783,-0.1157,0.0445,-0.1682,0.0962,0.1616,-0.0433,-0.108,-0.1788,-0.7064,-0.638,-0.6671,-0.579,-0.6705,-0.3928,-0.2134,-0.5407,-0.5753,-0.0914,-0.157,0.0818,-0.2168,0.1118,0.0208,-0.1654
-0.6289,-0.6838,-0.3641,-0.5347,-0.4395,-0.2889,-0.1555,0.0043,-0.1409,0.0637,0.1261,-0.0966,-0.1788,-0.2395,-0.7568,-0.6085,-0.6556,-0.6039,-0.6431,-0.3797,-0.2397,-0.5392,-0.6004,-0.1306,-0.1988,0.0085,-0.2399,0.0331,0.0473,-0.1052
-0.5715,-0.6372,-0.4021,-0.5143,-0.4172,-0.2922,-0.1755,-0.0332,-0.1154,0.0332,0.1014,-0.1456,-0.2231,-0.2856,-0.7736,-0.5742,-0.6367,-0.6083,-0.6212,-0.3623,-0.2562,-0.5326,-0.6098,-0.1597,-0.2195,-0.0504,-0.2477,-0.0341,0.0814,-0.0714
