FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
0.1316,0.2929,-0.1287,-0.4072,-0.2237,-0.105,-0.0817,-0.1573,-0.0807,-0.0275,-0.0397,-0.2092,-0.2102,-0.0243,0.1644,-0.177,0.036,0.102,-0.2515,-0.1967,0.0656,-0.0559,-0.1019,0.0467,0.1257,0.1542,0.1107,0.1223,0.0042,0.0563
0.1716,0.2306,-0.1209,-0.3964,-0.2191,-0.1103,-0.0679,-0.1248,-0.0352,-0.0103,-0.021,-0.153,-0.1566,-0.0259,0.1641,-0.1276,0.0249,0.1157,-0.2449,-0.1687,0.0478,-0.0111,-0.0573,0.0743,0.1321,0.1487,0.0617,0.1219,0.0132,0.0616
0.2049,0.1688,-0.112,-0.3819,-0.2137,-0.1113,-0.0522,-0.094,0.0065,0.0075,-0.0035,-0.0991,-0.1059,-0.0278,0.1617,-0.086,0.0202,0.1302,-0.2338,-0.1426,0.0303,0.0305,-0.0172,0.1007,0.1367,0.1421,0.0167,0.1211,0.0182,0.0622
0.2271,0.1092,-0.1013,-0.361,-0.2063,-0.1044,-0.033,-0.0662,0.042,0.0262,0.0117,-0.0493,-0.0603,-0.0292,0.1553,-0.0577,0.0264,0.1456,-0.2146,-0.1196,0.0142,0.0665,0.0145,0.1251,0.1386,0.1334,-0.0211,0.1198,0.0165,0.0553
0.2366,0.054,-0.0875,-0.3318,-0.1958,-0.0873,-0.0094,-0.0417,0.07,0.0462,0.0244,-0.0046,-0.0212,-0.0289,0.144,-0.0465,0.0448,0.1608,-0.1865,-0.1007,0.0003,0.0944,0.0351,0.1465,0.1373,0.1222,-0.0489,0.1182,0.0061,0.0396
0.2348,0.0063,-0.0699,-0.2937,-0.1814,-0.0597,0.0187,-0.0205,0.0904,0.0676,0.035,0.0347,0.0104,-0.0255,0.1279,-0.0536,0.0729,0.1735,-0.1513,-0.0866,-0.0108,0.112,0.0438,0.1643,0.1329,0.1087,-0.0654,0.1174,-0.0141,0.0162
0.2256,-0.0306,-0.0479,-0.2476,-0.1627,-0.0233,0.0502,-0.0018,0.1042,0.09,0.0443,0.0689,0.0346,-0.0175,0.1083,-0.0774,0.1055,0.1811,-0.113,-0.0771,-0.0187,0.1182,0.0411,0.178,0.1261,0.094,-0.0702,0.1186,-0.0431,-0.0115
0.2137,-0.0535,-0.0222,-0.1958,-0.1396,0.0182,0.0829,0.0155,0.113,0.112,0.0525,0.0981,0.0528,-0.0035,0.0878,-0.1135,0.1362,0.1814,-0.0764,-0.0718,-0.0229,0.1132,0.0293,0.1876,0.1182,0.0794,-0.0639,0.1228,-0.0778,-0.0389
0.2036,-0.0606,0.0055,-0.1418,-0.1125,0.0601,0.1144,0.0323,0.1189,0.1318,0.0588,0.1224,0.0675,0.0173,0.0696,-0.1556,0.1591,0.1734,-0.0453,-0.0697,-0.0235,0.0997,0.0114,0.1936,0.1112,0.0669,-0.048,0.1305,-0.1128,-0.0606
0.1978,-0.0515,0.0327,-0.0899,-0.0826,0.0974,0.1419,0.0496,0.1241,0.147,0.0623,0.1419,0.0814,0.0446,0.0571,-0.1968,0.1706,0.158,-0.0219,-0.0695,-0.0205,0.0817,-0.0091,0.1968,0.1068,0.0583,-0.0248,0.1413,-0.1418,-0.0719
