FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
0.5368,0.2534,0.6265,0.0419,0.3936,0.6723,0.8256,0.6071,0.8862,0.416,0.7029,0.4375,1.1768,1.1219,-0.8393,0.0205,-0.1132,-0.4301,0.071,0.4039,0.8507,0.9196,-0.5019,1.1621,-0.374,-0.6207,0.7412,0.4346,0.1657,0.0958
0.0584,-0.0351,0.244,-0.1119,0.2081,0.4973,0.7547,0.6367,0.8095,0.4613,0.5624,0.3525,0.8955,0.7897,-0.9442,-0.2115,-0.3182,-0.52,-0.1836,0.1185,0.5623,0.4805,-0.5444,0.8358,-0.37,-0.4843,0.5136,0.3033,-0.1179,-0.1449
-0.3696,-0.3047,-0.0945,-0.2574,0.0356,0.3364,0.6878,0.6689,0.7422,0.5087,0.4417,0.2799,0.6342,0.4794,-1.0378,-0.4305,-0.5135,-0.6031,-0.425,-0.1503,0.2899,0.076,-0.5768,0.5402,-0.3547,-0.3515,0.3097,0.1955,-0.3712,-0.37
-0.7062,-0.5321,-0.3603,-0.3784,-0.1061,0.205,0.6301,0.705,0.6909,0.5604,0.3581,0.2316,0.4133,0.2128,-1.1081,-0.6181,-0.685,-0.6698,-0.6382,-0.3826,0.0518,-0.2624,-0.5912,0.3068,-0.3196,-0.2251,0.1545,0.126,-0.5709,-0.5623
-0.9253,-0.7033,-0.5404,-0.4661,-0.2064,0.1104,0.5823,0.7409,0.6607,0.616,0.321,0.2146,0.2458,0.0044,-1.1502,-0.762,-0.821,-0.7135,-0.809,-0.5643,-0.1392,-0.5126,-0.5828,0.154,-0.2597,-0.1058,0.0627,0.1034,-0.705,-0.7117
-1.0198,-0.8148,-0.6392,-0.5205,-0.2637,0.0505,0.5403,0.7678,0.654,0.6725,0.3303,0.2297,0.1361,-0.1403,-1.1657,-0.8563,-0.9126,-0.7307,-0.9245,-0.6892,-0.2775,-0.6648,-0.5509,0.0855,-0.176,0.0067,0.0373,0.1281,-0.7734,-0.8157
-1.0015,-0.8704,-0.6769,-0.5474,-0.284,0.0161,0.4975,0.7758,0.6683,0.7244,0.3766,0.2713,0.0809,-0.2239,-1.1602,-0.9013,-0.954,-0.7207,-0.9751,-0.7575,-0.3638,-0.7209,-0.4991,0.0921,-0.0752,0.1118,0.07,0.1917,-0.7863,-0.8776
-0.8974,-0.8783,-0.682,-0.5552,-0.2784,-0.0053,0.4469,0.7567,0.6953,0.7658,0.4431,0.3292,0.0714,-0.2551,-1.1392,-0.9013,-0.9432,-0.6847,-0.957,-0.7739,-0.4036,-0.6925,-0.4339,0.156,0.0314,0.207,0.1448,0.2783,-0.76,-0.9031
-0.7429,-0.8465,-0.6831,-0.5508,-0.259,-0.0249,0.384,0.7074,0.7216,0.791,0.5095,0.391,0.0964,-0.2451,-1.1047,-0.8622,-0.8817,-0.6247,-0.8741,-0.7454,-0.4047,-0.5984,-0.3623,0.2558,0.1309,0.2884,0.2419,0.3682,-0.7122,-0.8972
-0.5735,-0.7821,-0.6995,-0.5374,-0.2357,-0.0494,0.3087,0.6299,0.7317,0.7968,0.5561,0.4449,0.1451,-0.2055,-1.0529,-0.7907,-0.7754,-0.5425,-0.7386,-0.68,-0.3754,-0.4608,-0.2889,0.3701,0.2121,0.3534,0.3415,0.4426,-0.6578,-0.8615
-0.4176,-0.691,-0.7361,-0.514,-0.2138,-0.0802,0.2259,0.531,0.711,0.7824,0.5674,0.4824,0.2088,-0.1459,-0.9761,-0.6934,-0.6346,-0.4404,-0.5697,-0.5857,-0.3237,-0.3028,-0.2151,0.4809,0.2688,0.4021,0.4274,0.4889,-0.6061,-0.7946
-0.2927,-0.58,-0.7821,-0.4777,-0.1944,-0.1133,0.1439,0.4196,0.6503,0.75,0.5344,0.4988,0.2812,-0.0743,-0.8664,-0.5775,-0.4732,-0.3218,-0.3908,-0.4709,-0.2562,-0.1454,-0.1396,0.5745,0.3018,0.4385,0.4886,0.5026,-0.5598,-0.6937
-0.2044,-0.4588,-0.8157,-0.4267,-0.176,-0.1423,0.0723,0.3051,0.5476,0.7034,0.4552,0.4935,0.3578,0.0031,-0.7209,-0.4514,-0.3077,-0.1928,-0.2245,-0.3452,-0.1795,-0.0058,-0.0601,0.6419,0.3178,0.4692,0.5202,0.4884,-0.5164,-0.5581
-0.1481,-0.3399,-0.8114,-0.3622,-0.1564,-0.161,0.0196,0.195,0.4092,0.6473,0.3354,0.4688,0.4345,0.0807,-0.5451,-0.3247,-0.1546,-0.0624,-0.0889,-0.219,-0.1003,0.1043,0.024,0.678,0.3278,0.5013,0.5226,0.4572,-0.4706,-0.3916
-0.1128,-0.2364,-0.7502,-0.2893,-0.1346,-0.1656,-0.0094,0.0948,0.2482,0.5861,0.1858,0.4291,0.5072,0.1534,-0.3542,-0.2066,-0.0279,0.0586,0.0063,-0.1026,-0.0249,0.1795,0.1107,0.6817,0.3432,0.5398,0.5006,0.4228,-0.4176,-0.2039
-0.0852,-0.1583,-0.6266,-0.2146,-0.1107,-0.1552,-0.0137,0.0079,0.0816,0.5227,0.0213,0.3793,0.571,0.2165,-0.1702,-0.104,0.0644,0.1594,0.0618,-0.0039,0.0414,0.2212,0.1948,0.656,0.3724,0.5853,0.4616,0.3967,-0.355,-0.0101
-0.0545,-0.108,-0.4526,-0.1431,-0.085,-0.1315,0.0032,-0.0636,-0.0724,0.4581,-0.1422,0.3237,0.6202,0.2663,-0.0158,-0.0193,0.1221,0.2322,0.087,0.0732,0.0954,0.2366,0.2689,0.607,0.4175,0.6324,0.4144,0.3839,-0.2846,0.1723
-0.0149,-0.0796,-0.2556,-0.0767,-0.0578,-0.0979,0.0344,-0.1187,-0.1974,0.3911,-0.2899,0.2648,0.649,0.3004,0.0925,0.0498,0.1522,0.2743,0.0965,0.13,0.1364,0.2358,0.3261,0.5434,0.4728,0.6695,0.3667,0.3811,-0.2106,0.3261
0.0328,-0.0602,-0.0706,-0.0139,-0.0292,-0.0596,0.0698,-0.1571,-0.2819,0.3177,-0.4107,0.2029,0.651,0.3173,0.1506,0.1088,0.1659,0.2889,0.1045,0.171,0.1651,0.229,0.3611,0.4744,0.5261,0.6815,0.3237,0.3776,-0.1387,0.4385
0.0831,-0.0353,0.0701,0.0472,-0.0002,-0.0223,0.0979,-0.1795,-0.3207,0.2329,-0.4983,0.1369,0.6208,0.3158,0.1676,0.1632,0.1749,0.2833,0.1198,0.202,0.1828,0.2229,0.3715,0.4075,0.5616,0.6535,0.2871,0.3587,-0.0733,0.5026
0.1291,0.0061,0.148,0.1064,0.026,0.0076,0.108,-0.1877,-0.3155,0.1321,-0.5517,0.065,0.5543,0.2948,0.1631,0.2155,0.1866,0.2662,0.1428,0.2265,0.1894,0.219,0.3577,0.3461,0.5638,0.5758,0.2545,0.3108,-0.0162,0.5182
0.1659,0.0666,0.1644,0.1588,0.044,0.0246,0.0922,-0.184,-0.2738,0.014,-0.5741,-0.0126,0.4508,0.2531,0.1597,0.2633,0.2017,0.2442,0.167,0.2442,0.1837,0.2137,0.3227,0.2893,0.5218,0.4476,0.2209,0.2261,0.0337,0.4915
0.1935,0.1394,0.1393,0.1959,0.0474,0.025,0.0485,-0.1714,-0.207,-0.1176,-0.5709,-0.0928,0.3142,0.191,0.1749,0.3001,0.2154,0.2203,0.1816,0.2509,0.1631,0.2001,0.2713,0.2323,0.4322,0.2793,0.1797,0.1057,0.0803,0.433
0.2157,0.2109,0.1044,0.2084,0.0321,0.0088,-0.0182,-0.1527,-0.1269,-0.2517,-0.547,-0.1679,0.1545,0.1119,0.2152,0.3183,0.2194,0.1941,0.1773,0.2413,0.1264,0.1714,0.2102,0.1685,0.3005,0.0913,0.1259,-0.0399,0.1285,0.3557
0.2384,0.2666,0.0921,0.1915,-0.0013,-0.0189,-0.095,-0.1297,-0.0437,-0.3713,-0.5053,-0.2266,-0.012,0.0236,0.2749,0.3126,0.207,0.1636,0.1503,0.2119,0.0751,0.1247,0.1478,0.0929,0.1407,-0.0903,0.0573,-0.1928,0.1827,0.2728
0.2657,0.2963,0.1251,0.1485,-0.0453,-0.0484,-0.1634,-0.1027,0.0352,-0.456,-0.446,-0.2568,-0.1647,-0.0619,0.3382,0.2834,0.1761,0.1277,0.1045,0.1639,0.0154,0.0628,0.0928,0.0044,-0.0272,-0.2401,-0.0237,-0.3316,0.2449,0.1964
0.2975,0.2981,0.2093,0.0916,-0.0865,-0.0669,-0.2029,-0.0709,0.1043,-0.4869,-0.3688,-0.2492,-0.2818,-0.1297,0.3862,0.2367,0.1303,0.0876,0.0496,0.1041,-0.0426,-0.0059,0.0526,-0.0933,-0.1813,-0.3401,-0.1114,-0.4366,0.3133,0.135
0.3278,0.2782,0.3326,0.0386,-0.1094,-0.0623,-0.1966,-0.0332,0.1588,-0.4525,-0.2747,-0.2017,-0.3457,-0.1665,0.403,0.1829,0.0781,0.0471,-0.0019,0.0432,-0.0876,-0.0699,0.031,-0.193,-0.3028,-0.3836,-0.1984,-0.4946,0.3824,0.0927
0.3467,0.2479,0.4675,0.0073,-0.101,-0.0276,-0.1362,0.0099,0.1943,-0.3529,-0.1679,-0.1212,-0.3477,-0.1639,0.3812,0.1324,0.0299,0.0112,-0.0385,-0.0079,-0.11,-0.1178,0.0269,-0.2856,-0.3794,-0.376,-0.2772,-0.5025,0.4436,0.0688
0.3437,0.2191,0.5798,0.0097,-0.0557,0.0364,-0.0252,0.0558,0.207,-0.2015,-0.0562,-0.0233,-0.2908,-0.1213,0.3236,0.0928,-0.0045,-0.0146,-0.0523,-0.041,-0.1055,-0.1414,0.0349,-0.3628,-0.4076,-0.3325,-0.3418,-0.4674,0.4875,0.0579
0.3127,0.1997,0.6383,0.0476,0.023,0.1203,0.1206,0.0985,0.1952,-0.0231,0.0506,0.0713,-0.1895,-0.0466,0.2422,0.0672,-0.0184,-0.0262,-0.0404,-0.053,-0.076,-0.1375,0.0473,-0.4179,-0.3921,-0.2734,-0.3875,-0.405,0.507,0.0534
0.2556,0.1921,0.6253,0.1125,0.1225,0.2082,0.2765,0.1305,0.1599,0.1511,0.1422,0.1413,-0.0671,0.0456,0.1557,0.0537,-0.0097,-0.0217,-0.0048,-0.046,-0.0293,-0.1084,0.0571,-0.447,-0.3442,-0.2198,-0.4105,-0.3355,0.4999,0.0497
0.1826,0.1925,0.542,0.1877,0.2245,0.2823,0.414,0.144,0.1051,0.2896,0.2107,0.1702,0.0496,0.1378,0.0854,0.0483,0.02,-0.001,0.0486,-0.0258,0.0238,-0.06,0.0603,-0.4484,-0.2781,-0.1886,-0.4085,-0.2786,0.4704,0.0454
0.1102,0.1935,0.4083,0.2538,0.3098,0.3264,0.5068,0.133,0.0369,0.3671,0.2511,0.15,0.136,0.2133,0.0519,0.0465,0.0655,0.0344,0.1116,0.0008,0.0724,-0.0009,0.0571,-0.4231,-0.2078,-0.1891,-0.3811,-0.2482,0.4279,0.0433
0.0548,0.1873,0.2564,0.2941,0.363,0.3304,0.5357,0.0944,-0.0373,0.3684,0.2626,0.0826,0.1742,0.2596,0.0704,0.0463,0.1205,0.0815,0.175,0.0283,0.1082,0.0604,0.0511,-0.3756,-0.1436,-0.221,-0.3317,-0.2489,0.3843,0.0492
0.0283,0.1693,0.1214,0.2998,0.3756,0.2916,0.4921,0.0289,-0.1118,0.291,0.247,-0.0213,0.1563,0.2703,0.1463,0.0483,0.1782,0.1367,0.2308,0.0537,0.1276,0.116,0.0473,-0.3144,-0.0912,-0.274,-0.2684,-0.2752,0.35,0.0685
0.0344,0.1406,0.0313,0.2716,0.3476,0.2156,0.378,-0.0596,-0.1835,0.1442,0.2085,-0.145,0.0845,0.2453,0.2726,0.0561,0.2323,0.1946,0.2736,0.0772,0.131,0.16,0.0499,-0.2515,-0.0519,-0.3309,-0.2034,-0.3144,0.3307,0.1034
0.0681,0.1087,0.0007,0.2198,0.2871,0.1143,0.2059,-0.1647,-0.2536,-0.0534,0.1514,-0.2703,-0.0305,0.1893,0.43,0.0742,0.2786,0.2487,0.3012,0.101,0.1223,0.1886,0.0606,-0.2009,-0.025,-0.3735,-0.1509,-0.3511,0.3264,0.1521
0.1188,0.0865,0.0293,0.1621,0.2079,0.004,-0.0049,-0.2784,-0.3267,-0.278,0.0801,-0.381,-0.1723,0.1105,0.592,0.1073,0.3148,0.2925,0.3151,0.1286,0.1068,0.201,0.0779,-0.1752,-0.0097,-0.3882,-0.1238,-0.372,0.332,0.2087
0.1745,0.0885,0.1046,0.1183,0.1266,-0.0982,-0.2309,-0.3917,-0.4082,-0.5045,-0.0006,-0.4655,-0.3227,0.0185,0.7321,0.1584,0.3412,0.3212,0.3198,0.1633,0.0901,0.1991,0.0983,-0.1825,-0.0053,-0.3704,-0.1301,-0.3689,0.3401,0.2663
0.2254,0.1265,0.2069,0.1058,0.0584,-0.1777,-0.4487,-0.4961,-0.5011,-0.7104,-0.0851,-0.5176,-0.4651,-0.0775,0.8322,0.2279,0.3607,0.3336,0.3212,0.207,0.076,0.1865,0.1178,-0.2246,-0.0119,-0.3247,-0.1707,-0.34,0.345,0.3191
0.2659,0.2042,0.316,0.1332,0.0135,-0.2261,-0.638,-0.5838,-0.6035,-0.8784,-0.1669,-0.5367,-0.5881,-0.1705,0.886,0.3124,0.3774,0.3323,0.3252,0.2587,0.0655,0.1679,0.1331,-0.2962,-0.0283,-0.2626,-0.2388,-0.289,0.3443,0.3638
0.295,0.3146,0.4149,0.1981,-0.0057,-0.2422,-0.7846,-0.6487,-0.7074,-0.9977,-0.2391,-0.5271,-0.6859,-0.2558,0.8994,0.4049,0.3952,0.3226,0.3363,0.3145,0.0568,0.1472,0.1423,-0.3874,-0.0526,-0.1986,-0.3214,-0.2237,0.3398,0.399
0.3146,0.4407,0.4925,0.2862,-0.0045,-0.2319,-0.8811,-0.6858,-0.8004,-1.0645,-0.2953,-0.4967,-0.7583,-0.3317,0.8854,0.4954,0.4162,0.3103,0.3564,0.3674,0.0457,0.1264,0.1442,-0.485,-0.0816,-0.1449,-0.4017,-0.1541,0.3365,0.4248
0.3273,0.5588,0.5435,0.3762,0.0061,-0.2056,-0.9269,-0.6914,-0.868,-1.0804,-0.3299,-0.4549,-0.8087,-0.3981,0.8587,0.5718,0.4392,0.2992,0.3834,0.4087,0.0269,0.1048,0.1374,-0.5763,-0.1125,-0.109,-0.4628,-0.0905,0.3392,0.4407
0.335,0.6447,0.5667,0.445,0.0132,-0.175,-0.9266,-0.6631,-0.8973,-1.0507,-0.3384,-0.4099,-0.8413,-0.4559,0.8313,0.6225,0.4591,0.2899,0.4105,0.4298,-0.0044,0.0785,0.1199,-0.651,-0.143,-0.0915,-0.4912,-0.0408,0.3503,0.4457
0.3372,0.6798,0.5633,0.4746,0.0063,-0.1504,-0.8875,-0.6012,-0.879,-0.9828,-0.3178,-0.3671,-0.8591,-0.5057,0.8101,0.6376,0.4678,0.28,0.4262,0.4234,-0.0509,0.0422,0.0895,-0.7028,-0.1714,-0.0874,-0.4795,-0.0085,0.3675,0.4381
0.3317,0.6558,0.5355,0.4569,-0.0192,-0.1373,-0.8185,-0.5102,-0.8094,-0.8852,-0.267,-0.3278,-0.8624,-0.5468,0.7966,0.6119,0.4566,0.2657,0.4176,0.3866,-0.1118,-0.0091,0.0443,-0.7295,-0.1964,-0.0899,-0.4278,0.0073,0.3838,0.4168
0.3154,0.5767,0.4873,0.3959,-0.0604,-0.1363,-0.7274,-0.3991,-0.6904,-0.7666,-0.1879,-0.2903,-0.8488,-0.5759,0.7884,0.5471,0.42,0.2436,0.3756,0.3223,-0.182,-0.0762,-0.0165,-0.7315,-0.2164,-0.0934,-0.3425,0.0111,0.3894,0.3821
0.2863,0.4581,0.424,0.3056,-0.1076,-0.1425,-0.6207,-0.2807,-0.5296,-0.6359,-0.0856,-0.2514,-0.8135,-0.5875,0.7806,0.4525,0.3594,0.2128,0.3,0.2398,-0.2516,-0.1539,-0.0916,-0.7102,-0.2298,-0.0973,-0.2349,0.0086,0.3744,0.3354
0.2451,0.3223,0.3523,0.2059,-0.1462,-0.1476,-0.5031,-0.1692,-0.3401,-0.5022,0.0315,-0.2085,-0.7517,-0.5746,0.7675,0.344,0.2836,0.1755,0.2012,0.1539,-0.3075,-0.2305,-0.1762,-0.6669,-0.2355,-0.1055,-0.1184,0.0044,0.3325,0.2794
0.1973,0.193,0.2796,0.1173,-0.1614,-0.1429,-0.3784,-0.0776,-0.1387,-0.3747,0.1521,-0.1611,-0.6605,-0.5308,0.7459,0.2415,0.207,0.1376,0.0976,0.0819,-0.3364,-0.2901,-0.2615,-0.6034,-0.2334,-0.124,-0.0075,0.0014,0.2633,0.2172
0.1523,0.09,0.2128,0.0558,-0.1418,-0.122,-0.2502,-0.0147,0.0559,-0.2621,0.2641,-0.1112,-0.5407,-0.4529,0.7169,0.1642,0.1463,0.1073,0.0107,0.0402,-0.3274,-0.3167,-0.3348,-0.5229,-0.2239,-0.1573,0.0842,0.0007,0.174,0.152
0.1219,0.0258,0.1585,0.0309,-0.0822,-0.0823,-0.1231,0.0166,0.2259,-0.1714,0.3558,-0.0632,-0.3973,-0.3421,0.6877,0.1272,0.1158,0.0941,-0.0414,0.0402,-0.2749,-0.2982,-0.3807,-0.4317,-0.2076,-0.2044,0.1456,0.003,0.078,0.0876
0.116,0.0053,0.1228,0.0452,0.0154,-0.0255,-0.0023,0.0191,0.3562,-0.1072,0.4176,-0.0227,-0.2397,-0.2052,0.6712,0.1387,0.1248,0.1068,-0.0483,0.0866,-0.1803,-0.2299,-0.3846,-0.3385,-0.184,-0.2576,0.1695,0.0093,-0.0073,0.0284
0.1397,0.0268,0.1118,0.0962,0.1428,0.0442,0.1061,0.0005,0.4357,-0.0712,0.4428,0.0039,-0.0794,-0.053,0.6828,0.1989,0.175,0.1516,-0.0096,0.1767,-0.0513,-0.1156,-0.3365,-0.2535,-0.1511,-0.3048,0.1549,0.021,-0.0657,-0.0201
0.1898,0.0851,0.1302,0.1786,0.288,0.1212,0.1962,-0.0295,0.4583,-0.0625,0.4281,0.0111,0.0707,0.1015,0.7356,0.3009,0.2615,0.2305,0.0663,0.3011,0.0994,0.033,-0.2335,-0.1854,-0.1061,-0.3327,0.1073,0.039,-0.0862,-0.0522
0.2548,0.1731,0.1789,0.2856,0.4372,0.1999,0.2628,-0.0623,0.423,-0.0781,0.3738,-0.0049,0.1993,0.2451,0.8347,0.4324,0.3741,0.3398,0.1658,0.4461,0.2561,0.1995,-0.0819,-0.1391,-0.047,-0.3319,0.0382,0.0634,-0.0671,-0.063
0.3163,0.2833,0.2528,0.41,0.5771,0.2754,0.3022,-0.0926,0.3346,-0.1134,0.2843,-0.0452,0.297,0.3666,0.9725,0.5782,0.5003,0.4707,0.275,0.5956,0.4031,0.3665,0.1047,-0.1138,0.0257,-0.3004,-0.0368,0.0926,-0.0166,-0.0502
0.3526,0.4082,0.3406,0.5439,0.6965,0.3435,0.3128,-0.1191,0.2032,-0.1639,0.1677,-0.1077,0.3575,0.4576,1.1279,0.7227,0.6278,0.6102,0.3844,0.7341,0.5269,0.5193,0.3074,-0.103,0.108,-0.245,-0.101,0.1239,0.0494,-0.0151
0.3438,0.5391,0.4265,0.678,0.7863,0.4003,0.2948,-0.1448,0.0436,-0.2252,0.0357,-0.1865,0.3775,0.513,1.2709,0.8522,0.747,0.7433,0.4898,0.8488,0.6179,0.648,0.5068,-0.0971,0.1912,-0.1799,-0.1405,0.1535,0.1114,0.0378
0.2783,0.6659,0.4956,0.8012,0.8399,0.4415,0.2498,-0.1752,-0.126,-0.2941,-0.0979,-0.2739,0.3554,0.5297,1.3715,0.9559,0.8504,0.8558,0.5908,0.9298,0.6698,0.7469,0.6853,-0.0867,0.2637,-0.1228,-0.1475,0.177,0.1524,0.1019
0.1568,0.7758,0.5382,0.9005,0.8525,0.4618,0.18,-0.2168,-0.2874,-0.3689,-0.2196,-0.3611,0.2906,0.505,1.4092,1.0262,0.9322,0.9364,0.6864,0.9706,0.6795,0.8126,0.8288,-0.0672,0.3136,-0.0904,-0.1229,0.1902,0.1623,0.1708
-0.0072,0.8539,0.5529,0.9617,0.8208,0.4548,0.0869,-0.2751,-0.4253,-0.4498,-0.3196,-0.441,0.182,0.4359,1.3797,1.0578,0.9864,0.9772,0.7715,0.967,0.6452,0.8416,0.9265,-0.0424,0.331,-0.0939,-0.0772,0.1885,0.1399,0.2393
-0.1905,0.8851,0.5458,0.9716,0.743,0.4136,-0.0284,-0.3537,-0.5306,-0.5387,-0.3942,-0.5101,0.0289,0.3192,1.2965,1.0473,1.0068,0.9748,0.8357,0.9165,0.5656,0.8293,0.9702,-0.0244,0.3111,-0.1367,-0.0289,0.1678,0.0927,0.3038
-0.3665,0.8569,0.5261,0.9198,0.6187,0.332,-0.1651,-0.4528,-0.6025,-0.6377,-0.4459,-0.5688,-0.1685,0.1526,1.1857,0.9927,0.987,0.9293,0.8645,0.8182,0.4398,0.7708,0.9534,-0.0308,0.2535,-0.2146,0.0003,0.1237,0.0339,0.3614
-0.5113,0.762,0.5022,0.8014,0.4498,0.2069,-0.3216,-0.5681,-0.6476,-0.748,-0.4821,-0.6203,-0.4063,-0.0627,1.0778,0.8936,0.9225,0.844,0.8437,0.6733,0.2682,0.6626,0.8727,-0.0787,0.1625,-0.3175,-0.0094,0.0534,-0.0227,0.4095
-0.6091,0.6011,0.4775,0.6186,0.2417,0.04,-0.4935,-0.6913,-0.6777,-0.868,-0.5104,-0.6688,-0.6755,-0.3198,0.9983,0.7521,0.8118,0.7248,0.763,0.4859,0.0543,0.5054,0.7299,-0.1791,0.0441,-0.4317,-0.0698,-0.043,-0.0658,0.4449
-0.6537,0.3843,0.4504,0.3819,0.0035,-0.1611,-0.6736,-0.8109,-0.7057,-0.9923,-0.5362,-0.7167,-0.9612,-0.6054,0.9615,0.5741,0.6584,0.58,0.6198,0.2643,-0.1941,0.3056,0.534,-0.332,-0.0944,-0.5432,-0.1819,-0.1613,-0.0902,0.4641
-0.6483,0.1304,0.4158,0.1097,-0.2508,-0.3824,-0.8513,-0.9136,-0.7417,-1.1118,-0.5602,-0.7629,-1.2434,-0.9004,0.9687,0.3695,0.4711,0.4199,0.4206,0.0217,-0.4636,0.076,0.3019,-0.5257,-0.2454,-0.6399,-0.335,-0.2925,-0.0965,0.4644
-0.6033,-0.1348,0.369,-0.1731,-0.5033,-0.6053,-1.014,-0.9874,-0.7907,-1.2159,-0.5796,-0.8036,-1.4996,-1.1817,1.0102,0.1532,0.2641,0.2568,0.1813,-0.2238,-0.7355,-0.1652,0.057,-0.7384,-0.4005,-0.7136,-0.5091,-0.4244,-0.0901,0.4451
-0.5331,-0.3818,0.3089,-0.4377,-0.7332,-0.8079,-1.1485,-1.0246,-0.8514,-1.2946,-0.5896,-0.8333,-1.7084,-1.4255,1.0697,-0.0558,0.0564,0.1039,-0.0742,-0.45,-0.9874,-0.3963,-0.1747,-0.9424,-0.55,-0.7609,-0.6797,-0.5443,-0.0778,0.4078
-0.4524,-0.5808,0.2406,-0.6549,-0.919,-0.9688,-1.2436,-1.0238,-0.917,-1.3411,-0.5857,-0.8471,-1.8525,-1.6107,1.1295,-0.2357,-0.1299,-0.0254,-0.3156,-0.633,-1.1951,-0.5944,-0.3687,-1.1099,-0.6823,-0.7826,-0.8228,-0.6413,-0.0654,0.3579
-0.3739,-0.7057,0.1752,-0.7987,-1.0415,-1.0701,-1.2912,-0.9908,-0.9776,-1.3535,-0.5655,-0.8425,-1.9207,-1.7208,1.1751,-0.3638,-0.271,-0.1187,-0.5094,-0.7496,-1.336,-0.7382,-0.5061,-1.2181,-0.7856,-0.7826,-0.9198,-0.7086,-0.0557,0.3039
-0.3065,-0.7379,0.1266,-0.8501,-1.0867,-1.1003,-1.2884,-0.9378,-1.0243,-1.3359,-0.5291,-0.821,-1.9097,-1.7465,1.199,-0.4204,-0.3448,-0.1653,-0.6234,-0.781,-1.3921,-0.8102,-0.5754,-1.2526,-0.8486,-0.7668,-0.9612,-0.744,-0.048,0.2572
-0.2558,-0.6696,0.108,-0.8014,-1.0492,-1.0573,-1.2384,-0.8815,-1.0517,-1.2975,-0.4802,-0.7887,-1.8241,-1.6863,1.2027,-0.3918,-0.3347,-0.1579,-0.633,-0.7171,-1.3536,-0.8003,-0.5742,-1.2103,-0.8632,-0.741,-0.9475,-0.7502,-0.0397,0.2303
-0.2244,-0.5071,0.1277,-0.6588,-0.9345,-0.9501,-1.1507,-0.8396,-1.0611,-1.2516,-0.4257,-0.7551,-1.6763,-1.5482,1.1957,-0.2748,-0.2341,-0.0941,-0.528,-0.5594,-1.2219,-0.7082,-0.5082,-1.0995,-0.8258,-0.7098,-0.8887,-0.7338,-0.0287,0.2342
-0.2143,-0.2716,0.1851,-0.4433,-0.76,-0.7979,-1.0407,-0.8272,-1.0597,-1.2124,-0.3752,-0.7317,-1.485,-1.3487,1.1915,-0.0791,-0.0499,0.0217,-0.3166,-0.3233,-1.0107,-0.5452,-0.3903,-0.9389,-0.7386,-0.6756,-0.8017,-0.7031,-0.0156,0.2751
-0.2269,0.0026,0.2693,-0.188,-0.5521,-0.6272,-0.9262,-0.8533,-1.058,-1.1922,-0.3384,-0.7284,-1.2726,-1.1112,1.2017,0.1719,0.1968,0.1779,-0.0256,-0.0368,-0.7446,-0.3326,-0.2388,-0.7538,-0.61,-0.6385,-0.7058,-0.6667,-0.0047,0.3522
-0.2631,0.2732,0.3595,0.0674,-0.3415,-0.4665,-0.8242,-0.9178,-1.0649,-1.1976,-0.3224,-0.7505,-1.0617,-0.8624,1.2301,0.4444,0.4732,0.3553,0.3035,0.2636,-0.4558,-0.0989,-0.0747,-0.5708,-0.4537,-0.597,-0.6179,-0.6304,-0.0035,0.4565
