FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-1.165,-2.4433,-1.8803,-2.1044,-1.4494,-1.1218,-0.2819,0.0423,-0.183,-0.3117,0.0856,-0.19,-0.4519,-1.2225,-2.7901,-2.6928,-2.3578,-1.705,-2.0095,-2.454,-1.9173,-1.4402,-1.0476,-0.269,0.225,0.112,0.0769,-0.4045,-0.7631,-1.3778
-1.3498,-2.3194,-1.585,-1.9817,-1.3723,-1.0256,-0.2705,0.0987,-0.0916,-0.2756,0.0572,-0.1274,-0.4985,-1.2324,-2.3639,-2.5932,-2.3059,-1.7012,-1.9859,-2.3732,-1.8891,-1.4234,-1.0436,-0.3645,0.0845,0.0747,0.0163,-0.2397,-0.6489,-1.2455
-1.5034,-2.1961,-1.3187,-1.8647,-1.303,-0.941,-0.2612,0.1493,-0.0069,-0.2445,0.0307,-0.0701,-0.543,-1.2429,-1.9727,-2.4893,-2.2456,-1.6858,-1.957,-2.2886,-1.8597,-1.4084,-1.0405,-0.4556,-0.0493,0.0328,-0.0444,-0.0963,-0.538,-1.1196
-1.5993,-2.073,-1.1021,-1.7562,-1.2455,-0.8751,-0.255,0.1885,0.0651,-0.2216,0.0094,-0.0222,-0.5815,-1.2525,-1.6426,-2.3758,-2.1665,-1.6475,-1.9157,-2.1965,-1.8265,-1.3936,-1.036,-0.5356,-0.1683,-0.015,-0.1033,0.0091,-0.4334,-1.0018
-1.624,-1.9525,-0.9485,-1.6588,-1.2018,-0.8311,-0.2518,0.2131,0.1217,-0.2072,-0.0028,0.0146,-0.6103,-1.258,-1.3884,-2.2503,-2.0624,-1.5815,-1.8573,-2.0948,-1.7869,-1.3765,-1.0277,-0.598,-0.2649,-0.0656,-0.1567,0.0698,-0.3397,-0.8947
-1.5786,-1.8391,-0.86,-1.5737,-1.1707,-0.8073,-0.2497,0.2237,0.1625,-0.1988,-0.0022,0.0408,-0.6255,-1.2546,-1.2111,-2.1126,-1.9322,-1.4897,-1.7798,-1.9833,-1.7378,-1.3531,-1.0126,-0.6362,-0.3329,-0.1124,-0.1993,0.089,-0.2621,-0.8009
-1.4758,-1.7362,-0.8268,-1.4992,-1.1468,-0.7977,-0.2456,0.223,0.1894,-0.1919,0.0135,0.0588,-0.6232,-1.2354,-1.0983,-1.9632,-1.7788,-1.3784,-1.6822,-1.8614,-1.6747,-1.3181,-0.9865,-0.6451,-0.3676,-0.147,-0.2255,0.0783,-0.2052,-0.7214
-1.336,-1.6441,-0.8285,-1.4298,-1.1207,-0.7934,-0.2357,0.2152,0.2049,-0.182,0.0441,0.072,-0.5998,-1.1928,-1.0276,-1.8024,-1.6071,-1.2551,-1.564,-1.7272,-1.5915,-1.2644,-0.9447,-0.6214,-0.3675,-0.1622,-0.2309,0.0529,-0.1709,-0.6539
-1.1803,-1.5578,-0.8396,-1.3567,-1.0812,-0.7839,-0.2167,0.2041,0.211,-0.1656,0.0859,0.0828,-0.5532,-1.1199,-0.9727,-1.6298,-1.4229,-1.1261,-1.4246,-1.5779,-1.4821,-1.1853,-0.8822,-0.5648,-0.334,-0.1536,-0.2142,0.0278,-0.1574,-0.5931
-1.0266,-1.4678,-0.8345,-1.2695,-1.0173,-0.7598,-0.1875,0.192,0.2092,-0.142,0.132,0.0925,-0.4847,-1.0136,-0.9103,-1.445,-1.2322,-0.9959,-1.2644,-1.4107,-1.3424,-1.076,-0.7954,-0.4792,-0.2721,-0.1212,-0.1779,0.0138,-0.1594,-0.5312
-0.8867,-1.3624,-0.7942,-1.1594,-0.9218,-0.7145,-0.1497,0.1794,0.1997,-0.1132,0.1732,0.1006,-0.3996,-0.8763,-0.8257,-1.249,-1.0411,-0.8671,-1.0861,-1.2248,-1.1723,-0.9363,-0.6841,-0.3726,-0.1899,-0.0697,-0.128,0.0154,-0.169,-0.4608
-0.7649,-1.2324,-0.7091,-1.0224,-0.7938,-0.6458,-0.1074,0.1658,0.183,-0.0832,0.2004,0.1053,-0.3073,-0.7164,-0.7162,-1.0463,-0.8562,-0.7414,-0.896,-1.0236,-0.9776,-0.7717,-0.5522,-0.2567,-0.0977,-0.0081,-0.0737,0.0302,-0.177,-0.3775
-0.6604,-1.0736,-0.5808,-0.8609,-0.6394,-0.5562,-0.0662,0.1505,0.1601,-0.0564,0.2064,0.1044,-0.2194,-0.5475,-0.5911,-0.8446,-0.685,-0.6215,-0.7037,-0.8147,-0.7695,-0.5931,-0.4086,-0.1457,-0.0072,0.0527,-0.0253,0.0508,-0.1752,-0.2818
-0.5687,-0.8897,-0.4214,-0.6836,-0.4708,-0.4523,-0.0316,0.1342,0.1333,-0.0364,0.1877,0.0961,-0.1478,-0.3859,-0.4677,-0.6548,-0.5354,-0.5112,-0.5218,-0.6097,-0.5629,-0.4158,-0.2658,-0.0537,0.0709,0.1015,0.0078,0.0678,-0.1579,-0.1799
-0.4855,-0.6909,-0.25,-0.5037,-0.3037,-0.3428,-0.0079,0.1183,0.1058,-0.0253,0.1452,0.0799,-0.1014,-0.2469,-0.365,-0.4886,-0.4147,-0.4154,-0.3635,-0.4223,-0.3743,-0.2558,-0.1375,0.0079,0.1278,0.1297,0.0197,0.0731,-0.1228,-0.0821
-0.4082,-0.4917,-0.088,-0.3357,-0.1542,-0.2369,0.0034,0.1056,0.0815,-0.0226,0.0839,0.057,-0.084,-0.1427,-0.2982,-0.3562,-0.3271,-0.3391,-0.2393,-0.2657,-0.2185,-0.1266,-0.0352,0.033,0.1588,0.1337,0.009,0.0629,-0.0716,-0.0001
