FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
-0.4119,-1.4308,-0.9431,-1.2046,-0.804,-0.6842,-0.2897,0.0732,0.3135,-0.119,0.0951,0.0806,-0.2872,-0.6283,-0.1916,-1.3416,-1.0312,-0.7016,-1.3694,-1.1196,-0.9138,-0.9632,-0.7837,-0.5279,-0.2405,0.0084,-0.5367,-0.0306,-0.6117,-0.7593
-0.445,-1.2881,-0.8268,-1.1559,-0.8323,-0.6724,-0.2969,-0.0328,0.1996,-0.1442,0.0898,0.0787,-0.2924,-0.6413,-0.2168,-1.3544,-1.0329,-0.6754,-1.2958,-1.1632,-0.9394,-0.9252,-0.747,-0.4538,-0.1505,0.0888,-0.2812,0.0577,-0.5767,-0.6321
-0.4729,-1.1635,-0.7204,-1.1124,-0.8581,-0.6646,-0.3049,-0.1264,0.0957,-0.1688,0.0836,0.0777,-0.2956,-0.6557,-0.2389,-1.364,-1.037,-0.6527,-1.234,-1.2032,-0.963,-0.8893,-0.7103,-0.3864,-0.0719,0.1582,-0.051,0.1398,-0.5437,-0.5147
-0.4913,-1.0667,-0.6287,-1.0745,-0.8768,-0.6607,-0.3143,-0.1968,0.0103,-0.1904,0.0763,0.079,-0.2945,-0.6696,-0.2581,-1.3643,-1.0374,-0.6335,-1.1885,-1.2324,-0.98,-0.8542,-0.6713,-0.3295,-0.0127,0.208,0.132,0.2094,-0.5112,-0.4125
-0.498,-0.9987,-0.554,-1.039,-0.8834,-0.6575,-0.3247,-0.2372,-0.05,-0.2054,0.0684,0.0837,-0.287,-0.6791,-0.2737,-1.3486,-1.0261,-0.6153,-1.1567,-1.2431,-0.9847,-0.8168,-0.6266,-0.2837,0.0235,0.2335,0.2552,0.2617,-0.4767,-0.3273
-0.4925,-0.9513,-0.4954,-0.9998,-0.8725,-0.6495,-0.3349,-0.2455,-0.0824,-0.2099,0.0611,0.0928,-0.2717,-0.679,-0.2843,-1.3101,-0.9947,-0.5931,-1.1294,-1.2278,-0.9709,-0.7727,-0.5729,-0.2473,0.0383,0.2344,0.3162,0.2935,-0.4379,-0.2573
-0.4755,-0.9102,-0.4501,-0.9489,-0.8405,-0.6303,-0.3434,-0.2244,-0.0872,-0.2005,0.0555,0.1065,-0.2485,-0.6638,-0.2888,-1.2441,-0.9355,-0.5612,-1.0942,-1.1811,-0.9337,-0.7177,-0.5073,-0.2168,0.0368,0.2141,0.3213,0.3037,-0.3935,-0.1987
-0.4492,-0.8602,-0.4138,-0.8798,-0.7863,-0.5956,-0.3492,-0.1809,-0.0687,-0.176,0.0522,0.1236,-0.2188,-0.6297,-0.2864,-1.1495,-0.8446,-0.5153,-1.0391,-1.1013,-0.8709,-0.6492,-0.4297,-0.1885,0.026,0.1781,0.2827,0.2922,-0.344,-0.147
-0.4164,-0.7903,-0.3828,-0.7895,-0.7129,-0.5444,-0.352,-0.1245,-0.0341,-0.138,0.0512,0.1416,-0.1852,-0.5755,-0.2777,-1.03,-0.7231,-0.4543,-0.957,-0.9911,-0.7842,-0.5679,-0.3429,-0.1598,0.0125,0.1326,0.2145,0.2605,-0.2915,-0.0993
-0.3798,-0.6969,-0.3534,-0.6795,-0.6265,-0.4794,-0.3523,-0.0653,0.0076,-0.0907,0.0514,0.157,-0.151,-0.5031,-0.2638,-0.8931,-0.5777,-0.3806,-0.8474,-0.858,-0.6788,-0.4774,-0.2524,-0.1299,0.0015,0.0833,0.1306,0.211,-0.2394,-0.0542
