time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	-0.8028	-0.6678	-0.2028	-0.7688	-0.8395	-0.5967	-0.1285	1.5967	-0.1196	-0.5476	-0.4822	1.0372	0.8266	-0.0689	-0.5738	-1.6513	0.1312	-0.5028	-1.3644	-1.1285	-0.6707	-0.8663	-0.2248	-0.0758	-1.3234	-1.8097	0.1049	0.6145	-1.142	-2.7126
-195.3125	-0.3412	0.0774	0.3328	0.0565	0.0304	0.0505	0.2244	1.5393	-0.4741	-0.346	-0.4501	1.0523	1.1434	0.613	-0.0464	-0.8345	0.4509	-0.2905	-0.6159	-0.2486	0.1688	-0.1793	0.0186	0.3891	-0.6394	-1.431	0.4608	0.7213	-0.6589	-2.3619
-191.4062	0.0874	0.7243	0.8097	0.7827	0.7956	0.617	0.5219	1.4531	-0.8224	-0.1847	-0.4274	1.0581	1.4163	1.2193	0.4153	-0.1096	0.7152	-0.108	0.0511	0.5417	0.9275	0.432	0.2398	0.8169	-0.0085	-1.0718	0.8011	0.8607	-0.1939	-2.0221
-187.5	0.4525	1.1932	1.1767	1.328	1.3686	1.038	0.7258	1.327	-1.1375	-0.0853	-0.4106	1.0549	1.609	1.6859	0.7625	0.4497	0.8889	0.026	0.5728	1.1679	1.5349	0.9082	0.4218	1.1731	0.5218	-0.7527	1.1049	1.0543	0.2264	-1.7068
-183.5938	0.7464	1.4532	1.4118	1.6589	1.7083	1.2851	0.8272	1.1678	-1.383	-0.0461	-0.3879	1.0548	1.7071	1.9824	0.9768	0.8116	0.968	0.1094	0.9242	1.5964	1.9565	1.2253	0.5634	1.4414	0.9193	-0.4863	1.3596	1.3127	0.581	-1.4222
-179.6875	0.9832	1.5257	1.5222	1.7929	1.8243	1.3685	0.8475	1.0007	-1.5168	-0.0422	-0.3406	1.0775	1.7196	2.1156	1.0732	0.9902	0.98	0.1568	1.1212	1.8383	2.1964	1.3967	0.6785	1.6244	1.1697	-0.2774	1.5598	1.6323	0.8548	-1.167
-175.7812	1.1887	1.4711	1.536	1.7858	1.7677	1.3273	0.8302	0.8645	-1.4995	-0.0331	-0.2479	1.143	1.6724	2.1215	1.0922	1.0348	0.9744	0.1956	1.2105	1.9392	2.2894	1.4625	0.7891	1.7377	1.2751	-0.1249	1.704	1.994	1.0378	-0.9346
-171.875	1.386	1.3649	1.4867	1.7083	1.6102	1.2132	0.8255	0.8017	-1.3045	0.0236	-0.0933	1.2617	1.5977	2.0501	1.0854	1.0106	1.0049	0.2567	1.2507	1.9598	2.2844	1.4723	0.915	1.801	1.2499	-0.0255	1.7898	2.3657	1.1234	-0.7181
-167.9688	1.5826	1.2716	1.3995	1.6219	1.4225	1.073	0.8746	0.8469	-0.9288	0.1584	0.1289	1.4274	1.5226	1.9495	1.0981	0.9761	1.1104	0.3634	1.2916	1.9551	2.2281	1.4678	1.0645	1.8292	1.1163	0.0236	1.811	2.7081	1.1068	-0.5134
-164.0625	1.7652	1.2251	1.2829	1.5602	1.2554	0.9369	0.9964	1.0154	-0.3992	0.3795	0.4095	1.6149	1.4621	1.854	1.1555	0.9662	1.3005	0.5227	1.3582	1.9582	2.1524	1.4699	1.2293	1.8276	0.9005	0.023	1.7588	2.9815	0.9861	-0.3222
