time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	1.2496	0.5569	0.1777	0.2471	0.3473	0.1709	-0.2143	-0.1324	-0.6205	-0.459	-0.4637	-0.3475	0.5503	0.9574	0.9175	0.9438	1.5178	0.7847	1.3572	1.45	1.5236	1.4857	1.1463	1.0279	0.6314	0.3422	0.5956	0.07	0.194	0.6799
-195.3125	0.9369	0.3625	0.1526	0.1601	0.2841	0.0774	-0.1216	-0.0822	-0.398	-0.3618	-0.304	-0.1943	0.5481	0.8453	0.5409	0.6728	1.1376	0.4051	1.1	1.2376	1.3659	1.2922	0.9593	1.0435	0.6809	0.4872	0.6601	0.1528	0.023	0.4139
-191.4062	0.6388	0.1785	0.1214	0.0766	0.2215	-0.0073	-0.0287	-0.0293	-0.1822	-0.2543	-0.1436	-0.04	0.5482	0.7369	0.1854	0.4153	0.7788	0.0571	0.8553	1.0338	1.2121	1.1066	0.782	1.0522	0.722	0.6224	0.7212	0.2335	-0.1298	0.1668
-187.5	0.3654	0.0142	0.0791	0.0009	0.162	-0.0754	0.0633	0.0281	0.0177	-0.1307	0.016	0.1143	0.552	0.6363	-0.1298	0.1844	0.4581	-0.2322	0.6328	0.8477	1.0661	0.9366	0.6222	1.0475	0.7471	0.7383	0.7746	0.3103	-0.251	-0.0465
-183.5938	0.124	-0.1224	0.0251	-0.0623	0.1101	-0.1214	0.1527	0.0904	0.1929	0.01	0.1714	0.2666	0.5603	0.547	-0.3893	-0.0079	0.1896	-0.4428	0.4421	0.688	0.932	0.7896	0.4879	1.0256	0.7515	0.8287	0.8175	0.3829	-0.3332	-0.2151
-179.6875	-0.0804	-0.2246	-0.0357	-0.1077	0.0722	-0.1417	0.2374	0.1568	0.3352	0.1635	0.3181	0.4133	0.5737	0.4732	-0.5817	-0.1508	-0.0167	-0.5628	0.2919	0.563	0.8144	0.6727	0.3862	0.9859	0.734	0.8903	0.8483	0.4524	-0.3746	-0.3323
-175.7812	-0.2435	-0.2869	-0.0939	-0.1295	0.0558	-0.1352	0.3149	0.2248	0.4386	0.3211	0.4509	0.5499	0.5927	0.4191	-0.6995	-0.2352	-0.1548	-0.5896	0.1898	0.4805	0.7183	0.5918	0.3228	0.9314	0.6968	0.9227	0.8666	0.5197	-0.3775	-0.3953
-171.875	-0.361	-0.306	-0.1374	-0.1218	0.0677	-0.1025	0.383	0.291	0.5004	0.4713	0.5641	0.6706	0.617	0.389	-0.7392	-0.2551	-0.2231	-0.5296	0.1404	0.4463	0.648	0.5506	0.3007	0.8671	0.6445	0.927	0.8729	0.5847	-0.3459	-0.4051
-167.9688	-0.4271	-0.2803	-0.1544	-0.0802	0.1129	-0.046	0.44	0.351	0.5215	0.602	0.652	0.7689	0.6457	0.386	-0.7008	-0.208	-0.2247	-0.3966	0.1448	0.4634	0.607	0.5502	0.3193	0.7994	0.5831	0.9058	0.8678	0.6448	-0.2841	-0.3658
-164.0625	-0.4356	-0.2111	-0.1358	-0.0027	0.1925	0.0302	0.4848	0.4004	0.5061	0.7023	0.7097	0.8379	0.6768	0.4117	-0.5872	-0.0964	-0.167	-0.2089	0.1996	0.5308	0.5969	0.588	0.3743	0.7346	0.519	0.8615	0.851	0.6943	-0.1958	-0.284
-160.1562	-0.3801	-0.1017	-0.0768	0.1097	0.3038	0.1206	0.5171	0.4354	0.4609	0.7642	0.7332	0.8714	0.7069	0.4651	-0.4047	0.0726	-0.0602	0.0137	0.2978	0.6429	0.6171	0.6586	0.4587	0.678	0.458	0.7964	0.8218	0.7251	-0.0841	-0.1676
-156.25	-0.2559	0.0426	0.023	0.2523	0.4403	0.219	0.5369	0.4535	0.3936	0.784	0.7203	0.8645	0.7322	0.5424	-0.1623	0.2877	0.0844	0.2536	0.43	0.7901	0.665	0.7544	0.5638	0.633	0.404	0.7127	0.7782	0.7282	0.0478	-0.0246
-152.3438	-0.0617	0.2147	0.16	0.4173	0.5924	0.3187	0.5447	0.4541	0.312	0.7624	0.6708	0.815	0.7483	0.6367	0.1279	0.5345	0.2556	0.4968	0.5857	0.9595	0.7358	0.8661	0.6807	0.6005	0.3591	0.612	0.7185	0.6956	0.196	0.1375
-148.4375	0.1985	0.4065	0.3276	0.5951	0.7489	0.4135	0.5403	0.4375	0.2223	0.7039	0.5871	0.7235	0.7509	0.7387	0.4512	0.7968	0.4439	0.7335	0.7551	1.1364	0.8222	0.9835	0.8015	0.5794	0.3233	0.4962	0.6411	0.6224	0.3552	0.3123
-144.5312	0.5143	0.6086	0.5171	0.7745	0.898	0.4978	0.5233	0.4052	0.1287	0.6158	0.4733	0.5943	0.7365	0.8373	0.7899	1.0579	0.6405	0.9569	0.9289	1.3054	0.9154	1.0959	0.9187	0.5659	0.2948	0.3674	0.5452	0.5081	0.5182	0.4933
-140.625	0.8677	0.8106	0.7182	0.9446	1.0286	0.5675	0.4929	0.3585	0.0327	0.5067	0.3354	0.4345	0.7025	0.9201	1.1244	1.3011	0.8368	1.1613	1.0975	1.4523	1.0048	1.1926	1.0257	0.5546	0.271	0.2285	0.4319	0.3575	0.676	0.6734
-136.7188	1.234	1.0014	0.9188	1.0953	1.1316	0.6202	0.4484	0.2994	-0.0661	0.3852	0.1806	0.254	0.6479	0.9759	1.434	1.5106	1.0225	1.3399	1.2505	1.5648	1.0792	1.2636	1.1154	0.5397	0.249	0.0837	0.3042	0.18	0.8184	0.8437
-132.8125	1.5832	1.17	1.106	1.2175	1.2008	0.6551	0.3899	0.2302	-0.1683	0.2599	0.0173	0.0643	0.5738	0.996	1.6983	1.6724	1.1855	1.4839	1.3764	1.6331	1.128	1.3002	1.1808	0.516	0.2269	-0.0613	0.1678	-0.0103	0.9356	0.9936
-128.9062	1.8833	1.3062	1.2663	1.3042	1.2329	0.6734	0.3199	0.1541	-0.2733	0.1387	-0.145	-0.122	0.4844	0.9766	1.8992	1.7755	1.3123	1.5832	1.4629	1.6511	1.1427	1.2971	1.2153	0.4809	0.2039	-0.1984	0.0313	-0.1969	1.0193	1.1123
-125	2.1044	1.4012	1.3868	1.3499	1.228	0.677	0.2432	0.0758	-0.3776	0.0294	-0.296	-0.2921	0.3866	0.9194	2.0228	1.8124	1.3902	1.6282	1.4995	1.6162	1.1181	1.2528	1.2138	0.4354	0.1812	-0.3181	-0.0941	-0.3621	1.0641	1.1897
-121.0938	2.2226	1.4487	1.456	1.3517	1.1883	0.6679	0.1666	0.001	-0.4741	-0.0608	-0.425	-0.4339	0.2893	0.8315	2.0609	1.7808	1.4101	1.6114	1.4796	1.53	1.0537	1.1702	1.1736	0.3833	0.1614	-0.4099	-0.1962	-0.489	1.0681	1.2181
-117.1875	2.2236	1.4443	1.465	1.309	1.117	0.6469	0.098	-0.0644	-0.5534	-0.1255	-0.5224	-0.5377	0.2018	0.7233	2.0113	1.6829	1.3684	1.5296	1.4021	1.3971	0.9529	1.056	1.0949	0.3307	0.1477	-0.464	-0.2637	-0.5644	1.0329	1.1933
-113.2812	2.1049	1.3862	1.4084	1.2235	1.0174	0.613	0.0446	-0.115	-0.6051	-0.1605	-0.5804	-0.5968	0.1313	0.6062	1.8779	1.5256	1.2678	1.385	1.2722	1.2246	0.8223	0.9191	0.9804	0.2837	0.1428	-0.4734	-0.2888	-0.5806	0.9627	1.1148
-109.375	1.8756	1.274	1.2854	1.0993	0.8923	0.5638	0.011	-0.1476	-0.6205	-0.1649	-0.5949	-0.6089	0.0815	0.4891	1.6694	1.3192	1.1156	1.1848	1.0997	1.0205	0.6701	0.7684	0.8353	0.2459	0.1471	-0.4365	-0.2698	-0.5372	0.863	0.9855
