time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	1.0884	0.4063	1.0394	1.0542	1.1943	1.2656	1.0512	1.3546	1.42	0.5549	1.5827	0.265	0.4533	0.7403	-0.229	-0.545	-1.6969	-0.0976	-1.2311	-0.2187	0.6	0.2464	0.339	0.4399	-0.6163	-0.7412	-0.3286	-0.1215	-0.1078	-0.5079
-195.3125	1.3313	0.7541	1.1796	1.3545	1.3724	1.3281	1.0966	1.2666	1.4462	0.5343	1.4853	0.2078	0.5662	0.987	0.1929	0.1843	-0.8257	0.3246	-0.3099	0.6216	1.1176	0.7649	0.7597	0.64	-0.3864	-0.5509	-0.3	-0.1858	0.1645	-0.1518
-191.4062	1.5387	1.0616	1.2987	1.6153	1.5252	1.3728	1.1444	1.1859	1.4783	0.5402	1.4196	0.1705	0.6897	1.2247	0.5767	0.8622	-0.0207	0.7116	0.5403	1.4003	1.5952	1.2447	1.1483	0.8439	-0.157	-0.346	-0.2635	-0.2291	0.3924	0.1691
-187.5	1.6778	1.2895	1.3738	1.7985	1.6272	1.3826	1.1918	1.1153	1.5149	0.5873	1.4037	0.1646	0.8249	1.4349	0.8824	1.4328	0.65	1.0249	1.2475	2.0528	1.9891	1.6433	1.4691	1.0462	0.067	-0.1223	-0.2149	-0.2383	0.5429	0.4232
-183.5938	1.7247	1.4089	1.3886	1.8752	1.6572	1.3438	1.2297	1.0514	1.5455	0.6737	1.4395	0.1902	0.964	1.5936	1.0769	1.8473	1.1309	1.2314	1.7545	2.5233	2.2581	1.9239	1.6902	1.2355	0.2778	0.1138	-0.1545	-0.2102	0.5973	0.5881
-179.6875	1.6665	1.4045	1.3348	1.8284	1.6002	1.2479	1.243	0.9841	1.551	0.7805	1.5105	0.2361	1.0889	1.6731	1.1372	2.0686	1.3846	1.3073	2.025	2.7698	2.3677	2.0586	1.7862	1.3943	0.4641	0.3441	-0.0887	-0.1532	0.553	0.6528
-175.7812	1.503	1.2756	1.2133	1.6552	1.4497	1.0926	1.2137	0.9004	1.5086	0.8762	1.5866	0.2824	1.1741	1.6462	1.0536	2.0755	1.3965	1.241	2.0469	2.7694	2.2953	2.0306	1.741	1.5008	0.6121	0.5416	-0.0286	-0.0848	0.4234	0.6184
-171.875	1.2463	1.0349	1.0328	1.3661	1.2091	0.8823	1.1255	0.7889	1.3985	0.9261	1.6323	0.3065	1.192	1.4927	0.8325	1.867	1.1773	1.036	1.8332	2.5225	2.0351	1.8375	1.5511	1.5321	0.7074	0.6766	0.0117	-0.0276	0.2345	0.4971
-167.9688	0.9194	0.7059	0.8086	0.9835	0.892	0.6285	0.9693	0.6445	1.211	0.9017	1.6157	0.2896	1.1195	1.2051	0.4959	1.4642	0.7626	0.7122	1.4207	2.0547	1.6026	1.4925	1.2277	1.4689	0.7377	0.723	0.0181	-0.0039	0.02	0.31
-164.0625	0.5527	0.3195	0.5603	0.539	0.5214	0.3478	0.7468	0.4715	0.9506	0.7883	1.5159	0.2212	0.944	0.7918	0.081	0.9103	0.2101	0.3057	0.8664	1.416	1.0347	1.025	0.7977	1.3	0.6947	0.6647	-0.0203	-0.031	-0.1841	0.0842
-160.1562	0.1804	-0.0895	0.3099	0.0693	0.1266	0.0613	0.4713	0.2838	0.6367	0.5894	1.3268	0.1024	0.667	0.2778	-0.3643	0.2662	-0.4066	-0.1342	0.241	0.6755	0.3854	0.4791	0.3021	1.0257	0.5761	0.4994	-0.1093	-0.117	-0.3448	-0.1508
-156.25	-0.1641	-0.4853	0.0795	-0.387	-0.2602	-0.2085	0.1653	0.1021	0.3005	0.3249	1.0574	-0.0545	0.3048	-0.2979	-0.7864	-0.3955	-1.0068	-0.5514	-0.3786	-0.0867	-0.2804	-0.0915	-0.2087	0.6588	0.3863	0.2391	-0.2474	-0.26	-0.4366	-0.3663
-152.3438	-0.4519	-0.8331	-0.1099	-0.793	-0.6071	-0.4389	-0.143	-0.0506	-0.0215	0.0268	0.729	-0.2295	-0.113	-0.8872	-1.1331	-1.0005	-1.5133	-0.8908	-0.9191	-0.79	-0.8971	-0.6292	-0.6818	0.2246	0.1368	-0.0909	-0.4266	-0.4477	-0.4453	-0.5377
-148.4375	-0.6606	-1.1012	-0.2392	-1.1162	-0.8852	-0.6094	-0.4246	-0.154	-0.2954	-0.2678	0.3704	-0.3997	-0.5473	-1.4379	-1.3608	-1.4818	-1.863	-1.1079	-1.3202	-1.3635	-1.4065	-1.0806	-1.069	-0.2413	-0.1545	-0.457	-0.6322	-0.66	-0.3691	-0.6473
-144.5312	-0.7753	-1.2628	-0.2929	-1.3306	-1.0709	-0.703	-0.6539	-0.1945	-0.4959	-0.5236	0.0119	-0.545	-0.9548	-1.8998	-1.4403	-1.7885	-2.0151	-1.1772	-1.5414	-1.7544	-1.7648	-1.4031	-1.3343	-0.6976	-0.4643	-0.8216	-0.8453	-0.8729	-0.2179	-0.6858
-140.625	-0.7884	-1.2987	-0.2602	-1.4179	-1.1464	-0.7074	-0.8114	-0.168	-0.611	-0.7131	-0.3189	-0.6525	-1.2933	-2.23	-1.3605	-1.8915	-1.9568	-1.096	-1.5674	-1.9333	-1.9464	-1.5706	-1.4577	-1.1016	-0.7667	-1.1485	-1.0446	-1.0617	-0.0102	-0.6523
-136.7188	-0.6996	-1.1994	-0.1382	-1.3697	-1.1016	-0.6169	-0.8867	-0.0805	-0.6429	-0.8204	-0.6012	-0.7183	-1.5279	-2.3977	-1.1302	-1.7866	-1.7037	-0.8845	-1.4089	-1.896	-1.9455	-1.5764	-1.4376	-1.415	-1.0351	-1.4066	-1.2092	-1.2049	0.2305	-0.5536
-132.8125	-0.5165	-0.9682	0.0667	-1.1883	-0.9351	-0.4336	-0.8783	0.0529	-0.6059	-0.8424	-0.8228	-0.7461	-1.6356	-2.3891	-0.7764	-1.4938	-1.2961	-0.5814	-1.0996	-1.6623	-1.7744	-1.4333	-1.2887	-1.6088	-1.2449	-1.5725	-1.3204	-1.2858	0.48	-0.4018
-128.9062	-0.2549	-0.6229	0.3365	-0.8884	-0.6561	-0.1686	-0.7942	0.2105	-0.5218	-0.7882	-0.9792	-0.7442	-1.6093	-2.2091	-0.3416	-1.054	-0.7926	-0.2353	-0.6908	-1.2723	-1.4619	-1.1712	-1.0383	-1.6664	-1.3761	-1.6314	-1.3641	-1.2942	0.7166	-0.2128
-125	0.0603	-0.1968	0.6434	-0.4973	-0.2856	0.1573	-0.6499	0.368	-0.4144	-0.6756	-1.0727	-0.7222	-1.4593	-1.8828	0.1222	-0.5245	-0.2605	0.1038	-0.2441	-0.7816	-1.0492	-0.8331	-0.7224	-1.587	-1.416	-1.5788	-1.3325	-1.2276	0.9229	-0.004
-121.0938	0.3963	0.2643	0.953	-0.0538	0.1436	0.5148	-0.4654	0.5021	-0.3038	-0.5267	-1.109	-0.6868	-1.212	-1.4522	0.5601	0.0284	0.2325	0.3924	0.1771	-0.2549	-0.5857	-0.4689	-0.3796	-1.3855	-1.361	-1.4209	-1.2256	-1.0913	1.0871	0.2065
-117.1875	0.7156	0.7066	1.2288	0.3955	0.5892	0.8693	-0.2622	0.5951	-0.2021	-0.3635	-1.0957	-0.6411	-0.9051	-0.9709	0.9218	0.5369	0.6275	0.5992	0.5159	0.2419	-0.1238	-0.1281	-0.0476	-1.0912	-1.2178	-1.175	-1.052	-0.899	1.2028	0.4016
-113.2812	0.9813	1.0768	1.438	0.8014	1.0042	1.1842	-0.0598	0.637	-0.1124	-0.2036	-1.0394	-0.5841	-0.5809	-0.4948	1.1686	0.9398	0.8812	0.7073	0.7294	0.6489	0.288	0.1473	0.2419	-0.7433	-1.0031	-0.8682	-0.8283	-0.671	1.2694	0.5658
-109.375	1.1629	1.3308	1.5563	1.1195	1.3431	1.4263	0.1267	0.6268	-0.0298	-0.058	-0.9459	-0.513	-0.2785	-0.0725	1.2789	1.1917	0.9717	0.715	0.7953	0.9216	0.6118	0.33	0.4659	-0.3852	-0.7414	-0.5345	-0.5766	-0.4315	1.29	0.6871
-105.4688	1.2428	1.4419	1.5711	1.3181	1.5694	1.5693	0.2879	0.5712	0.0544	0.0686	-0.8197	-0.4257	-0.0271	0.2632	1.2521	1.2699	0.902	0.6347	0.716	1.0378	0.8263	0.4118	0.6126	-0.057	-0.4615	-0.2097	-0.3214	-0.2052	1.2706	0.7582
-101.5625	1.2192	1.4059	1.4826	1.3833	1.6612	1.598	0.4193	0.4818	0.1476	0.1764	-0.6663	-0.3226	0.1585	0.5004	1.1083	1.1797	0.7008	0.4904	0.5192	1.0015	0.93	0.4045	0.6828	0.2108	-0.1912	0.0745	-0.085	-0.0127	1.2172	0.7777
-97.6562	1.1059	1.2418	1.3023	1.3217	1.6154	1.5096	0.5207	0.3718	0.2515	0.2677	-0.4924	-0.2082	0.278	0.6476	0.8847	0.9537	0.4184	0.3132	0.2542	0.8429	0.9399	0.3372	0.6885	0.4019	0.0469	0.2962	0.1164	0.1337	1.1341	0.7503
-93.75	0.9283	0.9882	1.0502	1.1578	1.4467	1.3144	0.5937	0.2534	0.36	0.3434	-0.3079	-0.0894	0.3428	0.7284	0.6276	0.6466	0.1184	0.1365	-0.0177	0.6116	0.8869	0.2487	0.6497	0.5153	0.2388	0.4465	0.275	0.2318	1.0219	0.6853
-89.8438	0.7175	0.6944	0.7505	0.9286	1.1852	1.034	0.6402	0.1357	0.4595	0.4022	-0.1251	0.0249	0.3706	0.7728	0.3838	0.3244	-0.1343	-0.0102	-0.2358	0.3666	0.8067	0.1782	0.5895	0.5628	0.3804	0.5297	0.3926	0.2894	0.878	0.5945
