time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	0.9083	0.9671	0.9096	1.2463	1.4191	0.9283	0.3628	0.3521	0.3287	0.1365	-0.0964	0.5625	-0.1978	0.8366	0.2093	0.8767	1.3674	0.5335	1.7103	1.3959	1.3836	1.9472	1.5929	0.0873	0.3785	0.3844	-0.2091	0.1079	0.1338	0.1494
-195.3125	0.7419	0.9317	0.9236	1.2372	1.3618	1.0234	0.5517	0.6093	0.4005	0.2586	-0.1556	0.3767	-0.1966	0.7463	0.2722	0.8419	1.1192	0.3835	1.3742	1.3021	1.3322	1.5191	1.4475	0.085	0.4079	0.2507	-0.3462	-0.0144	0.1735	0.0617
-191.4062	0.5805	0.8812	0.9328	1.214	1.2926	1.0977	0.7243	0.8365	0.4715	0.3784	-0.1948	0.2212	-0.1933	0.6487	0.3182	0.789	0.8723	0.2415	1.0482	1.1903	1.2607	1.1214	1.313	0.0842	0.4249	0.1384	-0.4598	-0.1099	0.2086	-0.018
-187.5	0.4278	0.8029	0.9306	1.1627	1.1991	1.1298	0.8625	1.0054	0.5367	0.4899	-0.2015	0.1176	-0.188	0.5374	0.3336	0.7038	0.6271	0.1135	0.7404	1.0466	1.1524	0.7776	1.194	0.0874	0.4285	0.0654	-0.5293	-0.1597	0.2315	-0.0861
-183.5938	0.2848	0.6886	0.9111	1.0734	1.0729	1.1049	0.9542	1.0976	0.5917	0.5878	-0.1683	0.0786	-0.1799	0.4097	0.3113	0.5813	0.3893	0.0062	0.4614	0.8655	0.9988	0.503	1.0928	0.0985	0.4266	0.0445	-0.5382	-0.1515	0.2363	-0.1409
-179.6875	0.1504	0.5366	0.8698	0.9415	0.9111	1.0165	0.9933	1.1067	0.6325	0.6674	-0.094	0.1061	-0.168	0.2675	0.2513	0.4259	0.1693	-0.0751	0.2229	0.6516	0.8008	0.3025	1.0093	0.1215	0.4332	0.0813	-0.4776	-0.0818	0.22	-0.1826
-175.7812	0.024	0.3529	0.8036	0.7689	0.7166	0.8669	0.9795	1.0374	0.6547	0.7239	0.0149	0.1914	-0.1524	0.116	0.1605	0.2511	-0.021	-0.1277	0.0352	0.418	0.5687	0.1715	0.9402	0.1591	0.4628	0.1729	-0.3481	0.0427	0.1828	-0.2128
-171.875	-0.0925	0.1516	0.7116	0.5643	0.4975	0.6659	0.9163	0.9026	0.653	0.7516	0.1447	0.3167	-0.1347	-0.0373	0.0503	0.0753	-0.1709	-0.1536	-0.0962	0.1831	0.3193	0.0975	0.8797	0.2113	0.523	0.3083	-0.1606	0.206	0.1271	-0.2338
-167.9688	-0.1937	-0.0477	0.5953	0.3413	0.2657	0.4294	0.8096	0.7204	0.6216	0.7445	0.2759	0.4588	-0.1188	-0.1842	-0.0656	-0.0817	-0.2742	-0.1598	-0.1723	-0.0333	0.0733	0.0642	0.8209	0.2738	0.61	0.469	0.0646	0.3852	0.0573	-0.2477
-164.0625	-0.2709	-0.2228	0.4591	0.1174	0.0361	0.1767	0.6661	0.5097	0.555	0.697	0.3869	0.5933	-0.1103	-0.3169	-0.1739	-0.2032	-0.3298	-0.1558	-0.2005	-0.214	-0.1487	0.0566	0.7578	0.3392	0.7083	0.6323	0.3005	0.5548	-0.021	-0.2557
