FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
1.0375,1.4609,-0.6427,0.8215,0.106,0.097,0.292,-0.8375,-1.1199,-0.0492,0.0925,1.3291,0.7348,0.7217,1.5827,1.4502,2.0114,2.7219,2.0301,1.2352,1.2417,1.5568,1.9728,1.4239,1.6674,1.6324,2.4314,1.2791,-0.3294,0.5543
1.3853,1.5974,0.0037,0.8941,0.4255,0.3305,0.6065,-0.5923,-0.9951,-0.0273,0.0022,1.3259,0.9863,1.1245,1.651,1.7313,2.0168,2.4487,2.0252,1.4683,1.4619,1.613,1.8464,1.4279,1.324,1.279,2.094,1.1981,-0.0458,0.7694
1.6961,1.731,0.6103,0.9757,0.7347,0.5701,0.9283,-0.3131,-0.8318,0.0229,-0.0496,1.3331,1.2326,1.507,1.7072,1.9856,2.0159,2.1795,2.016,1.6901,1.6697,1.6639,1.7254,1.432,1.0011,0.9358,1.7759,1.1172,0.2295,0.9468
1.9322,1.8526,1.1389,1.0676,1.0183,0.8119,1.2555,0.0163,-0.6058,0.1177,-0.0382,1.3562,1.4615,1.8428,1.733,2.182,1.9954,1.9129,1.9896,1.8826,1.8464,1.6984,1.6087,1.431,0.713,0.6123,1.492,1.0342,0.4781,1.0514
2.0668,1.9506,1.5606,1.164,1.2597,1.0448,1.5769,0.3929,-0.311,0.2601,0.0459,1.396,1.6588,2.1066,1.7129,2.2981,1.9443,1.6505,1.9343,2.0294,1.9755,1.705,1.4933,1.419,0.4707,0.3209,1.2532,0.9491,0.6815,1.0628
2.0869,2.0113,1.8568,1.2517,1.4429,1.2511,1.8727,0.7936,0.0394,0.4389,0.195,1.4474,1.8092,2.2768,1.636,2.3217,1.8536,1.3967,1.8403,2.1163,2.0441,1.6724,1.3739,1.3899,0.2815,0.0761,1.0655,0.8637,0.8229,0.9786
1.9927,2.02,2.0192,1.3114,1.5537,1.4087,2.1181,1.1801,0.4157,0.6316,0.3868,1.5001,1.8989,2.3379,1.4978,2.251,1.7172,1.1578,1.7008,2.132,2.0435,1.592,1.2447,1.3387,0.1476,-0.1087,0.9285,0.7811,0.8894,0.8123
1.7949,1.9638,2.0489,1.3215,1.5829,1.497,2.2888,1.5083,0.7799,0.8095,0.5908,1.5404,1.9182,2.2844,1.2998,2.0923,1.5323,0.9383,1.5133,2.0696,1.9696,1.4598,1.1016,1.2627,0.0666,-0.2254,0.8352,0.7044,0.8739,0.5884
1.5128,1.8345,1.9549,1.2633,1.528,1.5012,2.3682,1.7401,1.0949,0.9453,0.7753,1.5544,1.8641,2.1219,1.0487,1.858,1.2996,0.7388,1.2804,1.9271,1.8233,1.2784,0.9437,1.162,0.0309,-0.2739,0.773,0.6345,0.7768,0.3356
1.1712,1.6315,1.7542,1.1262,1.3958,1.4178,2.3518,1.8537,1.3337,1.0193,0.9157,1.5311,1.7417,1.8685,0.7558,1.5642,1.0241,0.5541,1.0098,1.7089,1.6113,1.0573,0.7746,1.0401,0.0289,-0.2645,0.7253,0.5699,0.6073,0.0809
0.798,1.3635,1.4706,0.9117,1.2018,1.2566,2.2492,1.8493,1.4853,1.0244,0.999,1.4659,1.5641,1.5534,0.4351,1.2297,0.7144,0.3746,0.714,1.4266,1.3466,0.8121,0.6017,0.903,0.0463,-0.2159,0.6746,0.5061,0.3819,-0.1548
0.4216,1.0482,1.1326,0.6341,0.969,1.0395,2.082,1.7492,1.5557,0.9665,1.0261,1.3613,1.3509,1.213,0.1027,0.8746,0.3831,0.1894,0.4092,1.0983,1.048,0.5621,0.4346,0.7593,0.069,-0.1511,0.606,0.4373,0.1226,-0.3583
0.0677,0.7097,0.7701,0.3185,0.7234,0.7954,1.8782,1.5911,1.5639,0.8617,1.0086,1.2255,1.1245,0.8857,-0.2234,0.5199,0.0456,-0.0084,0.1137,0.7478,0.7383,0.3272,0.2831,0.6191,0.0851,-0.0923,0.5099,0.3584,-0.1474,-0.5236
-0.2449,0.3741,0.4099,-0.0055,0.4888,0.5537,1.6646,1.4168,1.5333,0.7307,0.9638,1.0696,0.9061,0.6049,-0.5241,0.1871,-0.2806,-0.2185,-0.1545,0.4008,0.4413,0.1252,0.1557,0.4926,0.0878,-0.0546,0.3839,0.2668,-0.4076,-0.6504
-0.5063,0.0643,0.0716,-0.31,0.2814,0.3361,1.4593,1.2595,1.4824,0.5911,0.9069,0.9035,0.7112,0.3931,-0.7808,-0.104,-0.5771,-0.4305,-0.3791,0.082,0.1779,-0.0311,0.0589,0.3888,0.0765,-0.0429,0.2328,0.1639,-0.6435,-0.742
-0.7162,-0.2031,-0.2343,-0.5744,0.1063,0.1516,1.2671,1.1342,1.4172,0.4528,0.8452,0.7337,0.5466,0.2574,-0.977,-0.3367,-0.8261,-0.6258,-0.5478,-0.189,-0.0375,-0.1351,-0.0027,0.3139,0.0578,-0.0505,0.0666,0.0548,-0.8477,-0.8029
-0.882,-0.4206,-0.5047,-0.7886,-0.0422,-0.0049,1.0798,1.0339,1.3291,0.3151,0.7759,0.5628,0.4098,0.189,-1.1004,-0.4996,-1.0127,-0.7814,-0.6536,-0.3998,-0.1994,-0.1873,-0.0261,0.2705,0.0438,-0.0613,-0.1019,-0.0518,-1.0186,-0.8371
-1.0149,-0.5879,-0.7403,-0.9523,-0.1772,-0.1495,0.8803,0.9336,1.1985,0.1704,0.6884,0.3915,0.2914,0.1667,-1.1443,-0.5877,-1.1263,-0.8758,-0.6954,-0.5465,-0.3103,-0.194,-0.0095,0.2572,0.0506,-0.0544,-0.2594,-0.1447,-1.1573,-0.8463
-1.1236,-0.7102,-0.9402,-1.071,-0.3135,-0.3019,0.6505,0.7992,1.0024,0.0084,0.5692,0.2209,0.1788,0.1627,-1.1087,-0.6031,-1.1622,-0.8948,-0.6772,-0.6321,-0.3792,-0.1657,0.0473,0.2694,0.0941,-0.0098,-0.3942,-0.2118,-1.263,-0.8291
