FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.6991,1.7469,1.0829,0.9055,1.0369,1.0699,0.8509,0.6704,-1.5294,-2.1394,-1.569,-2.567,-0.3716,0.9111,0.9807,1.5993,1.2955,0.1244,1.2018,1.6714,1.7498,2.3118,0.8445,-0.8268,-1.6172,-3.9921,-2.057,-3.5702,-0.1051,-1.0389
1.0438,1.6805,1.0296,1.0736,1.0728,1.0003,0.8214,0.7261,-1.5086,-1.9214,-1.5359,-2.4431,-0.2495,0.841,0.9019,1.7323,1.4329,0.5025,1.269,1.9119,1.6264,2.1336,0.9117,-0.7867,-1.4418,-3.9359,-2.0987,-3.3728,-0.2378,-0.6224
1.3702,1.6476,1.011,1.2534,1.1313,0.9649,0.8133,0.7977,-1.4612,-1.6828,-1.4779,-2.2876,-0.1075,0.7958,0.8543,1.8681,1.565,0.8483,1.3336,2.1562,1.5405,1.9577,0.9629,-0.7212,-1.2568,-3.8136,-2.0795,-3.1343,-0.3518,-0.2469
1.6483,1.6587,1.0374,1.4417,1.216,0.9755,0.835,0.8872,-1.3693,-1.4131,-1.3767,-2.0754,0.0631,0.7888,0.8519,1.9966,1.6783,1.125,1.3832,2.3961,1.5129,1.7808,0.9799,-0.6117,-1.0511,-3.565,-1.951,-2.8145,-0.4351,0.0489
1.8543,1.7142,1.1085,1.6319,1.323,1.0325,0.8873,0.9933,-1.2219,-1.1074,-1.2204,-1.7878,0.2633,0.8266,0.8961,2.1088,1.76,1.3069,1.4075,2.6242,1.5526,1.6003,0.9518,-0.4455,-0.8155,-3.1497,-1.6817,-2.3821,-0.4815,0.2392
1.9721,1.8022,1.2118,1.8129,1.4398,1.1235,0.9633,1.1109,-1.0158,-0.7688,-1.0045,-1.4168,0.4848,0.9065,0.974,2.1961,1.7988,1.3822,1.3981,2.833,1.6533,1.4131,0.8752,-0.2189,-0.5464,-2.5557,-1.2636,-1.8208,-0.4903,0.3142
1.9933,1.8987,1.3235,1.9675,1.5461,1.2252,1.05,1.2319,-0.7569,-0.4086,-0.7334,-0.9693,0.7113,1.0156,1.0606,2.2487,1.7851,1.3515,1.3465,3.0124,1.7928,1.2148,0.7534,0.0596,-0.249,-1.8036,-0.7152,-1.1357,-0.4661,0.2802
1.916,1.9711,1.4109,2.0732,1.6166,1.3073,1.1311,1.347,-0.4597,-0.0457,-0.4201,-0.4685,0.92,1.1318,1.1236,2.2539,1.7112,1.2248,1.2438,3.1484,1.9365,0.999,0.5935,0.3681,0.0609,-0.9442,-0.0804,-0.3558,-0.4176,0.1576
1.7434,1.9822,1.4376,2.104,1.6252,1.3389,1.1909,1.4467,-0.1451,0.2969,-0.0844,0.0488,1.0861,1.2271,1.1295,2.1949,1.5713,1.0161,1.0795,3.2206,2.0412,0.7582,0.404,0.6735,0.3587,-0.0496,0.5787,0.4685,-0.356,-0.0243
1.4827,1.8977,1.3703,2.0342,1.5507,1.2948,1.2184,1.5239,0.1627,0.5974,0.2509,0.5388,1.1867,1.2718,1.0497,2.0519,1.362,0.7395,0.8425,3.2034,2.0627,0.485,0.1922,0.9369,0.6154,0.8005,1.1929,1.2736,-0.2926,-0.2322
1.1452,1.6939,1.1864,1.8446,1.3817,1.1622,1.2095,1.5746,0.4404,0.8407,0.5634,0.9596,1.2058,1.2404,0.8665,1.8055,1.0827,0.4077,0.5244,3.0693,1.9637,0.1747,-0.0356,1.1205,0.8034,1.5343,1.6982,1.9933,-0.2368,-0.434
0.7471,1.364,0.8816,1.5283,1.1223,0.9452,1.1684,1.5987,0.6701,1.0223,0.8354,1.2789,1.1369,1.1161,0.5773,1.4424,0.7371,0.0327,0.1227,2.7954,1.721,-0.1727,-0.2748,1.1956,0.9022,2.0986,2.0469,2.5698,-0.1925,-0.6027
0.31,0.9218,0.4727,1.0947,0.7925,0.6646,1.1054,1.5993,0.8413,1.1489,1.0549,1.4791,0.9845,0.8948,0.1957,0.9613,0.3352,-0.3709,-0.3545,2.3711,1.3316,-0.5509,-0.5206,1.1478,0.9015,2.4638,2.2137,2.9612,-0.1579,-0.7181
-0.1404,0.3989,-0.0041,0.5695,0.4261,0.354,1.0335,1.58,0.9506,1.234,1.2151,1.5574,0.7627,0.5864,-0.2495,0.377,-0.1065,-0.7837,-0.8871,1.803,0.8138,-0.9473,-0.7671,0.98,0.802,2.6236,2.1964,3.1449,-0.1261,-0.7687
-0.5781,-0.1629,-0.5015,-0.0096,0.0626,0.0509,0.963,1.542,0.9983,1.2907,1.3112,1.5224,0.4911,0.2127,-0.7199,-0.2799,-0.5657,-1.181,-1.4435,1.117,0.205,-1.3438,-1.0071,0.7118,0.6146,2.5896,2.0126,3.1174,-0.089,-0.7512
-0.9822,-0.722,-0.9718,-0.6005,-0.2619,-0.2137,0.896,1.4809,0.9839,1.3239,1.3371,1.3891,0.1901,-0.1974,-1.1739,-0.9678,-1.0167,-1.5359,-1.9848,0.3544,-0.4452,-1.7185,-1.232,0.3745,0.3595,2.3856,1.6921,2.8914,-0.0419,-0.6714
-1.3409,-1.2455,-1.3774,-1.1641,-0.5238,-0.4234,0.8239,1.3852,0.9025,1.3244,1.2828,1.1728,-0.1238,-0.6136,-1.5738,-1.6398,-1.4328,-1.8227,-2.4702,-0.4346,-1.0839,-2.0487,-1.4326,0.0051,0.0634,2.0422,1.2697,2.4913,0.0128,-0.5426
-1.6513,-1.7128,-1.6963,-1.6693,-0.7168,-0.5797,0.7282,1.2382,0.744,1.2684,1.1353,0.8866,-0.4408,-1.0101,-1.8902,-2.2507,-1.7888,-2.0212,-2.8626,-1.1976,-1.6627,-2.3129,-1.6001,-0.361,-0.2434,1.5937,0.7788,1.9492,0.065,-0.3836
-1.9156,-2.1134,-1.9216,-2.094,-0.8508,-0.6982,0.5854,1.023,0.497,1.1231,0.8826,0.5408,-0.757,-1.3685,-2.1046,-2.7611,-2.0617,-2.1197,-3.1332,-1.8863,-2.1441,-2.4929,-1.7272,-0.696,-0.5317,1.0751,0.2481,1.3015,0.1006,-0.216
-2.134,-2.44,-2.0561,-2.4234,-0.9464,-0.8012,0.3743,0.7285,0.1554,0.8571,0.5207,0.1443,-1.0719,-1.6787,-2.2081,-3.139,-2.2322,-2.1165,-3.2641,-2.4594,-2.5039,-2.5762,-1.8081,-0.9827,-0.7796,0.5191,-0.2996,0.5859,0.1073,-0.0614
-2.2989,-2.682,-2.105,-2.6461,-1.0264,-0.9085,0.0832,0.355,-0.2743,0.4523,0.0591,-0.2923,-1.384,-1.9362,-2.1995,-3.3603,-2.2859,-2.0191,-3.2485,-2.884,-2.7308,-2.5561,-1.8395,-1.2154,-0.977,-0.0466,-0.8458,-0.1611,0.0804,0.0616
-2.3921,-2.8217,-2.0701,-2.7523,-1.1073,-1.0298,-0.2852,-0.0837,-0.7699,-0.0869,-0.4763,-0.7543,-1.6868,-2.1382,-2.0825,-3.4086,-2.2152,-1.8424,-3.0892,-3.136,-2.8241,-2.4322,-1.8191,-1.3966,-1.1263,-0.6007,-1.374,-0.9049,0.0264,0.14
-2.3873,-2.8365,-1.9477,-2.7329,-1.1937,-1.1615,-0.7121,-0.5605,-1.294,-0.729,-1.0446,-1.2215,-1.9652,-2.2789,-1.8645,-3.2768,-2.0214,-1.6045,-2.7961,-3.2005,-2.7889,-2.2094,-1.7436,-1.5313,-1.2384,-1.1271,-1.8656,-1.6121,-0.0388,0.169
-2.2587,-2.7061,-1.7314,-2.5825,-1.2767,-1.2879,-1.1642,-1.0397,-1.8,-1.4176,-1.5958,-1.6681,-2.1958,-2.3479,-1.5572,-2.9693,-1.7164,-1.3234,-2.3843,-3.0733,-2.6328,-1.8966,-1.6077,-1.6214,-1.3247,-1.6109,-2.2977,-2.249,-0.0943,0.1526
-1.9915,-2.4222,-1.4173,-2.3033,-1.3362,-1.3862,-1.599,-1.4821,-2.2401,-2.0801,-2.0782,-2.0635,-2.3496,-2.3302,-1.1773,-2.505,-1.3232,-1.0132,-1.8734,-2.7638,-2.3649,-1.5062,-1.4033,-1.6624,-1.3889,-2.0352,-2.6425,-2.781,-0.1219,0.1028
-1.5921,-1.9964,-1.0106,-1.9095,-1.3476,-1.4323,-1.9715,-1.8513,-2.5729,-2.6406,-2.4474,-2.3755,-2.3977,-2.2105,-0.7479,-1.9191,-0.8735,-0.6835,-1.2875,-2.2969,-1.9961,-1.054,-1.1229,-1.6433,-1.4228,-2.3796,-2.8714,-3.1748,-0.1115,0.0379
-1.0921,-1.4638,-0.5296,-1.4293,-1.289,-1.4076,-2.2411,-2.1191,-2.769,-3.033,-2.672,-2.5739,-2.3184,-1.9788,-0.2972,-1.2621,-0.405,-0.34,-0.6563,-1.7141,-1.5422,-0.56,-0.7641,-1.5509,-1.4077,-2.6219,-2.9596,-3.4022,-0.066,-0.0219
-0.5453,-0.8801,-0.0066,-0.9041,-1.1482,-1.3026,-2.3788,-2.2674,-2.813,-3.2114,-2.7372,-2.6352,-2.1034,-1.6358,0.1425,-0.5957,0.0429,0.0123,-0.0164,-1.0715,-1.0268,-0.0485,-0.335,-1.3745,-1.3197,-2.7416,-2.8918,-3.4455,0,-0.0578
-0.0191,-0.314,0.5142,-0.3846,-0.9281,-1.1205,-2.3705,-2.2898,-2.7021,-3.1565,-2.644,-2.5451,-1.7611,-1.197,0.5374,0.0131,0.4326,0.3637,0.5892,-0.4347,-0.4831,0.4514,0.1428,-1.1114,-1.1378,-2.7235,-2.6665,-3.3005,0.0641,-0.0557
