FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.1344,0.0127,0.7745,0.7914,0.9273,1.2218,-0.2523,0.517,0.3268,-0.08,0.5928,0.3867,0.0955,0.3266,-1.0542,-0.2471,-1.4324,-0.9543,-0.2974,0.5184,0.7481,-0.3394,-0.2367,0.1262,-0.3145,0.112,-0.0493,-0.1457,-0.1293,0.4553
-0.1813,-0.0778,0.5595,0.6419,0.7789,0.8778,-0.252,0.4487,0.3203,0.0628,0.4574,0.1642,0.1928,0.3761,-0.8748,-0.1992,-1.2797,-0.8271,-0.2115,0.5989,0.8049,-0.1645,-0.1324,0.2122,-0.2502,0.1013,0.0233,-0.2715,-0.1043,0.266
-0.2091,-0.1622,0.3329,0.4928,0.6288,0.5422,-0.241,0.3798,0.3077,0.184,0.3291,-0.0319,0.2741,0.4156,-0.7123,-0.1534,-1.1429,-0.7325,-0.1336,0.6654,0.8488,-0.0058,-0.0346,0.2822,-0.1965,0.0833,0.0847,-0.3805,-0.0858,0.0885
-0.2079,-0.234,0.096,0.3482,0.4799,0.2323,-0.2039,0.3134,0.2848,0.2699,0.2142,-0.1817,0.3281,0.4361,-0.584,-0.1156,-1.0333,-0.6893,-0.0729,0.7033,0.867,0.1212,0.0476,0.323,-0.1594,0.0566,0.1278,-0.4566,-0.0756,-0.0577
-0.1768,-0.2877,-0.1434,0.2153,0.3385,-0.0328,-0.1307,0.2525,0.2482,0.3118,0.1162,-0.2737,0.3476,0.4314,-0.4987,-0.0911,-0.9586,-0.7054,-0.0355,0.702,0.8505,0.2081,0.1118,0.3261,-0.1412,0.0227,0.1481,-0.4888,-0.075,-0.1615
-0.1246,-0.3199,-0.3703,0.1032,0.2137,-0.234,-0.0183,0.1991,0.1958,0.3069,0.0347,-0.3067,0.3299,0.3991,-0.4555,-0.0853,-0.9207,-0.7747,-0.024,0.6565,0.7951,0.2552,0.1622,0.2883,-0.1394,-0.0131,0.1447,-0.4725,-0.0842,-0.2203
-0.0671,-0.3308,-0.5643,0.0209,0.1155,-0.3559,0.1292,0.155,0.1277,0.2604,-0.0335,-0.2894,0.2775,0.3402,-0.4463,-0.102,-0.9152,-0.8776,-0.0365,0.5666,0.7013,0.2699,0.207,0.2125,-0.1469,-0.0433,0.1201,-0.4103,-0.101,-0.2371
-0.0231,-0.3239,-0.7032,-0.0251,0.0515,-0.39,0.3026,0.1216,0.0476,0.1851,-0.093,-0.2379,0.1979,0.2593,-0.4588,-0.1435,-0.932,-0.9845,-0.0681,0.4368,0.5744,0.2644,0.2547,0.1078,-0.1536,-0.0588,0.0798,-0.3105,-0.1211,-0.2167
-0.0088,-0.3062,-0.7691,-0.0334,0.0253,-0.3383,0.4894,0.1004,-0.037,0.1007,-0.1474,-0.1718,0.1023,0.1637,-0.4816,-0.2098,-0.9576,-1.063,-0.1117,0.2754,0.4232,0.2518,0.31,-0.0121,-0.1486,-0.0519,0.0322,-0.1859,-0.1378,-0.1624
-0.0342,-0.2871,-0.7537,-0.0091,0.0351,-0.214,0.6758,0.0935,-0.1149,0.03,-0.1974,-0.1092,0.0046,0.0625,-0.5071,-0.2981,-0.9779,-1.0851,-0.1604,0.093,0.2585,0.2431,0.3728,-0.1307,-0.1232,-0.0186,-0.0136,-0.0511,-0.1437,-0.075
