FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-1.0035,-0.7827,-0.5973,-0.6896,-0.3045,-0.5763,0.0346,-0.5174,-0.8631,0.3378,0.1826,0.2889,0.3332,-1.3759,-2.0592,-2.0201,-2.2845,-2.0855,-2.6102,-1.985,-1.756,-2.2962,-2.3668,-0.993,-0.5589,0.0775,0.3166,0.1832,-0.5016,0.9998
-1.3811,-1.1095,-0.7835,-0.97,-0.4757,-0.6555,0.1449,-0.3445,-0.6951,0.5053,0.3759,0.3523,0.3084,-1.6625,-2.4848,-2.5528,-2.8223,-2.5183,-3.1578,-2.4743,-2.1339,-2.7861,-2.7713,-1.2032,-0.6956,0.0216,0.2341,0.2079,-0.6962,0.9838
-1.7568,-1.4647,-1.0204,-1.285,-0.6906,-0.7886,0.2199,-0.181,-0.5453,0.657,0.5535,0.4061,0.284,-1.9141,-2.8866,-3.0646,-3.3024,-2.9096,-3.6163,-2.9388,-2.4932,-3.1834,-3.0806,-1.3614,-0.8013,-0.0379,0.1727,0.2324,-0.8266,0.9792
-2.0943,-1.8159,-1.2752,-1.6007,-0.9288,-0.959,0.2569,-0.0402,-0.4297,0.7863,0.7,0.4544,0.2752,-2.1048,-3.2216,-3.5126,-3.684,-3.2097,-3.9488,-3.3389,-2.8002,-3.4547,-3.2701,-1.4495,-0.8694,-0.0864,0.1467,0.266,-0.8715,0.9854
-2.361,-2.1294,-1.5116,-1.8806,-1.1666,-1.145,0.2578,0.067,-0.3595,0.888,0.8028,0.5029,0.2966,-2.2149,-3.455,-3.8591,-3.9349,-3.3786,-4.1327,-3.6413,-3.0252,-3.5841,-3.3305,-1.4608,-0.8985,-0.1119,0.1635,0.3182,-0.8244,1.0031
-2.5326,-2.3771,-1.6981,-2.0942,-1.382,-1.3257,0.2288,0.1335,-0.3385,0.959,0.8548,0.5581,0.3588,-2.234,-3.5659,-4.0781,-4.0374,-3.3942,-4.1624,-3.8249,-3.1477,-3.5743,-3.2687,-1.4007,-0.8931,-0.1082,0.2228,0.3956,-0.6943,1.0344
-2.5979,-2.5415,-1.8146,-2.2239,-1.5586,-1.4857,0.1785,0.1578,-0.3621,0.9982,0.8561,0.6264,0.4665,-2.162,-3.5493,-4.1594,-3.9912,-3.257,-4.0498,-3.8839,-3.1595,-3.4453,-3.1073,-1.2857,-0.8635,-0.0762,0.3163,0.5009,-0.5034,1.0803
-2.5593,-2.6184,-1.8553,-2.2673,-1.6875,-1.6177,0.1171,0.1446,-0.4171,1.0075,0.8151,0.7135,0.6167,-2.0091,-3.4147,-4.1096,-3.814,-2.9891,-3.8222,-3.8278,-3.0661,-3.2297,-2.8806,-1.1401,-0.8241,-0.0242,0.4295,0.6314,-0.2825,1.1387
-2.4309,-2.6148,-1.8265,-2.2365,-1.7668,-1.7207,0.0542,0.1045,-0.485,0.9903,0.7461,0.8224,0.7989,-1.7942,-3.1817,-3.9496,-3.5377,-2.6298,-3.5174,-3.6777,-2.8855,-2.9664,-2.6287,-0.9916,-0.791,0.0336,0.5437,0.7782,-0.0642,1.2024
-2.2338,-2.5449,-1.7423,-2.1524,-1.8001,-1.7977,-0.0034,0.0515,-0.5462,0.9488,0.6649,0.9513,0.9952,-1.5428,-2.8748,-3.7091,-3.2021,-2.2274,-3.1772,-3.4618,-2.6449,-2.694,-2.3911,-0.8663,-0.7793,0.0789,0.6385,0.927,0.1228,1.2601
-1.9915,-2.426,-1.6187,-2.0394,-1.7947,-1.8522,-0.0541,-0.0007,-0.5858,0.8822,0.5836,1.0908,1.1818,-1.2842,-2.518,-3.4214,-2.8476,-1.8302,-2.8407,-3.2098,-2.3768,-2.4457,-2.2003,-0.7854,-0.8001,0.0937,0.6941,1.059,0.259,1.2989
-1.7261,-2.2749,-1.4701,-1.9209,-1.7606,-1.8874,-0.1031,-0.0432,-0.5979,0.7842,0.5067,1.2236,1.3309,-1.0492,-2.132,-3.1181,-2.5095,-1.4777,-2.54,-2.9497,-2.1147,-2.247,-2.0783,-0.7626,-0.8583,0.0642,0.6948,1.1537,0.3365,1.3087
-1.4564,-2.1079,-1.3085,-1.8166,-1.7111,-1.9065,-0.163,-0.0737,-0.5868,0.6436,0.4297,1.3264,1.4139,-0.867,-1.7342,-2.8278,-2.2147,-1.1956,-2.2988,-2.707,-1.8903,-2.1148,-2.0345,-0.8033,-0.9519,-0.0154,0.6306,1.1924,0.3594,1.2866
-1.1987,-1.9419,-1.1447,-1.7425,-1.6635,-1.915,-0.2513,-0.0984,-0.565,0.4476,0.3416,1.3741,1.4054,-0.7627,-1.341,-2.5749,-1.9819,-0.9941,-2.1321,-2.5042,-1.73,-2.0584,-2.0666,-0.905,-1.072,-0.1397,0.4999,1.162,0.3418,1.2387
-0.968,-1.7949,-0.9918,-1.711,-1.6377,-1.9215,-0.3872,-0.1288,-0.549,0.1864,0.2297,1.3462,1.2875,-0.7537,-0.9699,-2.38,-1.8214,-0.8704,-2.0467,-2.3607,-1.6532,-2.0797,-2.1632,-1.0586,-1.2047,-0.2916,0.3102,1.059,0.3038,1.1795
-0.7791,-1.6861,-0.8662,-1.7311,-1.6548,-1.9383,-0.5861,-0.1788,-0.5526,-0.1418,0.0854,1.2325,1.0532,-0.8482,-0.641,-2.2601,-1.7371,-0.8137,-2.0423,-2.2915,-1.6695,-2.1742,-2.3072,-1.2495,-1.3335,-0.4448,0.0773,0.8906,0.2674,1.1277
-0.6475,-1.6338,-0.7872,-1.8084,-1.7337,-1.9799,-0.8544,-0.2585,-0.5817,-0.5268,-0.0913,1.0366,0.7076,-1.0434,-0.3768,-2.2271,-1.7276,-0.8105,-2.1118,-2.3058,-1.7789,-2.3309,-2.4804,-1.4606,-1.4429,-0.5692,-0.1775,0.6749,0.2514,1.1019
-0.5877,-1.6521,-0.7731,-1.9441,-1.8865,-2.061,-1.1857,-0.3701,-0.6309,-0.9455,-0.2893,0.7762,0.2674,-1.3266,-0.1991,-2.287,-1.7872,-0.8498,-2.2434,-2.4055,-1.9716,-2.5345,-2.6673,-1.675,-1.5215,-0.6385,-0.4318,0.4368,0.2677,1.1152
-0.61,-1.7468,-0.8357,-2.1339,-2.1152,-2.1924,-1.559,-0.5056,-0.6843,-1.3634,-0.4884,0.4809,-0.2398,-1.6761,-0.1242,-2.4369,-1.9063,-0.9249,-2.4211,-2.5837,-2.2296,-2.7662,-2.8557,-1.8784,-1.5648,-0.6378,-0.6658,0.204,0.3195,1.1713
-0.7158,-1.9113,-0.9747,-2.3655,-2.4073,-2.3763,-1.9386,-0.647,-0.7193,-1.7386,-0.6618,0.1869,-0.7764,-2.0616,-0.156,-2.663,-2.0705,-1.0328,-2.6251,-2.8238,-2.5273,-3.0043,-3.0365,-2.0589,-1.5758,-0.5683,-0.8641,0.0023,0.4003,1.2626
-0.8921,-2.123,-1.1723,-2.6158,-2.7331,-2.6011,-2.2763,-0.7695,-0.7128,-2.0259,-0.7816,-0.0666,-1.2946,-2.444,-0.2803,-2.9381,-2.259,-1.1697,-2.8311,-3.0985,-2.8312,-3.2237,-3.1999,-2.2048,-1.5635,-0.4491,-1.0147,-0.1475,0.4946,1.3707
-1.1085,-2.3419,-1.391,-2.8492,-3.0451,-2.8367,-2.516,-0.8462,-0.6477,-2.1815,-0.822,-0.2414,-1.7353,-2.7745,-0.4628,-3.2206,-2.4428,-1.3256,-3.0086,-3.3688,-3.0991,-3.3943,-3.3309,-2.3011,-1.5404,-0.3127,-1.1064,-0.2305,0.5803,1.4696
-1.3159,-2.5123,-1.5746,-3.0167,-3.2806,-3.0342,-2.6001,-0.8537,-0.5177,-2.1666,-0.7632,-0.3035,-2.0292,-2.9947,-0.6505,-3.455,-2.5831,-1.4791,-3.1198,-3.5841,-3.2793,-3.4788,-3.4056,-2.3261,-1.5178,-0.1983,-1.1251,-0.2372,0.6321,1.5308
-1.4502,-2.5678,-1.6547,-3.06,-3.368,-3.1307,-2.4778,-0.7773,-0.3311,-1.9529,-0.5935,-0.2256,-2.1017,-3.0396,-0.7763,-3.5752,-2.6314,-1.5931,-3.1193,-3.6835,-3.3124,-3.4332,-3.3884,-2.2499,-1.5014,-0.1414,-1.0522,-0.1616,0.6278,1.5287
-1.4411,-2.441,-1.5615,-2.919,-3.2387,-3.0596,-2.1148,-0.6155,-0.1103,-1.5275,-0.3121,0.0085,-1.883,-2.8454,-0.7685,-3.5111,-2.5325,-1.6155,-2.9566,-3.6015,-3.1364,-3.2102,-3.2344,-2.0378,-1.4891,-0.165,-0.8665,-0.0005,0.5552,1.444
-1.2245,-2.0757,-1.2384,-2.5431,-2.8404,-2.7654,-1.5032,-0.3822,0.11,-0.8982,0.0694,0.4004,-1.3229,-2.3607,-0.561,-3.1995,-2.2317,-1.4856,-2.5833,-3.2773,-2.6969,-2.7661,-2.8962,-1.6576,-1.4701,-0.2751,-0.5496,0.2459,0.4188,1.2676
