FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
1.3893,0.9045,-0.7507,0.9539,1.4504,1.6729,1.9819,1.3683,2.6028,3.4723,2.8797,2.4997,1.2144,1.3298,0.2981,0.9335,1.2125,1.2815,1.7305,1.1859,1.4546,1.1899,1.798,0.6016,-1.1726,-0.0225,-0.1959,1.5031,2.0647,-0.2382
0.9867,0.6199,-0.568,0.3827,1.0114,1.2307,1.3668,1.0199,2.2604,2.4221,2.168,1.791,0.7467,0.9559,0.4978,0.613,0.8804,1.0342,1.1743,0.9213,0.9661,0.8475,1.5017,0.5169,-0.7444,0.2922,-0.3435,1.1993,1.551,-0.2134
0.535,0.2606,-0.504,-0.2522,0.5121,0.7208,0.7111,0.6561,1.9014,1.3772,1.4591,1.0986,0.2598,0.5311,0.5738,0.2036,0.4539,0.7126,0.5901,0.578,0.4395,0.4524,1.1478,0.3915,-0.3628,0.5771,-0.498,0.9019,1.0086,-0.2592
0.0158,-0.2094,-0.6305,-0.969,-0.0693,0.118,0.0048,0.2768,1.5242,0.3662,0.7706,0.4469,-0.2415,0.0358,0.4578,-0.3344,-0.1069,0.2851,-0.0238,0.1203,-0.1348,-0.0169,0.7129,0.2047,-0.0582,0.8076,-0.6571,0.6217,0.4317,-0.4139
-0.5579,-0.7828,-0.9578,-1.7451,-0.7193,-0.5642,-0.7343,-0.1056,1.1387,-0.5716,0.125,-0.1389,-0.7357,-0.5211,0.1407,-0.9912,-0.7859,-0.2373,-0.644,-0.4462,-0.7427,-0.549,0.2099,-0.045,0.15,0.9687,-0.8115,0.3709,-0.1612,-0.6796
-1.1394,-1.4057,-1.4289,-2.5137,-1.3857,-1.2706,-1.4585,-0.4665,0.767,-1.3857,-0.45,-0.6332,-1.1831,-1.0997,-0.3233,-1.7033,-1.5087,-0.7993,-1.2211,-1.0712,-1.3435,-1.0973,-0.3103,-0.336,0.2576,1.0565,-0.9445,0.1638,-0.7278,-1.019
-1.6561,-1.9886,-1.933,-3.1765,-1.9856,-1.9136,-2.0969,-0.7724,0.4399,-2.019,-0.9235,-1.0101,-1.5313,-1.6336,-0.8314,-2.3654,-2.1588,-1.3125,-1.6884,-1.6678,-1.875,-1.5878,-0.7691,-0.6261,0.2782,1.0789,-1.034,0.0164,-1.2094,-1.3637
-2.0268,-2.4285,-2.3346,-3.6254,-2.4234,-2.3924,-2.5687,-0.9881,0.1913,-2.4155,-1.2645,-1.2465,-1.7253,-2.0432,-1.2608,-2.8548,-2.6074,-1.6778,-1.9759,-2.1314,-2.2644,-1.9351,-1.0797,-0.8604,0.2424,1.0528,-1.0565,-0.0554,-1.5458,-1.6321
-2.1809,-2.6332,-2.5102,-3.7678,-2.6123,-2.617,-2.8011,-1.0844,0.0505,-2.5311,-1.4465,-1.3249,-1.7185,-2.2515,-1.4987,-3.0615,-2.7461,-1.8093,-2.0264,-2.3629,-2.4423,-2.0633,-1.1692,-0.9834,0.1932,0.9998,-0.9924,-0.0392,-1.6903,-1.7511
-2.0774,-2.5425,-2.3821,-3.5487,-2.495,-2.5285,-2.7452,-1.0448,0.036,-2.3439,-1.4533,-1.2392,-1.4846,-2.2012,-1.469,-2.9149,-2.5161,-1.6559,-1.8099,-2.2914,-2.3565,-1.9238,-0.9988,-0.952,0.1771,0.9393,-0.8313,0.0689,-1.6228,-1.6755
