FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
0.3745,0.0132,0.3759,0.4004,0.6117,0.1118,0.6268,0.1256,0.2241,0.4861,0.645,0.9251,1.1612,1.4099,0.812,0.7727,0.73,0.8406,0.715,0.8996,1.09,1.4006,0.6765,1.6174,0.8873,1.1897,1.2755,1.004,-0.4818,-0.4082
0.1751,0.0242,0.0948,0.262,0.4465,-0.0362,0.4464,0.0406,0.0972,0.3489,0.4798,0.7422,0.9181,1.0717,0.6166,0.5347,0.4802,0.5846,0.4997,0.6101,0.8014,1.0721,0.5173,1.3968,0.8367,1.016,1.0951,0.818,-0.5192,-0.4275
-0.0195,0.0166,-0.154,0.1228,0.2846,-0.1749,0.2637,-0.0433,-0.0254,0.2045,0.3159,0.5615,0.674,0.7405,0.4303,0.2991,0.2353,0.3403,0.285,0.327,0.5171,0.753,0.3627,1.1755,0.7842,0.849,0.9133,0.6376,-0.5575,-0.4537
-0.2053,-0.0225,-0.3495,-0.0162,0.1304,-0.2963,0.0816,-0.1226,-0.1383,0.051,0.1554,0.3857,0.4323,0.4266,0.2587,0.0701,0.0011,0.1189,0.0737,0.0595,0.2459,0.4534,0.2163,0.955,0.7265,0.6939,0.7304,0.4683,-0.5961,-0.4889
-0.3758,-0.0985,-0.4819,-0.1513,-0.0105,-0.395,-0.0951,-0.1939,-0.2373,-0.11,0.0002,0.2167,0.1992,0.1415,0.1042,-0.1458,-0.214,-0.0711,-0.1282,-0.181,-0.0003,0.1842,0.0836,0.739,0.6618,0.554,0.548,0.3142,-0.6316,-0.5302
-0.5235,-0.2082,-0.554,-0.277,-0.1318,-0.4677,-0.2592,-0.2532,-0.3199,-0.2722,-0.1477,0.056,-0.0157,-0.102,-0.0344,-0.3404,-0.4003,-0.2249,-0.3116,-0.3827,-0.2075,-0.0437,-0.0287,0.5334,0.5897,0.4308,0.37,0.1777,-0.6591,-0.569
-0.6413,-0.3404,-0.5796,-0.3858,-0.2273,-0.5136,-0.4008,-0.2954,-0.3834,-0.4242,-0.2852,-0.0939,-0.2003,-0.292,-0.1616,-0.5046,-0.5478,-0.3407,-0.466,-0.5346,-0.3615,-0.221,-0.1147,0.3461,0.5111,0.3238,0.2024,0.0601,-0.673,-0.5946
-0.7251,-0.4779,-0.5786,-0.4705,-0.2919,-0.5328,-0.5088,-0.3152,-0.425,-0.5513,-0.4066,-0.2287,-0.3422,-0.4195,-0.2842,-0.6309,-0.6491,-0.4184,-0.5827,-0.6302,-0.452,-0.3424,-0.1706,0.1854,0.4272,0.2311,0.0523,-0.0376,-0.6689,-0.5971
-0.7757,-0.6018,-0.5705,-0.525,-0.3235,-0.5266,-0.5725,-0.3072,-0.4416,-0.6377,-0.5041,-0.3427,-0.4311,-0.4808,-0.4079,-0.7144,-0.7017,-0.4594,-0.6568,-0.6687,-0.475,-0.4077,-0.1972,0.0581,0.3393,0.1496,-0.0731,-0.1151,-0.6455,-0.5718
-0.7985,-0.6954,-0.5692,-0.5467,-0.3236,-0.4963,-0.5844,-0.2682,-0.43,-0.6702,-0.5687,-0.4292,-0.4617,-0.4789,-0.5346,-0.7542,-0.7091,-0.4664,-0.6889,-0.6562,-0.4354,-0.423,-0.2,-0.0319,0.2485,0.0759,-0.1686,-0.1724,-0.6048,-0.5212
-0.8018,-0.7481,-0.5794,-0.5364,-0.2974,-0.4443,-0.5428,-0.1979,-0.388,-0.641,-0.5915,-0.4813,-0.4356,-0.4238,-0.6606,-0.7535,-0.6811,-0.4451,-0.685,-0.6043,-0.3465,-0.3993,-0.1884,-0.0852,0.1552,0.0064,-0.2319,-0.2104,-0.553,-0.4555
-0.7947,-0.7577,-0.596,-0.4993,-0.2536,-0.3735,-0.4534,-0.1003,-0.3163,-0.5505,-0.5664,-0.4942,-0.3618,-0.3313,-0.7757,-0.7193,-0.6315,-0.4048,-0.655,-0.5282,-0.2282,-0.3506,-0.1733,-0.1067,0.0607,-0.062,-0.2644,-0.2309,-0.4987,-0.3908
