FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
0.8108,2.2827,1.5709,2.466,2.7434,2.2206,2.6434,1.625,1.6422,2.7986,1.2639,1.2376,2.5766,2.9923,0.9679,2.341,1.5375,1.4896,1.6305,2.713,3.0793,2.1655,1.6244,1.6192,-0.0885,-0.2378,1.3971,0.6441,0.0716,-0.7609
1.0627,2.3154,1.4916,2.5363,2.8504,2.3056,2.7933,1.7686,1.781,2.9862,1.5166,1.4869,2.7569,3.1448,0.9754,2.2924,1.4652,1.4144,1.599,2.6176,2.9992,2.2841,1.7184,1.8934,0.2481,0.0924,1.6603,0.9196,0.132,-0.7501
1.2651,2.3081,1.402,2.5603,2.9136,2.352,2.9079,1.887,1.9119,3.1503,1.7584,1.7248,2.904,3.2591,0.9577,2.2136,1.3743,1.3146,1.5467,2.4994,2.8967,2.3621,1.7793,2.1357,0.5527,0.4098,1.9061,1.1858,0.1849,-0.7374
1.3789,2.23,1.2958,2.5024,2.8972,2.3281,2.9548,1.9563,2.0195,3.2666,1.9737,1.9346,2.9885,3.3028,0.8976,2.0824,1.2535,1.1781,1.4584,2.3419,2.7538,2.3677,1.7814,2.3164,0.7963,0.6987,2.1141,1.4285,0.221,-0.7155
1.3805,2.0625,1.1669,2.3412,2.7795,2.2143,2.9128,1.9589,2.0859,3.3144,2.1459,2.0996,2.9901,3.2546,0.7843,1.8865,1.0967,1.002,1.325,2.1359,2.5601,2.2827,1.7083,2.4145,0.9574,0.9421,2.2657,1.6324,0.2338,-0.6771
1.2652,1.8016,1.0103,2.0726,2.5552,2.0051,2.7741,1.8857,2.0923,3.2787,2.2578,2.204,2.8998,3.107,0.6149,1.6253,0.9034,0.794,1.1445,1.8815,2.3136,2.1056,1.5551,2.4192,1.0247,1.1241,2.3454,1.782,0.2209,-0.6157
1.0458,1.458,0.8233,1.7092,2.2345,1.709,2.5433,1.7353,2.0216,3.1508,2.2944,2.2345,2.7197,2.8658,0.3958,1.3102,0.6798,0.5697,0.9224,1.5872,2.0204,1.8505,1.3293,2.3316,0.9981,1.2328,2.3433,1.8644,0.1833,-0.5276
0.7495,1.055,0.6076,1.2783,1.8404,1.3468,2.2349,1.5136,1.862,2.9301,2.2451,2.1828,2.4612,2.5481,0.1434,0.962,0.4378,0.3498,0.6708,1.2687,1.6929,1.5443,1.0496,2.1623,0.8888,1.2639,2.2567,1.8717,0.1244,-0.4137
0.4124,0.6256,0.3719,0.8171,1.4035,0.9477,1.8699,1.2328,1.6113,2.624,2.1065,2.0479,2.1424,2.1784,-0.1182,0.6086,0.1949,0.1557,0.4073,0.9462,1.3475,1.2208,0.7433,1.9298,0.7171,1.2225,2.0913,1.8035,0.0497,-0.2798
0.0738,0.2078,0.1324,0.367,0.9579,0.5451,1.4723,0.9104,1.279,2.2478,1.8834,1.8366,1.7846,1.7843,-0.3592,0.2807,-0.0281,0.0051,0.1524,0.6421,1.0029,0.9138,0.4415,1.6565,0.509,1.1226,1.8605,1.6672,-0.0345,-0.1368
-0.2289,-0.1603,-0.0885,-0.0326,0.5358,0.1722,1.0657,0.568,0.8869,1.8231,1.5886,1.5629,1.4092,1.3924,-0.5493,0.0074,-0.2098,-0.0908,-0.0728,0.3774,0.6776,0.6504,0.1735,1.3653,0.2916,0.9847,1.5838,1.4769,-0.1212,0.0012
-0.4645,-0.4458,-0.2663,-0.3503,0.1636,-0.1426,0.6709,0.2289,0.4654,1.3742,1.2402,1.2463,1.0347,1.0244,-0.6637,-0.1888,-0.3327,-0.1304,-0.2509,0.1685,0.3871,0.4462,-0.0386,1.0759,0.0886,0.831,1.2828,1.2502,-0.2029,0.1196
-0.6121,-0.6272,-0.3801,-0.568,-0.1413,-0.3799,0.304,-0.0848,0.0487,0.9244,0.8592,0.9078,0.6748,0.6945,-0.6886,-0.2961,-0.3874,-0.1222,-0.3714,0.0238,0.1421,0.303,-0.1837,0.8028,-0.0826,0.6811,0.9776,1.0051,-0.2721,0.206
