FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,(corr) HEOG,(corr) VEOG
-0.2782,0.1838,0.0533,-0.0125,-0.5914,-0.3172,-1.1315,-0.3199,-0.4636,-0.4764,0.0967,0.2294,-0.9629,-1.1038,-0.385,0.3189,0.3686,0.2773,0.0703,-0.1575,-0.929,-0.7424,-0.949,-0.7232,-0.5437,-0.2823,-0.4956,0.0088,0.2406,1.2445
-0.2507,0.2797,0.0897,0.0471,-0.6167,-0.3914,-1.202,-0.4281,-0.5541,-0.5314,-0.0266,0.1674,-0.9217,-1.067,-0.3953,0.4918,0.5104,0.3602,0.1974,0.0081,-0.8422,-0.6737,-0.9107,-0.671,-0.46,-0.2279,-0.4761,0.0379,0.252,1.3655
-0.246,0.3389,0.1097,0.0806,-0.6274,-0.4653,-1.2628,-0.5634,-0.68,-0.6266,-0.2157,0.036,-0.9051,-1.0579,-0.4021,0.628,0.5997,0.4029,0.309,0.1388,-0.7862,-0.6038,-0.846,-0.6226,-0.3189,-0.1419,-0.4663,0.041,0.2447,1.4397
-0.2579,0.3715,0.1125,0.098,-0.6139,-0.5262,-1.3006,-0.7117,-0.8227,-0.7427,-0.4381,-0.1371,-0.9036,-1.0677,-0.4073,0.7299,0.6433,0.416,0.4028,0.2345,-0.7556,-0.5282,-0.7489,-0.569,-0.1282,-0.0212,-0.4522,0.0303,0.2173,1.464
-0.2807,0.3903,0.0987,0.1106,-0.5691,-0.5615,-1.3054,-0.8563,-0.9616,-0.858,-0.6596,-0.3194,-0.9073,-1.0876,-0.42,0.8,0.6488,0.4081,0.4724,0.2952,-0.7459,-0.4488,-0.621,-0.5035,0.0971,0.1322,-0.4216,0.0208,0.1708,1.448
-0.3106,0.4061,0.0697,0.1259,-0.4911,-0.5612,-1.2719,-0.9805,-1.0779,-0.9531,-0.8504,-0.4802,-0.9088,-1.1107,-0.4529,0.8381,0.6209,0.3834,0.508,0.3189,-0.7552,-0.3739,-0.4719,-0.4244,0.3373,0.3106,-0.3683,0.0253,0.1097,1.4097
-0.3467,0.4235,0.0277,0.1451,-0.3849,-0.5212,-1.2017,-1.0711,-1.1582,-1.0139,-0.9898,-0.5963,-0.9047,-1.1335,-0.5168,0.8412,0.5608,0.3424,0.4986,0.3019,-0.7843,-0.3166,-0.3173,-0.3361,0.5701,0.5001,-0.2944,0.0512,0.0418,1.3696
-0.3895,0.4388,-0.0252,0.1623,-0.2628,-0.445,-1.1037,-1.1214,-1.1969,-1.0347,-1.0688,-0.6561,-0.8967,-1.1563,-0.6156,0.805,0.468,0.2836,0.4364,0.2413,-0.8356,-0.2908,-0.1773,-0.2496,0.7733,0.6811,-0.2116,0.0972,-0.0236,1.3448
-0.4417,0.4423,-0.0884,0.166,-0.1432,-0.3457,-0.9945,-1.1331,-1.1978,-1.0196,-1.0908,-0.6609,-0.8923,-1.1838,-0.7445,0.7268,0.3439,0.206,0.3203,0.1366,-0.912,-0.3085,-0.0735,-0.1818,0.9266,0.8309,-0.1395,0.1537,-0.0767,1.3461
-0.5074,0.4207,-0.1635,0.1424,-0.049,-0.2451,-0.8968,-1.1166,-1.1732,-0.9819,-1.0694,-0.6238,-0.9041,-1.2247,-0.8904,0.6082,0.1938,0.1099,0.1567,-0.0088,-1.0154,-0.3775,-0.0276,-0.1535,1.0137,0.9268,-0.1026,0.2036,-0.1099,1.377
