FP1,F3,F7,FC3,C3,C5,P3,P7,PO7,PO3,O1,Oz,Pz,CPz,FP2,Fz,F4,F8,FC4,FCz,Cz,C4,C6,P4,P8,PO8,PO4,O2,HEOG_left,HEOG_right
2.0649,1.3479,1.1369,1.2884,0.5959,0.7296,0.4391,0.1789,-0.063,-0.192,-0.1261,-0.178,0.7814,1.639,1.5324,1.6144,1.9225,1.4793,1.9465,1.9532,2.1664,1.8784,2.3709,1.9608,2.1075,2.0054,1.5048,0.9041,0.9383,1.4436
1.7943,1.1323,0.9579,1.0649,0.529,0.5063,0.1201,-0.1732,-0.4997,-0.5085,-0.272,-0.1629,0.6152,1.3755,1.4271,1.4003,1.8536,1.3277,1.7821,1.7321,1.9228,1.7014,2.1202,1.6994,1.711,1.6147,1.2512,0.9527,0.9139,1.1929
1.5356,0.9243,0.7845,0.8505,0.4616,0.2905,-0.1706,-0.5003,-0.8995,-0.792,-0.3962,-0.1465,0.4574,1.1201,1.3109,1.1905,1.7663,1.1741,1.6081,1.5153,1.6834,1.5163,1.8632,1.4342,1.3139,1.2361,0.9958,0.9917,0.8731,0.9513
1.3011,0.7319,0.6245,0.6553,0.3954,0.0939,-0.4051,-0.7769,-1.2238,-1.0113,-0.4786,-0.1247,0.3184,0.8812,1.1755,0.9886,1.647,1.0168,1.42,1.3056,1.4514,1.3207,1.5986,1.1689,0.9229,0.8859,0.7457,1.0171,0.8084,0.7259
1.0994,0.5646,0.4853,0.4896,0.3354,-0.0696,-0.5614,-0.9803,-1.4419,-1.1433,-0.5056,-0.0929,0.2086,0.6682,1.0186,0.7995,1.4904,0.8565,1.2189,1.1069,1.2318,1.1155,1.3288,0.9113,0.5466,0.5778,0.5111,1.0256,0.7192,0.5245
0.9345,0.4315,0.3738,0.3624,0.2891,-0.1851,-0.6256,-1.0923,-1.5344,-1.176,-0.4718,-0.0468,0.1369,0.4908,0.8455,0.6285,1.3008,0.6962,1.0119,0.9245,1.0312,0.9062,1.0601,0.6726,0.1961,0.3222,0.3041,1.015,0.6123,0.3538
0.806,0.3404,0.295,0.2808,0.2655,-0.2397,-0.5939,-1.1005,-1.4942,-1.1094,-0.38,0.0154,0.1093,0.3572,0.6671,0.4808,1.0908,0.5415,0.8114,0.7636,0.856,0.7017,0.8027,0.4663,-0.1161,0.1253,0.1378,0.9847,0.4989,0.2186
0.7096,0.2951,0.2517,0.2476,0.2716,-0.2254,-0.4736,-1.0002,-1.3277,-0.9555,-0.2407,0.0912,0.1277,0.2719,0.4978,0.3598,0.8777,0.3988,0.6317,0.6284,0.7115,0.5135,0.5688,0.3057,-0.3767,-0.0105,0.0241,0.9363,0.3916,0.1202
0.6395,0.2938,0.243,0.26,0.3107,-0.1421,-0.2825,-0.7964,-1.0533,-0.7356,-0.0702,0.1728,0.1882,0.2338,0.3515,0.2666,0.6792,0.2746,0.4855,0.5209,0.5993,0.3535,0.3704,0.2016,-0.572,-0.0862,-0.0283,0.8747,0.3007,0.056
0.5889,0.3279,0.2638,0.3095,0.3791,0.0009,-0.0466,-0.5045,-0.6996,-0.4766,0.1112,0.2487,0.2816,0.2357,0.2386,0.199,0.5092,0.1734,0.3807,0.4399,0.5171,0.2314,0.2171,0.1588,-0.6897,-0.1054,-0.0169,0.807,0.2319,0.0196
