time	FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	HEOG_left	HEOG_right
-199.2188	-1.4712	-1.7649	-1.6826	-1.7007	-1.315	-1.035	-0.4314	0.0524	0.0797	-0.0982	-0.0381	-0.2597	-0.7232	-1.2947	-1.5824	-1.9601	-2.1684	-1.2888	-2.1856	-1.9952	-1.7702	-1.6654	-1.772	-1.0339	-0.8133	-0.6386	-0.8589	-0.4086	-0.7096	-1.1109
-195.3125	-1.414	-1.7197	-1.5284	-1.6325	-1.2383	-0.979	-0.334	0.0795	0.1903	0.046	0.0979	-0.1456	-0.6271	-1.1448	-1.4788	-1.8232	-2.0351	-1.2886	-2.0797	-1.8166	-1.6213	-1.5586	-1.6932	-0.9491	-0.7638	-0.57	-0.7211	-0.3306	-0.6785	-1.0752
-191.4062	-1.3618	-1.6802	-1.3917	-1.5738	-1.1736	-0.9342	-0.2523	0.0983	0.2807	0.1684	0.2103	-0.0478	-0.54	-1.0058	-1.3859	-1.6961	-1.9117	-1.2968	-1.9787	-1.6499	-1.4802	-1.4584	-1.6187	-0.87	-0.7195	-0.5075	-0.5959	-0.2622	-0.6532	-1.0427
-187.5	-1.3174	-1.6489	-1.2843	-1.5301	-1.1284	-0.9069	-0.1973	0.1035	0.3359	0.2527	0.2814	0.0216	-0.4689	-0.8865	-1.3114	-1.5865	-1.8053	-1.3172	-1.886	-1.5045	-1.3525	-1.3696	-1.5508	-0.8009	-0.6837	-0.4551	-0.4932	-0.2101	-0.6374	-1.0147
-183.5938	-1.2807	-1.6252	-1.2111	-1.5022	-1.1046	-0.8981	-0.1738	0.0937	0.3483	0.2906	0.3023	0.0566	-0.4174	-0.7912	-1.2591	-1.4979	-1.7187	-1.3497	-1.8025	-1.3852	-1.241	-1.2942	-1.4888	-0.7433	-0.6566	-0.414	-0.4182	-0.1771	-0.6325	-0.9912
-179.6875	-1.2485	-1.6049	-1.1687	-1.4857	-1.0978	-0.903	-0.1798	0.0713	0.3188	0.2827	0.2737	0.058	-0.3853	-0.7198	-1.2287	-1.4294	-1.6505	-1.3899	-1.7271	-1.2913	-1.1455	-1.2312	-1.4298	-0.6964	-0.6355	-0.3819	-0.3703	-0.1622	-0.6373	-0.97
-175.7812	-1.216	-1.5817	-1.1474	-1.4724	-1.0993	-0.913	-0.2076	0.0421	0.2557	0.2375	0.2054	0.0326	-0.3693	-0.6683	-1.2161	-1.3772	-1.5961	-1.4293	-1.6575	-1.2187	-1.0634	-1.1781	-1.3698	-0.6574	-0.6154	-0.3546	-0.3444	-0.1601	-0.6484	-0.948
-171.875	-1.1786	-1.549	-1.1343	-1.4532	-1.0988	-0.9183	-0.2462	0.0125	0.1725	0.1687	0.1127	-0.0091	-0.3639	-0.6309	-1.2148	-1.3355	-1.5498	-1.4567	-1.5917	-1.1613	-0.992	-1.1315	-1.3051	-0.6229	-0.5908	-0.327	-0.3327	-0.1639	-0.661	-0.9218
-167.9688	-1.1334	-1.5022	-1.1162	-1.4207	-1.0871	-0.9108	-0.2847	-0.0118	0.0839	0.0912	0.0128	-0.0561	-0.3629	-0.6019	-1.2174	-1.2991	-1.5068	-1.4608	-1.5291	-1.1139	-0.9291	-1.0892	-1.2342	-0.59	-0.5574	-0.2945	-0.3271	-0.1665	-0.6706	-0.8888
-164.0625	-1.0812	-1.4404	-1.0838	-1.3715	-1.0589	-0.8866	-0.3145	-0.027	0.0031	0.0182	-0.0784	-0.0988	-0.3613	-0.5773	-1.2173	-1.2645	-1.4644	-1.4331	-1.4708	-1.0731	-0.8742	-1.0504	-1.1585	-0.5573	-0.5138	-0.2553	-0.3211	-0.1626	-0.673	-0.8485
-160.1562	-1.0257	-1.3673	-1.0328	-1.3073	-1.0143	-0.8464	-0.3309	-0.0323	-0.0604	-0.0415	-0.1496	-0.1312	-0.3563	-0.5555	-1.2101	-1.2309	-1.423	-1.3692	-1.4197	-1.038	-0.8285	-1.0161	-1.082	-0.5255	-0.4615	-0.2103	-0.3115	-0.1501	-0.6661	-0.8024
-156.25	-0.9736	-1.2903	-0.9652	-1.2346	-0.958	-0.7957	-0.3342	-0.029	-0.1027	-0.0845	-0.1948	-0.1513	-0.3478	-0.5378	-1.1941	-1.1997	-1.385	-1.2709	-1.3792	-1.0102	-0.7939	-0.9884	-1.0103	-0.4969	-0.4049	-0.1629	-0.2984	-0.1297	-0.6497	-0.7537
-152.3438	-0.9319	-1.2192	-0.8878	-1.1627	-0.8983	-0.7431	-0.3284	-0.0207	-0.1246	-0.1128	-0.214	-0.1607	-0.3383	-0.5271	-1.1704	-1.1735	-1.354	-1.1454	-1.3518	-0.9921	-0.7726	-0.9692	-0.9486	-0.4745	-0.3499	-0.1184	-0.2844	-0.1049	-0.6255	-0.7068
-148.4375	-0.906	-1.1627	-0.8099	-1.1009	-0.8442	-0.6974	-0.3205	-0.0123	-0.1317	-0.1319	-0.2121	-0.1636	-0.3317	-0.5266	-1.1419	-1.1549	-1.3325	-1.0046	-1.3381	-0.9854	-0.7652	-0.9597	-0.8999	-0.461	-0.3022	-0.0823	-0.2735	-0.0808	-0.5967	-0.6658
-144.5312	-0.8978	-1.1263	-0.7406	-1.0555	-0.8028	-0.666	-0.3178	-0.0092	-0.1316	-0.1494	-0.1972	-0.1654	-0.3321	-0.5385	-1.1123	-1.1444	-1.3207	-0.8626	-1.3353	-0.99	-0.7706	-0.9585	-0.864	-0.4576	-0.2664	-0.0591	-0.2694	-0.0626	-0.5666	-0.6334
-140.625	-0.9042	-1.1097	-0.6856	-1.0281	-0.7775	-0.652	-0.3265	-0.0162	-0.133	-0.1724	-0.179	-0.171	-0.3425	-0.5625	-1.0843	-1.1401	-1.3153	-0.7333	-1.3377	-1.0031	-0.785	-0.9621	-0.8368	-0.4631	-0.2443	-0.051	-0.2739	-0.0546	-0.5381	-0.6101
-136.7188	-0.9177	-1.1067	-0.6462	-1.0145	-0.7669	-0.6542	-0.3501	-0.037	-0.1425	-0.2058	-0.166	-0.1839	-0.3637	-0.596	-1.0588	-1.1367	-1.3097	-0.6277	-1.3367	-1.0189	-0.8024	-0.9644	-0.8116	-0.4744	-0.235	-0.0581	-0.2871	-0.0589	-0.5121	-0.5937
-132.8125	-0.9276	-1.106	-0.6185	-1.0063	-0.7655	-0.6665	-0.3883	-0.0724	-0.1642	-0.251	-0.164	-0.2053	-0.3945	-0.6337	-1.0338	-1.1268	-1.2947	-0.5515	-1.3222	-1.03	-0.8157	-0.9585	-0.7801	-0.4866	-0.2356	-0.0782	-0.3069	-0.0758	-0.4877	-0.5797
-128.9062	-0.9224	-1.094	-0.5947	-0.9926	-0.7647	-0.6803	-0.4371	-0.1203	-0.1981	-0.306	-0.1749	-0.2341	-0.4311	-0.6689	-1.0047	-1.1017	-1.2603	-0.5046	-1.2841	-1.0279	-0.8174	-0.9373	-0.7348	-0.4943	-0.2418	-0.108	-0.3299	-0.1032	-0.4615	-0.5623
-125	-0.8922	-1.0578	-0.5659	-0.963	-0.7558	-0.6856	-0.4895	-0.1753	-0.2408	-0.3651	-0.197	-0.2672	-0.4681	-0.6943	-0.9651	-1.0542	-1.1979	-0.4803	-1.2145	-1.0056	-0.8014	-0.8953	-0.671	-0.4929	-0.2488	-0.1435	-0.3522	-0.1375	-0.4293	-0.5353
-121.0938	-0.8315	-0.9888	-0.5245	-0.9104	-0.7313	-0.6743	-0.5362	-0.2298	-0.286	-0.421	-0.2255	-0.3002	-0.499	-0.7029	-0.9094	-0.98	-1.1023	-0.4681	-1.1094	-0.9583	-0.7642	-0.8296	-0.5873	-0.4793	-0.2527	-0.1813	-0.3698	-0.174	-0.3871	-0.4943
-117.1875	-0.7401	-0.885	-0.4664	-0.8327	-0.6869	-0.6413	-0.5677	-0.2752	-0.3264	-0.4653	-0.2536	-0.3279	-0.5171	-0.6891	-0.8334	-0.879	-0.973	-0.4554	-0.9695	-0.8853	-0.7056	-0.7407	-0.4864	-0.4523	-0.2508	-0.2177	-0.3791	-0.208	-0.3329	-0.4372
-113.2812	-0.624	-0.7517	-0.3923	-0.7333	-0.6226	-0.5859	-0.5759	-0.304	-0.3549	-0.4907	-0.2747	-0.3456	-0.5167	-0.6501	-0.737	-0.7566	-0.815	-0.431	-0.801	-0.7905	-0.6289	-0.6321	-0.3735	-0.4123	-0.2411	-0.2496	-0.3772	-0.2349	-0.2674	-0.3656
-109.375	-0.494	-0.6008	-0.3068	-0.6204	-0.542	-0.5115	-0.5555	-0.3114	-0.3658	-0.4921	-0.2833	-0.3494	-0.494	-0.586	-0.6237	-0.6218	-0.638	-0.3867	-0.6143	-0.6815	-0.5407	-0.51	-0.2556	-0.3611	-0.2228	-0.2733	-0.3618	-0.2508	-0.1946	-0.2842
-105.4688	-0.3634	-0.4482	-0.2178	-0.5048	-0.452	-0.425	-0.5058	-0.2962	-0.3561	-0.468	-0.2763	-0.3371	-0.4479	-0.501	-0.5003	-0.4861	-0.4549	-0.3187	-0.4223	-0.5684	-0.4496	-0.3819	-0.1393	-0.3009	-0.1955	-0.2852	-0.3317	-0.253	-0.1212	-0.1997
-101.5625	-0.245	-0.31	-0.134	-0.3973	-0.3609	-0.3348	-0.4305	-0.2616	-0.326	-0.4207	-0.2534	-0.3084	-0.3803	-0.4023	-0.3758	-0.3605	-0.2793	-0.2279	-0.238	-0.4613	-0.3643	-0.2554	-0.0301	-0.2345	-0.1589	-0.2822	-0.287	-0.2405	-0.0548	-0.1195
-97.6562	-0.1485	-0.1987	-0.0637	-0.3057	-0.2765	-0.2493	-0.3375	-0.2138	-0.2788	-0.3559	-0.217	-0.265	-0.2963	-0.299	-0.2583	-0.2527	-0.1226	-0.1187	-0.0722	-0.3681	-0.2918	-0.137	0.0688	-0.1648	-0.1133	-0.2622	-0.2295	-0.2138	-0.0022	-0.0498
-93.75	-0.0777	-0.1197	-0.0124	-0.2324	-0.2037	-0.1745	-0.2373	-0.1611	-0.2204	-0.2821	-0.1714	-0.2103	-0.203	-0.2006	-0.1534	-0.1658	0.0084	0.0023	0.0691	-0.2925	-0.2357	-0.0311	0.1567	-0.0943	-0.0594	-0.2247	-0.1626	-0.1747	0.0326	0.006
-89.8438	-0.0296	-0.0696	0.0189	-0.1734	-0.1436	-0.1126	-0.141	-0.1118	-0.1577	-0.2082	-0.1218	-0.1486	-0.1085	-0.1145	-0.0624	-0.0964	0.1132	0.1279	0.1855	-0.2327	-0.1946	0.0612	0.2349	-0.0253	0.0012	-0.1716	-0.0906	-0.1266	0.0501	0.0481
